data_structure,N,runs,cycles,instructions,ipc,cache_misses,branches,branch_misses,L1_misses,TLB_misses
Array,914,310,3030822,3040431,1.00,32600,496635,9183,12556,<notcounted>
Array,2262,299,5321175,6266807,1.18,34727,995092,11002,4785,<notcounted>
Array,5407,320,11191033,14310646,1.28,35903,2314244,14892,6812,161
Array,7766,291,14930308,19295928,1.29,48278,3161423,29112,40416,148
Array,9441,273,17180086,21712236,1.26,43302,3599054,30804,196159,202
Array,26419,281,46908785,62482670,1.33,53525,10427803,90514,514913,242
Array,51655,320,109331028,134417934,1.23,106891,21187171,162797,1120455,1361
Array,70860,302,141190837,175728989,1.24,130729,27980595,287853,1493910,1344
Array,105333,283,199871096,250541777,1.25,131881,40449765,397988,2118346,1991
Array,232719,311,483491303,602468625,1.25,567437,96632083,896276,4985097,2448
Array,450043,302,956665850,1124880890,1.18,4900872,187367679,1447827,9754760,21939
Array,678382,271,1345699186,1569689302,1.17,10339021,260376548,2706108,13349038,21349
Array,914480,318,1981886670,2427210132,1.22,16427831,390257285,4750628,20474971,88844
Array,2253878,29,1124492096,1481608354,1.32,7877675,324892908,12040789,9746620,79521
Array,4501260,29,2586618535,3004892561,1.16,19661322,679024459,27714143,21481586,209275
Array,6771073,33,3960774608,4907988300,1.24,32912827,1054698993,34656486,32916573,314825
Array,10000000,2,4216492864,5071070067,1.20,21265955,1279246947,58236860,31181720,149869
LinkedList,914,314,4110961,3193857,0.78,29918,523193,7623,87221,<notcounted>
LinkedList,2262,302,5329656,6408634,1.20,23422,1013565,7036,435629,<notcounted>
LinkedList,5407,325,12768984,15154915,1.19,54133,2246584,7379,909971,58
LinkedList,7766,289,17586772,19198490,1.09,62556,3340941,8645,1277125,325
LinkedList,9441,324,23108393,25356108,1.10,63354,4233716,11338,1474340,208
LinkedList,26419,324,67680805,71020652,1.05,88318,10236851,13918,4514631,304
LinkedList,51655,309,137401147,139564722,1.02,435209,20299205,21036,7873779,3440
LinkedList,70860,310,187367450,186583112,1.00,972812,27258864,24148,10640420,693
LinkedList,105333,286,267560927,231956811,0.87,3016852,42491507,19241,15403616,5684
LinkedList,232719,306,809927569,578352758,0.71,27401261,87942719,55709,37631997,582890
LinkedList,450043,277,1380931491,1032816405,0.75,71523241,157733595,66603,61677808,952256
LinkedList,678382,289,2156009998,1629645912,0.76,119494841,249432209,119183,98444962,1565098
LinkedList,914480,329,3325254029,2385557084,0.72,187676721,376546441,147595,154786760,2361029
LinkedList,2253878,28,992090048,1147592570,1.16,41904036,220695972,116602,36461499,549542
LinkedList,4501260,34,2129333703,2580487952,1.21,107286655,470392990,184349,81386448,1269859
LinkedList,6771073,27,2666563169,3468853710,1.30,130293454,660397786,231610,99465529,1551513
LinkedList,10000000,3,1589396288,3442256830,2.17,33724021,731182268,329256,26083960,394571
AoS,914,325,2945972,2936191,1.00,16890,460420,6795,38336,<notcounted>
AoS,2262,324,5085762,5740228,1.13,30757,910549,7275,316374,<notcounted>
AoS,5407,305,10725525,12023742,1.12,48439,1861124,7295,695356,186
AoS,7766,275,13577573,15706030,1.16,84346,2355907,7987,831659,378
AoS,9441,328,19013958,22692623,1.19,73313,3302878,8217,1272780,141
AoS,26419,298,46281981,57610845,1.24,74805,8229559,11917,3071817,154
AoS,51655,299,92353969,111810549,1.21,242338,15984954,16959,5853858,4062
AoS,70860,301,142572558,150881820,1.06,1687230,22220436,18682,8276949,15546
AoS,105333,310,200665881,235146146,1.17,2194859,33550321,18644,12484188,24424
AoS,232719,314,493289681,522243963,1.06,16814661,75875164,25279,27460691,104707
AoS,450043,270,842098468,874374841,1.04,41007520,125134489,27632,45770446,716814
AoS,678382,326,1570182683,1588493150,1.01,84593630,225293392,56595,83559299,1336546
AoS,914480,293,2069098346,1956261579,0.95,108828503,275747399,112332,100717186,1620828
AoS,2253878,27,533202858,526180275,0.99,26928890,79807845,42436,23874678,351135
AoS,4501260,32,1227514996,1190988274,0.97,60827444,178185905,85022,58315315,870589
AoS,6771073,30,1755184277,1754518557,1.00,88031838,251209552,135254,79832231,1259527
AoS,10000000,2,492483865,611469206,1.24,14449176,90308971,100193,11601181,168915
SoA,914,310,3257482,2907588,0.89,20309,460989,6981,3348,<notcounted>
SoA,2262,326,5076592,6081640,1.20,25231,911043,6696,2762,<notcounted>
SoA,5407,292,10195563,10168688,1.00,35930,1784705,7026,10355,67
SoA,7766,324,17241958,20364642,1.18,58257,2601050,9099,44813,312
SoA,9441,277,18064814,20926842,1.16,48838,2794235,9985,184989,324
SoA,26419,299,50394992,59893835,1.19,84003,8454786,13576,519070,349
SoA,51655,326,103770683,117530373,1.13,139825,18921576,15249,1081510,546
SoA,70860,280,124100209,140297864,1.13,141192,22397654,14929,1280475,1021
SoA,105333,281,185094480,216346671,1.17,210240,29833415,23897,1948186,291
