data_structure,N,runs,cycles,instructions,ipc,cache_misses,branches,branch_misses,L1_misses,TLB_misses
Array,974,315,2616746,3195766,1.22,24495,525605,9141,14847,<notcounted>
Array,2433,278,4838015,6131071,1.27,20188,995187,9827,8390,<notcounted>
Array,5343,285,9952617,12848107,1.29,40839,2138349,14590,34672,265
Array,8185,299,16059573,20471714,1.27,67103,3389309,22178,18239,156
Array,10651,301,20844831,26629502,1.28,55765,4356770,47144,220801,227
Array,23174,274,41004021,53515953,1.31,80548,8857818,83705,450957,225
Array,54918,282,98756235,127490459,1.29,117728,20747868,253247,1058904,388
Array,72582,274,128532214,165600170,1.29,170470,26664100,241957,1357777,1055
Array,101551,276,179934586,233805862,1.30,299971,37164636,309936,1926573,1202
Array,257503,271,454922501,594326297,1.31,1338762,96316994,771736,4853847,5462
Array,472323,283,882693151,1131001050,1.28,5337576,184725028,1892367,9456376,19076
Array,689528,283,1293447499,1656923308,1.28,11922666,270690308,2739577,13846025,22815
Array,904310,325,2084557498,2477654104,1.19,23619752,396060422,4349986,20538933,44874
Array,2263636,28,1277929392,1532983503,1.20,10625811,319943031,12629231,9725551,91053
Array,4515101,29,2659758466,3085831573,1.16,21242036,672340327,26773754,21095547,204948
Array,6775976,32,3668986259,4777048687,1.30,34852061,1045672239,33555852,32861288,304411
Array,10000000,2,3896331228,5063680458,1.30,25036407,1279044068,58072849,30737822,175982
LinkedList,974,291,2765441,3152420,1.14,28250,515956,7562,15146,<notcounted>
LinkedList,2433,281,5808122,6658274,1.15,39379,1029565,7575,374265,737
LinkedList,5343,300,11243120,14367268,1.28,38608,2067933,7644,928436,81
LinkedList,8185,305,18080804,21350560,1.18,53260,3386014,9505,1447861,60
LinkedList,10651,287,22755991,26246000,1.15,43406,4209155,10633,1694965,414
LinkedList,23174,298,51574913,56843840,1.10,124478,9185682,12386,3653451,667
LinkedList,54918,312,134594819,136101773,1.01,530309,21668679,16840,8995805,8499
LinkedList,72582,284,179436617,166348547,0.93,1514413,27602863,18091,10382687,9049
LinkedList,101551,295,263493453,241465485,0.92,3974224,39458543,22883,14995697,27369
LinkedList,257503,308,832009091,648714887,0.78,39279891,98301548,42154,40301688,627436
LinkedList,472323,297,1460917352,1136933300,0.78,86780402,177031994,61318,71040849,1126528
LinkedList,689528,314,2224002878,1740061644,0.78,136748801,265919933,74795,109421127,1733722
LinkedList,904310,318,2976299955,2316999507,0.78,186151258,353212920,107294,145247769,2308300
LinkedList,2263636,29,935979658,1200995382,1.28,45389695,225213897,100344,35655429,569966
LinkedList,4515101,33,2064779502,2520350994,1.22,104431692,467936433,204820,79594589,1267455
LinkedList,6775976,25,2560812677,3385561289,1.32,119995517,649162113,306129,92944226,1478041
LinkedList,10000000,4,1662621885,3528977137,2.12,40606926,742687439,372863,31546774,483961
AoS,974,288,2620604,2839922,1.08,20865,447808,7438,4373,<notcounted>
AoS,2433,307,5385112,6104105,1.13,35466,923083,6612,346266,<notcounted>
AoS,5343,278,9781422,11136891,1.14,34110,1687574,7256,627537,600
AoS,8185,296,15191847,17817722,1.17,42862,2674632,7374,990713,379
AoS,10651,318,20926812,25060792,1.20,64076,3645530,11155,1349428,209
AoS,23174,311,42644008,52743063,1.24,100559,7457613,9809,2852295,286
AoS,54918,322,103870713,128963148,1.24,232469,18400176,14690,6697797,867
AoS,72582,274,117484980,143943354,1.23,456094,20945859,12672,7529583,1705
AoS,101551,292,184616839,211483168,1.15,2024236,30767567,16260,11318997,5255
AoS,257503,314,557911949,580059013,1.04,21721559,83519666,28780,30722837,162470
