data_structure,N,runs,cycles,instructions,ipc,cache_misses,branches,branch_misses,L1_misses,TLB_misses
Array,1000,10,1161925,1151995,0.99,25007,229705,8240,12148,<notcounted>
Array,10000,10,3616356,4701205,1.30,30504,1021521,26292,24067,<notcounted>
Array,100000,10,32081717,45504544,1.42,99505,9705245,339064,231582,645
Array,1000000,10,372065960,499116618,1.34,1927457,120418703,4483698,3008129,10242
Array,10000000,10,4469228855,5621195415,1.26,34202705,1361555020,58330985,36911270,236452
LinkedList,1000,10,1466554,1221394,0.83,28021,239386,6282,13468,<notcounted>
LinkedList,10000,10,3330283,4750802,1.43,36784,956909,6551,97951,<notcounted>
LinkedList,100000,10,26946866,28366206,1.05,778379,9283600,14017,553311,6414
LinkedList,1000000,10,281304097,378307809,1.34,7742447,88543216,41793,6351130,95266
LinkedList,10000000,10,2508514453,3996142252,1.59,81802226,780558779,308668,61423096,910020
AoS,1000,10,2007996,969489,0.48,18422,182545,7139,21765,<notcounted>
AoS,10000,10,1852968,1986344,1.07,21214,328840,6504,<notcounted>,<notcounted>
AoS,100000,10,10022533,11488697,1.15,145597,1845503,8536,543489,367
AoS,1000000,10,110740509,113948649,1.03,4747383,18368221,19692,4445582,62674
AoS,10000000,10,1095240407,1151202133,1.05,47838540,174419594,121857,42324222,610690
SoA,1000,10,1167934,922843,0.79,26026,172866,6084,<notcounted>,<notcounted>
SoA,10000,10,1772992,1882997,1.06,19312,311654,6046,<notcounted>,<notcounted>
SoA,100000,10,9531699,12215374,1.28,74555,1853204,8256,125692,1002
SoA,1000000,10,96402007,112638310,1.17,1431047,17850611,22057,1293699,6817
SoA,10000000,10,928492381,1124326649,1.21,16036210,173841681,111530,12003229,143465
BST,1000,10,1367639,915135,0.67,21966,172799,6313,<notcounted>,<notcounted>
BST,10000,10,1555108,1605212,1.03,15636,274212,5889,<notcounted>,<notcounted>
BST,100000,10,7731024,7545886,0.98,58399,1370561,8577,89602,338
BST,1000000,10,63887781,82729162,1.29,989465,12544667,12182,715424,3985
BST,10000000,10,634441718,803051158,1.27,10916709,120029018,39244,7091883,110833
Vector,1000,10,1095621,900676,0.82,20046,169682,6110,<notcounted>,<notcounted>
Vector,10000,10,1662383,1677647,1.01,17392,284736,6139,17587,<notcounted>
Vector,100000,10,7594242,9651869,1.27,26769,1467708,7303,87097,<notcounted>
Vector,1000000,10,68428829,89088433,1.30,998282,13433695,11194,780166,2688
Vector,10000000,10,686226943,870364807,1.27,11965887,130154783,37296,7697696,118416
Deque,1000,10,1082356,985378,0.91,17407,171589,6119,<notcounted>,<notcounted>
Deque,10000,10,1510618,2401036,1.59,15691,285991,6147,21566,<notcounted>
Deque,100000,10,6646395,16327958,2.46,36484,1453603,6766,94687,<notcounted>
Deque,1000000,10,59830471,155419107,2.60,1199031,13221492,11991,856911,1355
