data_structure,N,runs,cycles,instructions,ipc,cache_misses,branches,branch_misses,L1_misses,TLB_misses
Array,1053,321,2972312,3482161,1.17,29189,565264,8600,10243,<notcounted>
Array,2516,299,5425221,6797327,1.25,20335,1080678,10528,2675,<notcounted>
Array,4906,300,9105123,12071049,1.33,25463,2000018,16898,12836,142
Array,7968,325,16662656,21451203,1.29,43471,3548526,23084,34686,240
Array,9021,275,16415481,21363737,1.30,43885,3467602,26109,156551,162
Array,25949,279,47043423,60449610,1.28,74945,9976474,107107,479458,61
Array,46319,298,86720554,113296797,1.31,84573,18846631,183188,932489,405
Array,69772,277,122734342,160274486,1.31,117445,25657575,230398,1319682,1143
Array,98137,329,200187647,263430224,1.32,146183,41235395,277282,2161392,628
Array,225312,314,443263822,581666012,1.31,422771,92758738,532590,4902773,3524
Array,482431,285,948941485,1167566872,1.23,4138013,187453249,2096971,9878914,24514
Array,690205,273,1236041320,1614567890,1.31,5443216,263726935,2608387,13454555,3552
Array,921112,282,1928897078,2229359782,1.16,21984104,362322107,4747513,18420100,31343
Array,2269371,30,1280689718,1519109800,1.19,9821520,329009320,13033982,10222498,89038
Array,4519202,25,2544709422,2898963753,1.14,19094166,663012506,26346870,20107642,163637
Array,6761448,26,3672831758,4550587823,1.24,28675742,1007409696,36928361,29847855,248285
Array,10000000,4,3941711904,5163056448,1.31,19762160,1290419662,58679780,31850460,150401
LinkedList,1053,284,2977217,3339719,1.12,25375,547356,7633,78829,<notcounted>
LinkedList,2516,300,5875525,7040500,1.20,25648,1094704,6566,458198,<notcounted>
LinkedList,4906,328,11993469,14632563,1.22,50151,2057133,7350,913692,196
LinkedList,7968,302,18108291,21399055,1.18,67918,3254855,9855,1338798,168
LinkedList,9021,279,19249254,22490435,1.17,57711,3525543,11099,1298599,166
LinkedList,25949,314,60325468,69009216,1.14,183736,10018589,12524,4136059,229
LinkedList,46319,306,103522777,119902719,1.16,176223,18512293,13275,7285345,291
LinkedList,69772,277,150936540,167239551,1.11,802457,24906880,17008,9626520,639
LinkedList,98137,299,248004188,229885942,0.93,4220270,38374844,19320,15301540,4237
LinkedList,225312,294,654376240,539720122,0.82,21371797,80292283,25956,33420405,494810
LinkedList,482431,312,1524615994,1227859863,0.81,83460646,183264132,49092,76220700,1197139
LinkedList,690205,307,2109841027,1706030010,0.81,126652551,261639263,70147,107015018,1692351
LinkedList,921112,282,2648225580,2125888925,0.80,160503567,325853870,90007,130987470,2077343
LinkedList,2269371,33,1114675218,1271676036,1.14,52792691,233891651,126832,40684164,640657
LinkedList,4519202,28,1976583463,2357243304,1.19,91155015,441479428,254583,68339405,1089529
LinkedList,6761448,31,2944067646,3647908507,1.24,147050706,692153152,286698,112763316,1759374
LinkedList,10000000,2,1823152824,3522319731,1.93,28406847,718749806,439943,22051181,333798
AoS,1053,302,2934822,3099615,1.06,22518,484271,7358,53257,<notcounted>
AoS,2516,289,5175415,6060035,1.17,20736,908723,6950,325431,<notcounted>
AoS,4906,317,10974665,12571730,1.15,34081,1785903,8017,642746,507
AoS,7968,276,16423671,16143390,0.98,87736,2406193,7961,880121,329
AoS,9021,297,18644986,19502069,1.05,75766,2749992,11359,1128616,141
AoS,25949,307,50875861,62843528,1.24,104612,8326877,13748,2989832,2275
AoS,46319,321,96571966,116753983,1.21,280890,15224158,18113,5446267,1360
AoS,69772,311,143451523,152269025,1.06,995067,23142010,18686,8494815,2399
AoS,98137,293,184188064,207083244,1.12,2639168,29885089,19365,10975054,19663
AoS,225312,290,479262210,470370210,0.98,20090646,66765488,37782,25014763,74796
AoS,482431,325,1251291097,1126752850,0.90,67858388,166383256,79325,59211012,907529
AoS,690205,299,1465510090,1482353145,1.01,84775194,212061223,62370,77985378,1234217
AoS,921112,320,2138585721,2110566112,0.99,127809551,303652898,88276,111739807,1759025
AoS,2269371,33,611648488,631199570,1.03,33786265,89186510,44925,29133330,454388
AoS,4519202,29,1070592933,1130272221,1.06,59601580,161783129,71902,51459419,801920
AoS,6761448,34,1845864198,1913853505,1.04,103361065,278069035,111148,89764162,1407685
AoS,10000000,4,623137525,738533108,1.19,23233905,108861264,104428,19868134,294138
SoA,1053,304,3350629,3119076,0.93,22558,487725,7403,5797,<notcounted>
SoA,2516,301,5157386,6289288,1.22,19716,943628,7016,4902,<notcounted>
SoA,4906,320,9338382,11256893,1.21,25218,1760238,7009,13775,206
SoA,7968,309,14395426,17709273,1.23,41972,2664671,7114,7352,79
SoA,9021,288,15523317,19074955,1.23,29595,2797767,6684,157040,75
SoA,25949,288,43563847,54443509,1.25,101862,7816410,11306,499677,562
SoA,46319,272,72554876,91804018,1.27,123889,13185382,14408,838332,811
SoA,69772,272,108977459,137861454,1.27,167096,19803655,15163,1242557,1137
SoA,98137,282,157729081,198610771,1.26,183086,28558565,17108,1817889,1279
SoA,225312,283,366380139,459153284,1.25,1780666,65679123,28250,4190464,5834
SoA,482431,320,904840938,1106821323,1.22,11601492,158604783,48800,10171399,49449
SoA,690205,299,1189811000,1480053734,1.24,12217375,213041257,54895,13553901,57888
SoA,921112,298,1595093030,1974349953,1.24,21180678,282392329,53932,17930609,58991
SoA,2269371,28,444075906,549253030,1.24,7440190,80024424,36737,5520116,75260
