data_structure,N,runs,cycles,instructions,ipc,cache_misses,branches,branch_misses,L1_misses,TLB_misses
Array,960,328,1688606,2207212,1.31,87,0,0,0,0
Array,2566,319,4348591,5732851,1.32,298,0,0,0,0
Array,5463,312,9070650,11934104,1.32,212,0,0,0,0
Array,8024,328,14105934,18426163,1.31,1606,0,0,0,0
Array,9160,282,13968889,18084483,1.29,823,0,0,0,0
Array,24924,329,44519889,57403072,1.29,23501,0,0,0,0
Array,46020,316,79169301,101799224,1.29,63455,0,0,0,0
Array,73584,286,114983083,147317880,1.28,134503,0,0,0,0
Array,100423,295,160953299,207376297,1.29,33144,0,0,0,0
Array,225171,295,361861792,464980971,1.28,258698,0,0,0,0
Array,469682,293,754621054,963320721,1.28,1778510,0,0,0,0
Array,695724,299,1143789975,1456153422,1.27,3688825,0,0,0,0
Array,918632,282,1436688400,1813382583,1.26,8180339,0,0,0,0
Array,2252893,32,412691805,504648528,1.22,6569376,0,0,0,0
Array,4507855,27,696182150,851985122,1.22,11788580,0,0,0,0
Array,6770707,31,1201966637,1469244110,1.22,20490490,0,0,0,0
Array,10000000,3,171476686,210000171,1.22,2959994,0,0,0,0
LinkedList,960,284,1311681,1910567,1.46,36,0,0,0,0
LinkedList,2566,309,11679846,5552524,0.48,76,0,0,0,0
LinkedList,5463,283,31301080,10824292,0.35,4222,0,0,0,0
LinkedList,8024,288,81938160,16178525,0.20,72196,0,0,0,0
LinkedList,9160,290,69712446,18596949,0.27,11510,0,0,0,0
LinkedList,24924,297,323102401,51819277,0.16,109960,0,0,0,0
LinkedList,46020,304,644914279,97932958,0.15,198069,0,0,0,0
LinkedList,73584,327,1273024251,168436537,0.13,1954555,0,0,0,0
LinkedList,100423,279,1781984478,196128829,0.11,6974413,0,0,0,0
LinkedList,225171,308,9039732991,485476213,0.05,136628977,0,0,0,0
LinkedList,469682,310,25377750937,1019226033,0.04,599397633,0,0,0,0
LinkedList,695724,304,37735449210,1480523751,0.04,966971127,0,0,0,0
LinkedList,918632,329,56538254447,2115643247,0.04,1539429661,0,0,0,0
LinkedList,2252893,30,14217191648,473115539,0.03,399411640,0,0,0,0
LinkedList,4507855,25,25339818255,788888997,0.03,700341182,0,0,0,0
LinkedList,6770707,25,39216305429,1184895406,0.03,1071877603,0,0,0,0
LinkedList,10000000,3,7120896622,210004036,0.03,193454872,0,0,0,0
AoS,960,275,1403670,1850302,1.32,30,0,0,0,0
AoS,2566,271,3779781,4869974,1.29,414,0,0,0,0
AoS,5463,328,9769120,12545780,1.28,2162,0,0,0,0
AoS,8024,275,12034284,15448513,1.28,4202,0,0,0,0
AoS,9160,300,15101467,19238507,1.27,9050,0,0,0,0
AoS,24924,308,41707847,53738723,1.29,65,0,0,0,0
AoS,46020,329,82790549,105986851,1.28,39877,0,0,0,0
AoS,73584,279,112516173,143711948,1.28,107759,0,0,0,0
AoS,100423,327,181728581,229871027,1.26,355599,0,0,0,0
AoS,225171,321,453372694,505962042,1.12,11759749,0,0,0,0
AoS,469682,278,824906158,914003729,1.11,25057231,0,0,0,0
AoS,695724,313,1404779174,1524334260,1.09,56175592,0,0,0,0
AoS,918632,313,1862781153,2012725808,1.08,81954479,0,0,0,0
AoS,2252893,26,384560075,410026939,1.07,19939334,0,0,0,0
AoS,4507855,25,724065988,788875127,1.09,38968439,0,0,0,0
AoS,6770707,27,1180272883,1279664262,1.08,63618408,0,0,0,0
AoS,10000000,3,192349309,210000179,1.09,10532350,0,0,0,0
SoA,960,277,1412744,1864034,1.32,2,0,0,0,0
SoA,2566,289,3946323,5193723,1.32,36,0,0,0,0
SoA,5463,304,8851124,11628110,1.31,372,0,0,0,0
SoA,8024,292,12530909,16403791,1.31,819,0,0,0,0
SoA,9160,270,13368430,17314946,1.30,166,0,0,0,0
SoA,24924,308,41665092,53739048,1.29,28913,0,0,0,0
SoA,46020,317,78949795,102121362,1.29,42473,0,0,0,0
SoA,73584,285,113766223,146802802,1.29,63765,0,0,0,0
SoA,100423,329,179401386,231277298,1.29,54970,0,0,0,0
SoA,225171,312,383362159,491776501,1.28,661387,0,0,0,0
SoA,469682,305,781990541,1002774144,1.28,1802005,0,0,0,0
SoA,695724,301,1155471502,1465893586,1.27,6893941,0,0,0,0
SoA,918632,315,1597616458,2025586921,1.27,9127671,0,0,0,0
SoA,2252893,29,371297688,457337742,1.23,5591886,0,0,0,0
SoA,4507855,29,744844247,915095124,1.23,12326014,0,0,0,0
SoA,6770707,27,1043394529,1279664239,1.23,17499611,0,0,0,0
SoA,10000000,2,113578356,140000148,1.23,1983072,0,0,0,0
BST,960,287,1314715,2893345,2.20,27,0,0,0,0
BST,2566,290,5212140,7610285,1.46,133,0,0,0,0
BST,5463,273,14840696,15109296,1.02,1617,0,0,0,0
BST,8024,297,28983217,24058612,0.83,5790,0,0,0,0
BST,9160,276,34716991,25493692,0.73,4162,0,0,0,0
BST,24924,321,144782502,81990282,0.57,1268,0,0,0,0
BST,46020,295,303192624,139558197,0.46,3872,0,0,0,0
BST,73584,296,493086695,230800030,0.47,849789,0,0,0,0
BST,100423,285,839888728,314099215,0.37,11327730,0,0,0,0
BST,225171,316,3728303421,950707524,0.25,218953459,0,0,0,0
BST,469682,310,12049738412,1894322898,0.16,698368404,0,0,0,0
BST,695724,291,16650042216,2566115455,0.15,1031863333,0,0,0,0
BST,918632,287,27196958519,3258723105,0.12,1429399905,0,0,0,0
BST,2252893,34,7195841382,903878235,0.13,433561822,0,0,0,0
BST,4507855,26,10417921812,1439798012,0.14,673520766,0,0,0,0
BST,6770707,27,15836597461,2301094357,0.15,1059641602,0,0,0,0
BST,10000000,3,2383941291,377487016,0.16,174371815,0,0,0,0
Vector,960,281,1455984,1890950,1.30,21,0,0,0,0
Vector,2566,298,4087177,5355460,1.31,148,0,0,0,0
Vector,5463,289,8347159,11054355,1.32,0,0,0,0,0
Vector,8024,292,12375683,16403789,1.33,3,0,0,0,0
Vector,9160,304,15042482,19495322,1.30,114,0,0,0,0
Vector,24924,281,37700943,49028151,1.30,886,0,0,0,0
Vector,46020,303,75475367,97611267,1.29,5218,0,0,0,0
Vector,73584,290,116347492,149378269,1.28,53249,0,0,0,0
Vector,100423,309,168290496,217217881,1.29,59169,0,0,0,0
Vector,225171,286,349908327,450795138,1.29,297621,0,0,0,0
Vector,469682,286,730790776,940306231,1.29,927687,0,0,0,0
Vector,695724,319,1210635168,1553555000,1.28,2733654,0,0,0,0
Vector,918632,270,1360835984,1736217372,1.28,4992430,0,0,0,0
Vector,2252893,32,409458510,504648535,1.23,6533013,0,0,0,0
Vector,4507855,31,797849003,978205122,1.23,13010427,0,0,0,0
Vector,6770707,33,1276294211,1564034044,1.23,21581141,0,0,0,0
Vector,10000000,3,171567890,210000173,1.22,2954392,0,0,0,0
