data_structure,N,runs,cycles,instructions,ipc,cache_misses,branches,branch_misses,L1_misses,TLB_misses
Array,1069,291,1645608,2180028,1.32,31,311756,327,0,0
Array,2458,270,1212383,2612061,2.15,12,487256,272,388,0
Array,5159,280,2668060,7692126,2.88,54,1445179,321,8648,0
Array,7221,322,5452511,10160732,1.86,194,1850363,293,10356,0
Array,10229,315,10181572,16493803,1.62,29,2362857,269,137438,0
Array,25571,329,23684060,39717282,1.68,13452,6241086,289,388938,3
Array,47703,294,38536288,66368628,1.72,32130,10633956,404,644708,526
Array,75275,312,71307953,116337372,1.63,1398,16723173,325,1069094,37
Array,107254,295,92741105,153277452,1.65,43933,23587377,273,1416158,275
Array,228567,296,209198675,335597386,1.60,996711,48177737,578,3063990,987
Array,457842,290,412716446,664144433,1.61,1006029,95218750,288,5922535,1512
Array,682985,288,616452894,983736741,1.60,3513306,140709518,853,8802748,8712
Array,916491,284,830855078,1298705055,1.56,10449409,185444498,540,11682007,23944
Array,2275008,31,229223629,356304538,1.55,4446948,50755655,273,3138876,37744
Array,4519361,31,461660790,704279812,1.53,9501172,99658094,92,6248077,78534
Array,6781054,25,548068492,844610393,1.54,12087044,121668592,398,7607019,93937
Array,10000000,3,90680032,143578917,1.58,2083829,21985025,113,1389712,16263
LinkedList,1069,292,71966,820560,11.40,358,312830,328,50343,0
LinkedList,2458,312,4122418,2877558,0.70,5829,613215,335,626526,5
LinkedList,5159,292,15719225,8111861,0.52,3339,1143420,254,963571,0
LinkedList,7221,300,30769484,10822684,0.35,7616,1609841,256,1610547,0
LinkedList,10229,279,48488306,14589219,0.30,9444,2110128,260,2142924,6
LinkedList,25571,275,168141576,35201589,0.21,21174,4962714,334,5588416,16
LinkedList,47703,277,359367064,66064966,0.18,309629,9418040,286,10149306,445
LinkedList,75275,299,819870982,113193067,0.14,3960940,16084758,475,16771396,36909
LinkedList,107254,283,1129713644,152461248,0.13,5554264,21629678,258,22344728,43496
LinkedList,228567,309,5633768446,352894568,0.06,110138781,50460737,752,66234530,7368816
LinkedList,457842,290,13071215953,663383847,0.05,387074549,94847211,2145,190593992,44953197
LinkedList,682985,307,22297320059,1048292887,0.05,728362310,149779390,2952,343204063,87343708
LinkedList,916491,312,32483868752,1429568701,0.04,1078722129,204268845,2457,501421783,130832011
LinkedList,2275008,34,10783435625,386656951,0.04,334497721,55278652,930,152939599,40803900
LinkedList,4519361,32,19980056283,722946401,0.04,660380375,103366022,2412,296201734,79400828
LinkedList,6781054,31,28932924968,1050802221,0.04,965695976,150187170,2433,438130272,116888082
LinkedList,10000000,4,5740819002,199874774,0.03,191512477,28586405,760,84305480,22437279
AoS,1069,309,250306,1560657,6.23,49,331036,341,17898,0
AoS,2458,307,870160,3069447,3.53,44,755318,346,146210,3
AoS,5159,328,1857638,5688311,3.06,14,1692907,362,338162,0
AoS,7221,272,5197174,8971664,1.73,1577,1420203,236,390111,1
AoS,10229,304,8045055,14139031,1.76,2565,2478273,312,564544,9
AoS,25571,319,25805904,40780601,1.58,7734,5804781,272,1449612,1
AoS,47703,309,41922680,70136390,1.67,30350,11186836,278,2677944,68
AoS,75275,271,64798484,101286917,1.56,230782,14328499,251,3750815,915
AoS,107254,273,94218118,149778951,1.59,811469,21141766,426,5158888,12515
AoS,228567,281,222962219,323917131,1.45,5520509,46095816,589,11463297,88237
AoS,457842,288,481927156,658712287,1.37,21221678,93967784,437,23727357,283260
AoS,682985,287,741264357,979291319,1.32,44190400,140043861,763,35114297,432833
AoS,916491,274,921695480,1255909135,1.36,57893832,180025657,809,44823137,558092
AoS,2275008,30,245455474,338722642,1.38,16720579,48894941,198,12296072,151630
AoS,4519361,26,431607618,587499257,1.36,29466906,84195902,333,21054303,260544
AoS,6781054,34,843976091,1153800015,1.37,57541947,165003557,71,41203444,512979
AoS,10000000,2,71500272,99678939,1.39,4938474,14241513,40,3608035,45183
SoA,1069,306,478511,1624114,3.39,58,327823,338,148,0
SoA,2458,294,943663,2896343,3.07,0,723338,326,428,1
SoA,5159,294,3835247,7066880,1.84,7,1225381,278,3766,1
SoA,7221,283,3978705,8267738,2.08,64,1462185,279,6732,0
SoA,10229,272,5224518,10980859,2.10,2022,1883910,356,164005,19
SoA,25571,301,23199119,37936189,1.64,10810,5376407,243,358493,1
SoA,47703,276,38447556,64141421,1.67,33854,9717306,254,595120,0
SoA,75275,287,68129681,110318368,1.62,77813,15511761,286,950028,286
SoA,107254,284,91754050,149869407,1.63,285147,21843094,468,1388529,1917
SoA,228567,319,221529905,358477572,1.62,863973,52925689,410,3276840,137
SoA,457842,277,397628015,636545372,1.60,1008909,90191389,237,5661052,68
SoA,682985,284,619208495,972105733,1.57,12743469,138725349,592,8649585,21969
SoA,916491,297,865487276,1358875056,1.57,9152457,193743172,716,12206324,32822
SoA,2275008,26,192705844,297242652,1.54,3995895,42177278,79,2630121,31995
SoA,4519361,31,461714386,701369095,1.52,9522791,99927274,542,6228187,78501
SoA,6781054,26,570168795,876635806,1.54,12222947,125789878,45,7948426,98791
SoA,10000000,3,91569861,145899319,1.59,2141931,22036087,99,1369395,15909
BST,1069,304,1215033,3400988,2.80,24,668896,1461,17161,0
BST,2458,271,1700145,6819346,4.01,186,1350218,2917,814756,0
BST,5159,299,3137951,7680011,2.45,2,2960907,7774,2379013,1
BST,7221,322,13805103,18121397,1.31,4868,3615224,9061,2699564,0
BST,10229,308,22300498,23455210,1.05,560,4733403,22763,3923991,1
BST,25571,322,102007082,59337197,0.58,902,11902702,52369,9971853,70
BST,47703,322,203955719,112301345,0.55,7905,22274989,127181,18061761,430
BST,75275,292,439219218,167267826,0.38,5159840,33299321,174613,25361431,18050
BST,107254,273,429455785,227819585,0.53,3983217,45035730,150333,34834003,68562
BST,228567,295,2176171587,643197727,0.30,160614657,111529330,472790,102835967,17259221
BST,457842,302,7868551340,1290281893,0.16,529675757,221361220,772804,280089819,79348302
BST,682985,327,11584394906,2029318368,0.18,854409389,364110458,1930735,458387826,128580159
BST,916491,315,19218925669,2546139324,0.13,1155862351,468612713,3670613,596163130,166204598
BST,2275008,31,4638155586,594169647,0.13,288995131,114046627,1079046,147459911,40645559
BST,4519361,26,7020937857,1031570783,0.15,486464512,189190892,1371332,248617977,67728608
BST,6781054,34,13307520572,2075050442,0.16,965418795,369262013,1798884,488869646,132810568
BST,10000000,3,0,0,0.00,0,0,0,0,0
