data_structure,N,runs,cycles,instructions,ipc,cache_misses,branches,branch_misses,L1_misses,TLB_misses
Array,1005,312,2862354,3270017,1.14,20947,532861,8417,1346,<notcounted>
Array,2481,271,5108534,6268738,1.23,23603,1005639,10277,5873,<notcounted>
Array,5458,305,10915477,14108978,1.29,33581,2235521,17545,10946,443
Array,7097,281,13146377,16910679,1.29,43597,2761621,22435,15292,105
Array,9864,276,18030748,22989169,1.27,39202,3829506,35912,198708,329
Array,25480,286,46546637,61637318,1.32,77971,10016906,85219,493987,129
Array,45693,327,93689212,120440967,1.29,151193,20135490,168057,1002099,422
Array,69637,302,131552192,170455909,1.30,165479,27933021,177608,1410018,442
Array,94564,304,184111143,236463639,1.28,295765,37874514,351881,1963034,363
Array,249166,319,505400890,656602611,1.30,1200812,105352064,1085209,5482879,1957
Array,454467,311,926626927,1178681307,1.27,5777400,188941552,2091926,10030988,30119
Array,678432,283,1300442321,1642935518,1.26,11958613,266112577,2986404,13824476,26389
Array,923047,284,1854096356,2199203670,1.19,19031927,367269738,4625907,19039957,68960
Array,2258339,30,1410215709,1498849265,1.06,11353923,321625110,12734917,10930943,111328
Array,4528709,33,2872044219,3189330667,1.11,23794509,694950819,26493464,22862482,231767
Array,6774450,27,3808107797,4571775274,1.20,32524980,1015949392,35278463,31095867,284197
Array,10000000,3,4381836676,5143863709,1.17,24983955,1289754541,59214968,32523488,213168
LinkedList,1005,319,3363678,3414058,1.01,16607,554461,6874,139562,<notcounted>
LinkedList,2481,300,5892745,6744972,1.14,33862,1083018,7070,476371,<notcounted>
LinkedList,5458,310,12474873,13456113,1.08,40157,2380449,7589,910290,170
LinkedList,7097,297,17239309,19336280,1.12,48216,2791901,10169,1147808,174
LinkedList,9864,313,27381673,24002444,0.88,85233,4349948,11549,1599631,475
LinkedList,25480,295,66127191,70198335,1.06,194070,9632878,15946,3687595,1784
LinkedList,45693,322,131350669,128775240,0.98,553591,18422935,22088,7054758,1329
LinkedList,69637,315,210441853,180415879,0.86,2265815,27776641,25937,10459660,1880
LinkedList,94564,315,373612039,245205635,0.66,11748119,35854142,41317,14276507,21250
LinkedList,249166,278,927969539,600907346,0.65,40632789,85733831,67928,34174523,534513
LinkedList,454467,290,1748242615,1110613072,0.64,88268898,167417960,122644,65204718,1069635
LinkedList,678432,323,2474425033,1767118836,0.71,141258963,272668104,149729,110616890,1756835
LinkedList,923047,291,3105194036,2207173759,0.71,178602175,341557112,177302,134663454,2146629
LinkedList,2258339,26,983544548,1149268078,1.17,42122410,216480130,140334,31528231,525235
LinkedList,4528709,26,1892989567,2272299205,1.20,82426727,437701674,249876,64012563,1045796
LinkedList,6774450,32,3016482472,3712593885,1.23,148778110,699154169,278025,116768372,1829632
LinkedList,10000000,3,1658015287,3471488908,2.09,33740533,728660466,367939,27443623,400491
AoS,1005,327,3050421,3179930,1.04,32687,496507,6928,8803,<notcounted>
AoS,2481,291,4663008,5804125,1.24,24925,902073,6965,310368,<notcounted>
AoS,5458,315,11512178,12336247,1.07,49038,1906890,8410,747917,566
AoS,7097,300,13781366,15002244,1.09,40249,2368567,7908,899263,612
AoS,9864,272,16513134,19752332,1.20,68023,2940029,7213,1102336,112
AoS,25480,319,48008134,59075102,1.23,97498,8512961,12687,3189660,119
AoS,45693,312,84266902,102983485,1.22,204748,14698226,13472,5582403,222
AoS,69637,321,138103458,162367748,1.18,793425,23011941,17196,8469598,6137
AoS,94564,310,190975607,211245042,1.11,2942478,30049595,18658,11233292,6007
AoS,249166,306,637251838,547961738,0.86,33574248,79271480,47160,29034000,358425
AoS,454467,311,1035994065,1015730263,0.98,58488277,145951301,58898,53236525,840049
AoS,678432,319,1587705697,1547887463,0.97,91866875,223045144,76918,81955103,1295565
AoS,923047,295,2026338118,1959249158,0.97,116821110,281205439,90328,103499562,1625896
AoS,2258339,31,592969051,595093552,1.00,31842242,86927952,50437,27605164,434978
AoS,4528709,31,1155952798,1189193155,1.03,62896554,171407246,81088,54685667,866080
AoS,6774450,34,1907290284,1923753039,1.01,104178204,278314634,131668,90070680,1410499
AoS,10000000,3,560105479,662222439,1.18,18354407,98204192,99618,16119949,234452
SoA,1005,283,2898588,2856748,0.99,25509,449458,6811,8429,<notcounted>
SoA,2481,286,4936028,5897664,1.19,23308,884850,7176,2286,<notcounted>
SoA,5458,287,9490374,10971716,1.16,39056,1772114,7112,26903,185
SoA,7097,325,13977150,16871443,1.21,48299,2523693,7222,34036,219
SoA,9864,295,17427857,21200156,1.22,51535,3131310,8941,204132,334
SoA,25480,297,44240553,55389486,1.25,87469,7938489,12040,504340,391
SoA,45693,293,77506761,97421485,1.26,128071,13869327,15586,880359,506
SoA,69637,298,117785253,148827237,1.26,249139,21503596,14709,1374074,572
SoA,94564,277,149642020,189606207,1.27,304319,27258219,20775,1746147,1454
SoA,249166,273,393424127,490237510,1.25,2172105,70244711,27930,4546159,12748
SoA,454467,322,851537841,1048820061,1.23,9481042,150476934,49230,9621462,36756
SoA,678432,317,1243912566,1541206978,1.24,13661503,220881196,56128,14104570,36772
SoA,923047,309,1666339890,2044651467,1.23,22538860,293973234,73955,18671706,98485
SoA,2258339,32,488524290,608883585,1.25,8344743,87319563,40394,5890187,83768
SoA,4528709,30,964177260,1155398882,1.20,16275053,166427421,80186,12260530,166921
SoA,6774450,32,1471277138,1819624031,1.24,25639152,265448429,115953,17748445,262037
SoA,10000000,2,452966372,583972354,1.29,7853967,88568254,93423,7238509,78793
