data_structure,N,runs,median_cycles,median_instructions,ipc,median_cache_misses,median_branches,median_branch_misses,median_l1_misses,median_tlb_misses,cv_pct
Array,1000,100,0,0,0.00,0,0,0,0,0,0.0
Array,2500,100,0,0,0.00,0,0,0,0,0,0.0
Array,5000,100,0,0,0.00,0,0,0,0,0,0.0
Array,7500,100,0,0,0.00,0,0,0,0,0,0.0
Array,10000,100,0,0,0.00,0,0,0,0,0,0.0
Array,25000,100,0,0,0.00,0,0,0,0,0,0.0
Array,50000,100,0,0,0.00,0,0,0,0,0,0.0
Array,75000,100,0,0,0.00,0,0,0,0,0,0.0
Array,100000,100,0,0,0.00,0,0,0,0,0,0.0
Array,250000,100,0,0,0.00,0,0,0,0,0,0.0
Array,500000,100,0,0,0.00,0,0,0,0,0,0.0
Array,750000,100,0,0,0.00,0,0,0,0,0,0.0
Array,1000000,20,0,0,0.00,0,0,0,0,0,0.0
Array,2500000,20,0,0,0.00,0,0,0,0,0,0.0
Array,5000000,20,0,0,0.00,0,0,0,0,0,0.0
Array,7500000,20,0,0,0.00,0,0,0,0,0,0.0
Array,10000000,3,0,0,0.00,0,0,0,0,0,0.0
LinkedList,1000,100,0,0,0.00,0,0,0,0,0,0.0
LinkedList,2500,100,0,0,0.00,0,0,0,0,0,0.0
LinkedList,5000,100,0,0,0.00,0,0,0,0,0,0.0
LinkedList,7500,100,0,0,0.00,0,0,0,0,0,0.0
LinkedList,10000,100,0,0,0.00,0,0,0,0,0,0.0
LinkedList,25000,100,0,0,0.00,0,0,0,0,0,0.0
LinkedList,50000,100,0,0,0.00,0,0,0,0,0,0.0
LinkedList,75000,100,0,0,0.00,0,0,0,0,0,0.0
LinkedList,100000,100,0,0,0.00,0,0,0,0,0,0.0
LinkedList,250000,100,0,0,0.00,0,0,0,0,0,0.0
LinkedList,500000,100,0,0,0.00,0,0,0,0,0,0.0
