DataStructure,N,runs,med_cyc,avg_cyc,med_ins,avg_ins,ipc,med_cm,avg_cm,med_br,avg_br,med_brm,avg_brm,med_l1,avg_l1,med_tlb,avg_tlb,cv_pct,stddev_cycles,ci95_cycles
LinkedList,13172,50,496920,440278,92658,53167,0.19,3,18,13273,11911,13,12,14369,12885,0,0,37.4,164619,45630
CircularBuffer,13364,50,74233,70782,94005,94005,1.27,0,2,13465,13465,13,12,858,858,0,0,20.9,14824,4109
BST,13244,50,285998,156460,135107,93380,0.47,0,1,26943,22677,94,88,21631,21627,0,0,90.6,141695,39276
Trie,13208,50,8477476,8888247,2404358,2500832,0.28,369262,376244,694543,716906,147748,152751,145710,147225,7273,7615,30.8,2733946,757811
Deque,13334,50,67871,63414,153226,79853,2.26,4,9,28787,28787,30,30,848,849,0,0,27.1,17208,4770
HashMap,13416,50,89323,49025,188019,164489,2.10,1,4,40349,40349,174,176,20036,20015,0,0,91.1,44684,12386
SoA,13292,50,1481,6396,325,42215,0.22,1,6,13393,13393,13,13,839,839,0,0,276.7,17696,4905
Heap,13320,50,72644,46828,93697,92918,1.29,8,13,39,3518,13,13,842,843,0,0,74.3,34776,9639
AoS,13178,50,1108,29832,92703,72379,83.67,6,19,13279,13279,14,14,3305,3306,0,0,119.1,35543,9852
SoA,13656,50,1063,4422,325,38614,0.31,29,45,13757,13757,14,14,863,864,0,0,335.9,14853,4117
LinkedList,13739,50,463271,334255,96627,86580,0.21,3,23,13840,12358,13,13,15717,11195,0,0,63.1,210814,58435
SlabList,13633,50,1059,36729,100903,82951,95.28,3,6,14451,14451,26,27,910,910,0,0,106.4,39079,10832
Deque,13705,50,67415,41066,155123,155123,2.30,5,10,28787,28787,32,32,866,867,0,0,79.9,32821,9098
RBTree,13738,50,222167,144632,140446,113655,0.63,0,3,27989,22802,98,96,19937,19935,0,0,76.0,109930,30471
BTree,13727,50,224702,142364,221928,183830,0.99,1,6,39,15794,4845,4807,17727,17726,0,1,88.0,125284,34727
CircularBuffer,13666,50,1521,30834,96119,75044,63.19,3,5,13767,13767,14,14,865,866,0,0,118.0,36379,10084
vEBTree,13577,50,74814,74671,95496,95496,1.28,25,40,13678,13678,12,12,857,857,0,0,1.3,962,267
HashMap,13599,50,1476,28246,189209,112329,128.19,2,7,40898,40898,262,306,21196,21202,0,0,158.9,44893,12444
Heap,13540,50,75169,75371,95237,95237,1.27,66,85,13641,13641,13,13,857,857,0,0,1.6,1186,329
BST,13604,50,207831,129114,139106,111309,0.67,0,3,27721,22258,94,96,22927,22923,0,0,82.0,105889,29351
Vector,13511,50,74679,74556,95034,95034,1.27,3,7,13612,13612,14,14,854,854,0,0,0.7,553,153
Trie,13473,50,7903887,7907382,2418781,2535811,0.31,369458,377861,709172,733309,147446,150781,141753,147944,6591,6689,29.6,2344456,649850
Array,13685,50,75095,69222,96252,80081,1.28,43,73,13786,13786,14,15,873,614,0,0,29.6,20468,5673
AoS,13620,50,74345,42908,95797,80687,1.29,30,44,13721,13721,14,14,3424,3424,0,0,86.6,37141,10295
SkipList,13515,50,244799,196087,95061,82475,0.39,1837,2300,13616,11657,12,11,13679,11750,0,1,61.6,120797,33483
AoS,13879,50,1398,20997,97610,77540,69.82,82,146,13980,13980,14,14,3485,3485,0,0,159.2,33426,9265
BST,13805,50,303865,226194,141116,122274,0.46,1,6,28123,24420,97,92,22654,19625,0,0,59.4,134329,37234
vEBTree,13843,50,1450,16704,3902,47043,2.69,2,7,13944,13944,13,13,878,878,0,0,181.0,30230,8379
Heap,13867,50,76157,42036,97526,80029,1.28,1,4,13968,13968,13,12,887,886,0,0,90.1,37857,10493
LinkedList,13911,50,538035,366152,97831,81409,0.18,3,22,14012,11738,14,13,15248,13958,0,0,70.1,256704,71155
Array,13800,50,75921,53869,97057,97057,1.28,0,1,13901,13901,14,14,873,512,0,0,63.7,34294,9506
HashMap,13871,50,188720,120514,189559,153697,1.00,2,17,41714,36355,741,768,19178,19170,0,0,75.8,91303,25308
RBTree,14028,50,319922,236941,143346,123702,0.45,0,3,28569,24995,95,89,20287,19775,0,0,59.0,139759,38739
SoA,13871,50,2031,34258,97554,69402,48.03,2,8,13972,13972,14,14,886,885,0,0,108.9,37295,10338
BTree,13809,50,306196,184737,222868,193129,0.73,1,22,36545,31972,4900,4535,17763,17760,0,1,80.8,149347,41397
Deque,13832,50,1384,20069,155758,116983,112.54,1,2,28787,28787,31,32,887,887,0,0,183.5,36830,10209
SkipList,14037,50,54621,112045,98715,65164,1.81,22,61,14138,13574,13,13,14404,14404,0,1,100.3,112369,31147
Trie,13841,50,9100584,9365822,2470095,2599795,0.27,397760,415562,701697,750552,154118,161542,149342,153320,7622,7949,25.6,2400150,665288
CircularBuffer,13911,50,1367,37309,97834,81368,71.57,72,92,14012,14012,14,14,881,881,0,0,102.1,38081,10555
Vector,13915,50,15731,37883,97862,85140,6.22,31,36,14016,14016,13,13,880,881,0,0,99.6,37745,10462
SlabList,13870,50,1711,27543,100903,65957,58.97,83,104,14451,14451,29,29,911,913,0,0,138.2,38060,10550
Vector,14153,50,1101,4329,325,36311,0.30,66,95,14254,14254,15,15,897,897,0,0,351.9,15239,4224
BST,14162,50,1553,101390,144686,118075,93.17,14,37,28837,23138,107,110,23753,23750,0,0,107.7,109223,30275
Array,14266,50,1477,3554,100319,77562,67.92,0,1,14367,14367,14,14,903,903,0,0,326.8,11616,3220
AoS,14237,50,82306,52747,100116,97135,1.22,267,332,14338,14338,14,14,3570,3571,0,0,78.6,41451,11490
SkipList,14215,50,208456,126864,99961,79434,0.48,33,117,14316,11503,13,13,14286,14288,0,0,82.6,104788,29046
SoA,14146,50,1473,24209,99479,99479,67.53,0,1,14247,14247,13,13,895,895,0,0,145.4,35212,9760
vEBTree,14172,50,1492,35777,99661,99661,66.80,0,2,14273,14273,14,14,896,898,0,0,107.5,38468,10663
Trie,14269,50,8616326,8798875,2639854,2684139,0.31,394092,389982,731263,769664,155087,157902,154913,156168,7406,7628,32.1,2822776,782434
SlabList,14130,50,1050,12518,100903,57205,96.10,0,3,14451,14451,26,26,912,912,0,0,218.0,27286,7563
CircularBuffer,14100,50,75685,45076,99157,99157,1.31,0,1,14201,14201,13,13,892,892,0,0,84.0,37876,10499
HashMap,14084,50,1568,39071,191352,191352,122.04,0,2,42353,42353,498,522,21197,21191,0,0,149.4,58393,16186
Heap,14080,50,1473,13522,99017,59198,67.22,0,3,14181,14181,14,14,889,889,0,0,207.9,28113,7793
RBTree,14145,50,228357,133128,144516,113340,0.63,0,0,28803,25351,104,108,20570,20566,0,0,85.1,113247,31390
Deque,14163,50,1488,18832,157413,110717,105.79,0,2,28787,28787,29,30,900,900,0,0,157.9,29745,8245
LinkedList,14311,50,479538,321033,100631,88774,0.21,0,33,14412,12715,13,12,16324,14402,0,0,72.0,231179,64079
BTree,14084,50,1111,80552,226625,176983,203.98,0,1,37201,37201,4571,4593,17995,17999,0,0,135.7,109337,30307
BST,14583,50,229391,133869,148912,116945,0.65,0,0,29679,23412,82,83,24365,24367,0,0,85.1,113924,31578
HashMap,14507,50,121746,68084,198408,173717,1.63,0,1,43622,43622,558,599,20954,20945,0,0,90.9,61865,17148
SlabList,14459,50,1523,35772,108078,87631,70.96,0,2,39,347,28,28,975,976,0,0,115.0,41124,11399
BTree,14504,50,230547,135667,232107,182559,1.01,0,1,38173,30706,4625,4647,18329,18335,1,1,85.3,115685,32066
AoS,14369,50,1603,28267,101040,69898,63.03,22,57,14470,14470,14,14,3604,3605,0,0,135.8,38390,10641
vEBTree,14373,50,1455,10681,101068,97647,69.46,0,1,14474,14474,13,13,911,910,0,0,238.4,25464,7058
LinkedList,14390,50,484181,387100,101184,89578,0.21,0,57,14491,12821,12,11,16551,14566,0,0,51.6,199688,55351
CircularBuffer,14638,50,1491,14251,102923,102923,69.03,24,88,14739,14739,13,13,926,926,0,0,203.9,29056,8054
Array,14521,50,1493,10690,102104,102104,68.39,0,1,14622,14622,14,14,918,918,0,0,237.7,25409,7043
SoA,14526,50,80382,80349,102139,102139,1.27,2,36,14627,14627,14,14,921,921,0,0,1.8,1453,403
Trie,14501,50,9908906,9555594,2642587,2719604,0.27,417184,415202,769567,780921,161588,162342,153251,159503,7837,8335,30.8,2942806,815704
Heap,14615,50,1480,7822,325,47446,0.22,2,5,14716,14716,14,14,924,925,0,0,277.4,21703,6016
RBTree,14385,50,236456,173395,146932,126426,0.62,0,6,29283,23752,99,88,20829,20394,0,0,67.7,117331,32522
Deque,14495,50,1412,6053,325,78522,0.23,0,1,30836,30836,31,32,921,921,0,0,284.8,17238,4778
Vector,14375,50,1054,2473,101082,80928,95.90,0,2,14476,14476,14,14,910,910,0,0,404.9,10015,2776
SkipList,14495,50,212118,155714,101921,80813,0.48,25,1446,14596,12862,13,12,14570,14602,0,12,91.5,142433,39480
Vector,14731,50,1448,1763,103574,82277,71.53,0,1,14832,14832,13,13,931,931,0,0,155.0,2732,757
HashMap,14845,50,111430,115178,205693,205693,1.85,0,1,44636,44636,345,382,21339,21319,0,0,10.9,12520,3470
LinkedList,14899,50,507799,316091,104747,89365,0.21,0,33,15000,13476,12,12,17009,15085,0,0,77.8,246055,68203
BST,14791,50,235622,175320,150992,126331,0.64,0,5,30095,24280,106,96,24618,23671,0,0,69.5,121841,33772
RBTree,14938,50,23887,122941,152478,102628,6.38,0,7,30389,24693,90,90,21623,21630,0,0,103.3,126993,35201
Heap,14746,50,1483,10334,103679,95752,69.91,0,1,14847,14847,14,14,934,934,0,0,239.3,24732,6855
BTree,14724,50,232547,139508,235035,186216,1.01,0,14,38687,38687,4680,4693,18521,18519,0,0,82.7,115326,31967
CircularBuffer,14937,50,82021,81405,105016,105016,1.28,0,2,15038,15038,13,13,943,943,0,0,1.5,1193,331
SoA,14758,50,1098,32885,103763,103763,94.50,5,13,14859,14859,14,14,932,932,0,0,119.7,39349,10907
SlabList,14890,50,84483,75082,108078,108078,1.28,0,4,15476,15476,29,29,976,975,0,0,34.9,26199,7262
Array,14737,50,80761,63559,103616,103616,1.28,0,0,14838,14838,13,13,932,932,0,0,50.7,32217,8930
vEBTree,14722,50,76632,45700,103511,103511,1.35,5,32,14823,14823,13,13,930,932,0,0,84.7,38725,10734
SkipList,14814,50,216465,124513,104154,81968,0.48,31,44,14915,11052,11,12,14890,14890,0,0,85.5,106510,29523
AoS,14681,50,1465,8253,103224,93567,70.46,0,7,14782,14782,14,14,3684,3684,0,0,269.0,22205,6155
Deque,14651,50,72477,72483,166006,166006,2.29,0,0,30836,30836,28,29,929,929,0,0,0.5,369,102
Trie,14897,50,9196085,9275450,2560192,2788875,0.28,404039,411587,777884,800668,158947,164230,159478,164046,8267,8225,32.5,3015573,835874
vEBTree,15223,50,84041,61633,325,36599,0.00,42,64,15324,15324,13,13,961,961,0,0,62.0,38209,10591
SoA,15160,50,1458,17749,106577,64243,73.10,0,1,15261,15261,11,12,961,961,0,0,181.5,32219,8931
Heap,14958,50,1083,21693,105163,68301,97.10,14,46,15059,15059,14,14,946,947,0,0,162.0,35149,9743
AoS,15030,50,82787,50251,105667,105667,1.28,0,1,15131,9697,13,13,3768,3768,0,0,80.7,40537,11236
SlabList,15159,50,1078,23535,108078,71474,100.26,0,1,15476,15476,27,28,976,976,0,0,156.9,36934,10237
Deque,15013,50,1088,32716,167816,144367,154.24,0,2,30836,30836,29,29,952,953,0,0,110.0,35999,9978
BTree,15155,50,235731,144192,240307,193434,1.02,0,1,39651,31674,4715,4410,18806,18804,0,1,79.7,114924,31855
RBTree,15064,50,248229,149507,153738,122575,0.62,0,2,30641,24646,82,88,21785,21784,0,0,81.1,121199,33595
SkipList,15200,50,221912,136956,106856,83521,0.48,44,107,15301,12370,12,12,15278,15287,0,2,88.4,121122,33573
Trie,15175,50,9080283,9365008,2747414,2834443,0.30,416145,427163,785748,816511,166506,167724,159503,165846,8627,8413,30.1,2820355,781763
HashMap,15005,50,112461,117792,207288,207288,1.84,0,1,45116,45116,255,276,22388,22211,0,1,44.3,52160,14458
Vector,15005,50,1465,12642,105492,59434,72.01,0,1,15106,15106,13,13,949,949,0,0,223.0,28189,7814
CircularBuffer,15001,50,1456,16053,105464,60253,72.43,11,40,15102,15102,13,13,949,949,0,0,193.4,31051,8607
Array,15241,50,1044,12740,107144,61732,102.63,0,0,15342,15342,14,14,963,963,0,0,225.5,28729,7963
LinkedList,15121,50,515054,336584,106301,93225,0.21,0,2,15222,13497,14,13,17240,15300,0,0,72.8,244877,67877
BST,15200,50,242233,143695,155208,123103,0.64,0,2,30933,24504,86,86,25279,25286,0,0,82.6,118717,32907
Trie,15374,50,9654456,9721276,2751046,2869968,0.28,429713,434511,768466,822851,162972,169705,165961,168762,8318,8762,31.5,3065454,849700
BTree,15353,50,239336,146439,242824,191931,1.01,2,100,40101,31774,4791,4736,18953,18954,0,0,80.2,117396,32541
SoA,15514,50,84332,75488,109055,109055,1.29,0,1,15615,15615,15,15,980,980,0,0,33.3,25105,6959
SkipList,15250,50,222551,134791,107206,84009,0.48,68,538,15351,15351,13,13,15326,15326,0,0,81.2,109450,30338
Vector,15456,50,82630,50742,108649,108649,1.31,0,1,15557,15557,13,13,978,978,0,0,80.4,40821,11315
RBTree,15426,50,258387,153293,157688,124198,0.61,0,1,31425,25171,101,107,22083,22084,0,0,84.3,129243,35824
HashMap,15296,50,1146,97838,204323,150607,178.29,0,18,45989,44392,784,814,21098,21021,0,0,109.2,106884,29627
vEBTree,15526,50,1087,12289,109139,61313,100.40,0,1,15627,15627,14,14,982,982,0,0,229.3,28179,7811
AoS,15507,50,1059,7870,54666,54665,51.62,0,19,15608,15608,13,13,3886,3887,0,0,294.3,23164,6421
Array,15276,50,1064,11569,107389,61109,100.93,0,0,15377,15377,13,14,964,964,0,0,233.3,26994,7482
Heap,15537,50,84164,51534,109216,109216,1.30,0,12,39,2846,14,14,982,983,0,0,79.7,41072,11385
LinkedList,15487,50,536880,369942,108863,96524,0.20,3,39,15588,12316,15,14,17700,15633,0,0,72.2,266914,73985
CircularBuffer,15516,50,1477,19842,109069,109069,73.84,0,1,15617,15617,13,13,980,980,0,0,177.1,35137,9739
Deque,15477,50,77007,62482,176289,176289,2.29,0,21,32885,32885,30,31,0,353,0,0,48.6,30343,8411
BST,15434,50,240931,139928,157768,124167,0.65,0,1,31441,22648,108,115,25619,25625,0,0,85.9,120130,33298
SlabList,15431,50,89658,51306,115253,112954,1.29,1,13,16501,16501,30,30,1038,1038,0,0,86.5,44375,12300
Deque,15778,50,1439,14197,177794,104570,123.55,8,35,32885,32885,32,33,1000,1003,0,0,211.5,30030,8324
LinkedList,15781,50,546993,331694,110921,98434,0.20,0,7,15882,14076,12,12,18046,16116,0,0,79.5,263828,73129
HashMap,15690,50,1496,32294,216529,139289,144.74,0,1,47171,47171,441,466,20861,20852,0,0,155.9,50353,13957
SkipList,15758,50,230314,137840,110762,88316,0.48,327,739,39,5790,14,14,15837,15839,0,0,84.2,116118,32186
Trie,15778,50,9857903,10096643,2744901,2932671,0.28,445661,456697,815857,842427,165813,173560,168416,173315,8914,9234,28.6,2890301,801150
Vector,15610,50,84225,56795,109727,109727,1.30,0,12,15711,15711,14,14,986,986,0,0,70.0,39769,11024
RBTree,15594,50,1555,103556,159478,94846,102.56,0,1,31781,31336,98,103,22288,22294,0,0,124.3,128745,35686
CircularBuffer,15575,50,1500,33147,109482,88351,72.99,0,2,15676,15676,13,13,984,984,0,0,123.7,40998,11364
Heap,15706,50,86183,69461,325,42153,0.00,0,1,15807,15807,13,13,991,991,0,0,47.9,33289,9227
AoS,15850,50,1505,30830,111407,85114,74.02,0,2,15951,15951,15,14,3973,3973,0,0,134.3,41417,11480
BST,15768,50,259185,157049,161273,128275,0.62,0,0,32139,25669,114,106,26208,26210,0,0,82.3,129296,35839
SlabList,15739,50,1100,26811,115253,81871,104.78,0,9,16501,16501,29,29,1040,1040,0,0,150.1,40250,11157
Array,15799,50,84721,71797,111050,111050,1.31,0,1,15900,15900,14,14,998,999,0,0,43.5,31232,8657
vEBTree,15811,50,1103,33079,111134,84539,100.76,0,14,15912,15912,15,15,999,1000,0,0,124.9,41304,11449
BTree,15698,50,241816,143351,247162,195375,1.02,0,4,40881,34346,4809,4829,19195,19200,0,0,83.9,120318,33350
SoA,15809,50,84972,49098,325,15834,0.00,0,1,15910,15910,14,14,1000,1000,0,0,86.8,42606,11810
SlabList,16091,50,62664,46253,115253,106578,1.84,0,1,16501,16501,28,29,1039,1039,0,0,96.2,44510,12337
Vector,15907,50,1043,7939,90534,57444,86.80,0,0,16008,16008,14,14,1004,1004,0,0,297.4,23612,6545
HashMap,16000,50,112921,73803,325,61774,0.00,0,1,48101,48101,335,365,21558,21547,0,0,74.6,55051,15259
SkipList,16121,50,234852,132798,113303,88557,0.48,80,84,16222,13417,12,13,16201,16203,0,0,88.4,117444,32554
RBTree,15978,50,274557,168148,163560,130827,0.60,0,1,32593,32593,97,102,23116,23112,0,0,79.6,133916,37120
BST,15889,50,256318,154506,162648,128735,0.63,0,4,32411,25856,104,92,26352,26342,0,0,84.9,131209,36369
AoS,16148,50,89074,56323,113493,113493,1.27,0,5,16249,16249,13,13,4048,4048,0,0,75.8,42681,11831
Deque,15914,50,1448,17048,178474,178474,123.26,1,10,32885,32885,33,33,1011,1012,0,0,186.0,31707,8789
SoA,16074,50,1082,32009,112975,112975,104.41,0,2,16175,16175,13,13,1014,1015,0,0,130.3,41706,11560
LinkedList,16116,50,567847,408155,113266,101191,0.20,0,6,16217,14435,13,12,18421,16415,0,0,62.3,254216,70465
Trie,16097,50,9863068,10369505,2791875,2982031,0.28,465012,468432,826532,858195,172950,177868,169833,176972,9546,9518,28.4,2941700,815398
Array,16047,50,1238,21127,112786,70377,91.10,2,8,16148,16148,13,13,1014,1015,0,0,172.4,36432,10098
Heap,15858,50,1490,28531,111463,80344,74.81,0,2,15959,15959,14,14,1001,1001,0,0,140.3,40026,11095
BTree,16091,50,245471,151830,252065,199974,1.03,0,6,41767,38074,4839,4848,19440,19443,0,0,85.8,130340,36128
vEBTree,15856,50,1484,38891,111449,93991,75.10,0,2,15957,15957,13,13,1000,1000,0,0,108.2,42065,11660
CircularBuffer,16045,50,1487,18403,112772,67781,75.84,6,32,16146,16146,14,14,1014,1014,0,0,183.1,33701,9342
Vector,16343,50,89470,55120,114858,114858,1.28,3,33,16444,16444,14,14,1032,1032,0,0,80.7,44499,12334
Trie,16408,50,11065593,11192259,2911380,3039630,0.26,489237,491406,841704,870774,180653,182771,175412,181243,10575,10116,23.8,2658352,736858
SkipList,16374,50,241567,164724,115074,94678,0.48,108,250,16475,13725,11,10,16453,15963,0,0,72.0,118531,32855
SoA,16228,50,1473,32439,114053,114053,77.43,0,3,16329,16329,14,14,1026,1025,0,0,129.3,41958,11630
CircularBuffer,16427,50,1511,30912,115446,76376,76.40,21,33,16528,16528,14,14,1037,1038,0,0,139.1,43005,11920
Heap,16431,50,1046,2169,115474,81168,110.40,0,2,16532,16532,14,14,1038,1039,0,0,362.4,7862,2179
BTree,16392,50,248576,167539,255593,210666,1.03,6,139,42423,27321,4856,4871,19646,19647,0,0,71.2,119283,33063
RBTree,16422,50,278583,151506,168198,114318,0.60,0,3,33517,28538,92,89,23665,23666,0,0,97.0,146978,40740
BST,16416,50,17861,137504,168138,109493,9.41,5,24,33505,27872,94,95,27141,27134,0,0,105.3,144750,40123
Array,16368,50,89955,70256,115033,115033,1.28,41,117,16469,16469,14,14,1034,1034,0,0,52.6,36982,10251
AoS,16206,50,1519,35698,113899,81822,74.98,0,4,16307,16307,13,13,0,162,0,0,120.4,42973,11911
LinkedList,16419,50,585021,495796,115387,94723,0.20,0,6,16520,10578,14,14,18754,17120,0,0,45.0,223249,61881
Deque,16366,50,77928,52326,325,50837,0.00,0,3,32885,32885,31,31,1038,1039,0,0,73.4,38382,10639
HashMap,16285,50,114548,71252,225903,225903,1.97,11,42,48956,48956,379,399,20758,20768,0,0,78.6,55994,15521
vEBTree,16348,50,1472,31206,114893,114893,78.05,0,2,16449,16449,14,14,1032,1032,0,0,134.6,41993,11640
SlabList,16332,50,1474,17800,115253,104533,78.19,0,16,16501,16501,28,28,1041,1041,0,0,199.3,35485,9836
Trie,16712,50,10700700,10984717,2955760,3090739,0.28,467588,458958,840837,887959,177656,183997,172300,182415,10249,10654,24.2,2657482,736617
RBTree,16736,50,287096,203310,171360,148602,0.60,3,37,34149,28514,89,84,24003,23567,0,0,65.9,134072,37163
vEBTree,16464,50,43882,45465,115705,103108,2.64,0,2,16565,16565,13,13,1041,1041,0,0,98.0,44536,12345
Vector,16472,50,90315,78930,115761,115761,1.28,0,1,16573,16573,12,13,1039,1039,0,0,52.1,41146,11405
BST,16577,50,278545,179432,169748,138638,0.61,0,2,33827,27482,100,92,27420,26240,0,0,75.5,135548,37572
AoS,16538,50,91188,81032,116223,116223,1.27,0,1,16639,16639,5,9,4145,4146,0,0,51.1,41409,11478
SoA,16525,50,90252,68133,116132,116132,1.29,24,31,16626,16626,12,12,1043,1043,0,0,56.9,38741,10739
HashMap,16738,50,131453,120019,230806,226213,1.76,55,263,50315,50315,627,674,20812,20776,0,0,73.9,88637,24569
BTree,16488,50,254411,172677,256722,206726,1.01,148,210,42633,34912,4905,4069,19701,18905,0,1,75.8,130894,36282
LinkedList,16543,50,609844,479196,116255,97366,0.19,74,347,16644,13899,14,14,18799,17426,0,0,70.1,336041,93146
CircularBuffer,16467,50,1884,20469,115726,115726,61.43,94,110,16568,16568,13,14,1043,1043,0,0,177.3,36291,10059
Array,16555,50,44473,45931,116342,116342,2.62,0,4,16656,16656,12,12,1043,1043,0,0,98.0,44995,12472
Heap,16652,50,1442,29869,117021,75826,81.15,12,43,16753,16753,13,13,1052,1052,0,0,141.7,42335,11735
SlabList,16539,50,1466,34231,122428,85531,83.51,19,28,17526,17526,31,32,1104,1104,0,0,132.1,45222,12535
Deque,16666,50,1539,49386,188387,154670,122.41,92,123,34934,34934,35,36,1068,1070,0,0,106.7,52704,14609
SkipList,16468,50,280546,244453,115732,100383,0.41,1532,3297,16569,14406,13,13,16813,14642,1,5,56.6,138466,38381
Vector,16916,50,1451,29330,118869,74048,81.92,0,2,17017,17017,13,13,1067,1067,0,0,143.3,42044,11654
Trie,17023,50,12651790,12249903,2835402,2801663,0.22,502973,500220,855726,901158,181519,185713,175663,185230,10797,10514,20.4,2504465,694202
SoA,17047,50,1522,27306,119786,76020,78.70,0,2,17148,17148,14,14,1075,1076,0,0,153.0,41769,11578
BST,16931,50,288861,211146,173508,148295,0.60,4,10,34575,29152,101,97,27982,25462,0,0,68.1,143826,39867
LinkedList,17036,50,373007,344162,119706,80028,0.32,160,286,17137,15803,11,10,19433,17808,0,0,99.5,342585,94960
SkipList,16881,50,252370,203487,118623,101746,0.47,2222,3037,16982,14090,13,11,16963,15272,0,0,66.0,134264,37216
CircularBuffer,17023,50,1513,31085,119618,80978,79.06,0,1,17124,17124,14,14,1075,1076,0,0,136.9,42561,11797
Heap,16801,50,1465,26580,118064,74124,80.59,0,6,16902,16902,14,13,1060,1061,0,0,152.4,40512,11229
AoS,16967,50,1504,29727,119226,76900,79.27,3,30,17068,17068,13,13,4254,4254,0,0,147.8,43944,12181
Array,16914,50,1469,29781,118855,76340,80.91,0,1,17015,17015,15,14,1071,1071,0,0,141.3,42075,11663
HashMap,16840,50,135330,91889,228262,213197,1.69,4,22,50621,50621,350,363,26200,26168,0,0,71.7,65860,18256
vEBTree,16892,50,1458,6089,118701,89199,81.41,0,3,16993,16993,14,14,1066,1066,0,0,317.7,19350,5363
RBTree,16975,50,295790,206516,173992,145497,0.59,0,1,34671,29426,88,83,24320,24323,0,0,72.1,148800,41245
Deque,16886,50,1429,19539,189487,189487,132.60,0,13,34934,34934,31,32,1071,1071,0,0,173.5,33891,9394
SlabList,17041,50,1478,21219,122428,117542,82.83,0,4,17526,17526,30,30,1105,1105,0,0,180.4,38279,10610
BTree,16932,50,253474,162710,261978,214078,1.03,0,1,43605,35730,4936,4256,19912,19915,0,0,76.9,125161,34693
SlabList,17120,50,1069,16803,122428,109536,114.53,0,1,17526,17526,29,30,1104,1104,0,0,208.4,35025,9709
Heap,17269,50,93375,59299,121340,121340,1.30,1,15,17370,11130,14,13,1089,1089,0,0,76.3,45271,12548
SoA,17241,50,1092,32773,121144,86406,110.94,0,1,17342,17342,14,14,1088,1089,0,0,136.1,44617,12367
LinkedList,17292,50,629884,412679,121498,99494,0.19,4,41,17393,14901,12,12,19726,17911,0,0,74.7,308098,85400
Array,17308,50,1517,39444,121613,93997,80.17,74,99,17409,17409,14,13,1093,1093,0,0,117.0,46140,12789
BST,17326,50,293836,199857,177678,146195,0.60,0,1,35405,29925,90,96,28689,28686,0,0,74.6,149112,41332
Deque,17245,50,82600,67521,191282,191282,2.32,0,2,34934,34934,32,33,1094,1095,0,0,47.2,31893,8840
BTree,17089,50,1133,117105,263780,212028,232.82,16,86,43943,37466,4926,4940,20009,20010,0,0,115.8,135634,37596
Trie,17169,50,10017717,10990503,3010096,3166675,0.30,491513,495460,856556,908557,188325,188223,177502,186829,9928,10537,26.2,2883623,799300
vEBTree,17145,50,94710,82064,120472,120472,1.27,11,44,17246,17246,13,13,0,521,0,0,39.9,32731,9073
CircularBuffer,17051,50,93754,84814,119814,119814,1.28,0,1,17152,8937,13,13,1076,1077,0,0,31.6,26763,7418
SkipList,17103,50,1534,95782,120177,69993,78.34,420,441,17204,15816,13,13,17188,17188,0,0,125.4,120109,33292
HashMap,17177,50,157638,84740,233761,226290,1.48,0,11,51632,51632,917,955,24841,24603,0,0,95.7,81081,22475
Vector,17305,50,1425,1390,121592,121592,85.33,0,2,17406,17406,12,12,1091,1091,0,0,18.9,263,73
AoS,17272,50,1251,29461,121361,76860,97.01,18,53,17373,17373,14,14,4330,4333,0,0,148.3,43680,12107
RBTree,17084,50,298669,198322,175214,143565,0.59,0,0,34913,28634,91,84,24381,22938,0,0,75.4,149438,41422
BST,17549,50,299750,193732,180128,147443,0.60,0,1,35891,29454,94,89,29054,29057,0,0,73.7,142723,39561
Array,17517,50,1384,27779,123076,75724,88.93,3,12,17618,17618,14,14,1111,1111,0,0,155.0,43048,11932
Trie,17498,50,11608801,11668889,3091537,3225481,0.27,509490,494903,888492,926675,190538,193701,186436,192280,11375,10896,23.8,2772436,768480
LinkedList,17569,50,643689,422135,123437,104784,0.19,2,8,17670,15506,12,12,20016,18282,0,0,74.3,313738,86964
SlabList,17358,50,95691,63619,325,39744,0.00,0,0,17526,17526,31,31,1103,1103,0,0,70.2,44681,12385
CircularBuffer,17628,50,96353,64421,123853,123853,1.29,10,57,17729,17729,13,13,1113,1113,0,0,71.0,45758,12684
RBTree,17410,50,307200,219972,178628,150920,0.58,0,9,35593,30166,101,95,24941,21576,0,0,66.8,146911,40722
HashMap,17520,50,140683,105285,241951,184953,1.72,0,1,52661,52661,245,294,24625,24610,0,0,60.7,63862,17702
Heap,17357,50,1524,29634,121956,78560,80.02,0,1,17458,12929,15,14,1096,1096,0,0,146.8,43490,12055
BTree,17354,50,258888,173678,266793,219574,1.03,2,61,44511,37126,5014,3588,20137,20143,0,0,74.1,128668,35665
Vector,17443,50,1097,35180,122558,122558,111.72,3,25,17544,17544,5,5,1101,1101,0,0,129.4,45535,12622
SkipList,17602,50,257188,175927,123670,102064,0.48,139,655,17703,15111,13,13,17690,17691,0,0,72.8,128136,35518
vEBTree,17405,50,94710,59548,122292,115469,1.29,25,59,17506,17506,14,14,1099,1099,0,0,77.7,46270,12825
SoA,17475,50,1072,25817,122782,77147,114.54,0,1,17576,17576,13,13,1102,1103,0,0,160.5,41427,11483
AoS,17496,50,1498,17697,74707,62150,49.87,2,51,17597,17597,14,14,4386,4387,0,0,203.5,36013,9982
