DataStructure,N,runs,med_cyc,avg_cyc,med_ins,avg_ins,ipc,med_cm,avg_cm,med_br,avg_br,med_brm,avg_brm,med_l1,avg_l1,med_tlb,avg_tlb,cv_pct,stddev_cycles,ci95_cycles
Heap,1375,50,8563,8503,10082,10082,1.18,0,0,1476,1476,13,13,19,20,0,0,2.2,190,53
Vector,1373,50,8549,8470,10068,10068,1.18,0,0,1474,1474,13,13,14,15,0,0,2.7,228,63
vEBTree,1345,50,8478,8402,9872,9872,1.16,0,0,39,235,13,13,24,27,0,0,2.3,190,53
AoS,1361,50,1045,1242,9984,8824,9.55,0,1,1462,1462,13,13,200,213,0,0,90.5,1124,311
SoA,1371,50,8598,8532,10054,10054,1.17,0,0,1472,1472,12,12,17,19,0,0,2.2,188,52
SlabList,1368,50,1104,6307,14803,14803,13.41,0,0,2151,2151,16,16,30,31,0,0,88.1,5557,1540
CircularBuffer,1370,50,1260,2288,10047,9269,7.97,2,3,1471,1471,11,11,15,26,0,0,108.3,2480,687
BTree,1345,50,8555,9052,19421,19421,2.27,0,1,3473,3473,32,50,1097,1098,0,0,16.9,1529,424
LinkedList,1363,50,1053,4548,9995,9995,9.49,0,0,1464,1464,13,13,847,848,0,0,146.2,6651,1844
SkipList,1360,50,1060,8724,9976,9976,9.41,0,2,1461,1461,12,12,1378,1378,0,0,109.0,9512,2636
Trie,1367,50,749958,445134,346698,265176,0.46,0,42,100975,91821,19690,18145,18584,12461,0,0,82.5,367040,101738
HashMap,1364,50,1474,2076,18934,18934,12.85,0,1,4193,4193,26,34,1235,1234,0,0,132.0,2742,760
HashMap,1403,50,8512,8582,19889,19889,2.34,0,1,4310,4310,23,27,1374,1375,0,0,7.9,674,187
SkipList,1397,50,19069,19090,10235,10235,0.54,0,0,1498,1498,12,12,1414,1414,0,0,1.7,321,89
BTree,1380,50,8779,8953,19788,19788,2.25,0,1,3545,3545,4,25,1102,1106,0,0,23.7,2118,587
Array,1392,50,8585,7068,10201,10201,1.19,0,0,1493,1493,12,12,21,21,0,0,43.1,3045,844
BST,1401,50,10175,10278,14964,14964,1.47,0,0,2963,2963,25,27,1963,1960,0,0,4.9,505,140
LinkedList,1405,50,17094,14059,325,722,0.02,0,1,1506,1506,13,13,887,894,0,0,46.8,6577,1823
CircularBuffer,1376,50,8660,8787,10089,10089,1.17,0,0,1477,1477,12,12,13,19,0,0,5.4,477,132
RBTree,1378,50,10804,8615,14734,14734,1.36,0,0,2917,2917,26,28,2572,2570,0,0,50.4,4345,1204
vEBTree,1398,50,8737,8657,10243,10243,1.17,0,0,1499,1499,13,13,13,15,0,0,2.2,193,53
Vector,1402,50,8732,8683,10271,10271,1.18,0,0,1503,1503,13,13,21,23,0,0,2.2,190,53
Heap,1390,50,8688,8559,10187,10187,1.17,0,0,1491,1491,13,12,11,13,0,0,2.8,238,66
Trie,1390,50,764170,500695,352113,290251,0.46,0,51,102555,93355,20032,18309,18892,17178,0,0,71.8,359565,99666
AoS,1394,50,9180,8165,10215,10215,1.11,0,1,1495,1495,12,12,207,218,0,0,32.2,2631,729
SoA,1394,50,1498,4753,10215,10215,6.82,0,0,1495,1495,13,13,20,26,0,0,80.7,3838,1064
Deque,1403,50,1435,3426,19777,19777,13.78,0,1,4199,4199,14,15,17,22,0,0,109.3,3747,1039
SlabList,1391,50,12518,12540,14803,12195,1.18,0,1,2151,2151,13,13,32,34,0,0,1.5,186,52
SoA,1428,50,9215,9174,10453,10453,1.13,0,0,1529,1529,12,12,9,14,0,0,2.3,211,59
BTree,1426,50,9097,9628,20248,20248,2.23,0,1,3637,2989,50,68,1103,1105,0,0,15.0,1444,400
SlabList,1419,50,12308,9216,14803,14803,1.20,0,0,2151,2151,14,14,23,25,0,0,55.8,5145,1426
AoS,1410,50,1063,4021,10327,10327,9.71,0,1,1511,1511,11,12,213,217,0,0,95.2,3829,1061
Deque,1420,50,9654,9661,19862,19862,2.06,0,1,4199,4199,14,15,12,13,0,0,1.6,155,43
SkipList,1420,50,18743,18809,10396,10396,0.55,0,1,1521,1521,11,11,1435,1435,0,0,2.0,370,102
BST,1423,50,10186,10346,15184,15184,1.49,0,0,3007,3007,25,28,2057,2056,0,0,6.1,629,174
Array,1430,50,1057,1687,10467,9452,9.90,0,0,1531,1531,13,13,16,21,0,0,127.9,2158,598
CircularBuffer,1419,50,8829,8702,10390,10390,1.18,0,1,1520,1520,12,12,11,14,0,0,2.8,244,68
HashMap,1421,50,1479,3950,20061,20061,13.56,0,1,4364,4364,17,27,1293,1295,0,0,99.2,3919,1086
LinkedList,1428,50,18436,18596,10450,10450,0.57,0,1,1529,1529,11,11,926,927,0,0,4.3,797,221
Heap,1429,50,9130,7393,10460,10460,1.15,0,0,1530,1530,13,12,23,24,0,0,44.6,3295,913
vEBTree,1407,50,9158,9070,10306,10306,1.13,0,0,1508,1508,12,12,13,14,0,0,2.4,218,61
Vector,1408,50,9046,9061,10313,10313,1.14,0,1,1509,1509,13,13,0,5,0,0,2.6,235,65
Trie,1413,50,773488,508605,357729,294849,0.46,0,3,104166,94298,20245,18524,19192,17521,0,0,70.9,360662,99970
RBTree,1419,50,11476,11688,15144,15144,1.32,0,0,2999,2999,21,24,2644,2644,0,0,7.4,861,239
Heap,1461,50,9355,9321,10684,10684,1.14,0,1,1562,1562,12,12,12,15,0,0,3.0,276,77
LinkedList,1436,50,18631,18759,10506,10506,0.56,0,1,1537,1537,11,11,937,939,0,0,2.8,521,144
SkipList,1460,50,19435,14514,10676,10676,0.55,0,0,1561,1561,12,12,1475,1476,0,0,57.1,8294,2299
SlabList,1450,50,1505,4529,14803,14803,9.84,0,1,2151,2151,16,16,32,34,0,0,111.9,5069,1405
vEBTree,1450,50,1461,1955,10607,9947,7.26,0,0,1551,1551,13,13,14,18,0,0,104.5,2044,567
Trie,1450,50,793094,454983,366836,304542,0.46,0,8,106768,95148,20824,19124,19667,17986,0,0,85.7,389697,108019
SoA,1437,50,9172,9156,10516,10516,1.15,0,0,1538,1538,13,13,11,13,0,0,2.9,265,74
Vector,1440,50,9378,9057,10537,10537,1.12,0,1,1541,1541,13,13,11,19,0,0,17.0,1536,426
RBTree,1458,50,11921,12070,15534,15534,1.30,0,2,3077,3077,20,22,2725,2724,0,0,5.3,642,178
HashMap,1457,50,1476,3742,20348,20348,13.79,0,1,4472,4472,19,28,1360,1360,0,0,111.1,4159,1153
CircularBuffer,1450,50,9244,9248,10607,10607,1.15,0,0,39,281,13,12,27,31,0,0,2.7,253,70
Deque,1463,50,10131,10171,20077,20077,1.98,0,0,4199,4199,15,16,16,19,0,0,4.2,429,119
AoS,1448,50,9409,9450,10593,10593,1.13,0,2,1549,1549,12,12,197,203,0,0,3.3,312,86
BTree,1448,50,9087,9892,20468,20468,2.25,0,1,3681,3681,4,21,1104,1110,0,0,18.8,1856,515
Array,1460,50,9273,9257,10677,10677,1.15,0,0,1561,1561,12,12,24,25,0,0,2.6,242,67
BST,1462,50,11249,11413,15574,15574,1.38,0,0,3085,3085,20,23,2178,2179,0,0,6.5,739,205
Trie,1483,50,808872,484387,374753,280820,0.46,0,50,109074,99352,21271,19480,20096,18418,0,0,82.7,400418,110990
Array,1490,50,9199,9119,10887,10887,1.18,0,0,1591,1591,12,12,27,28,0,0,1.9,173,48
Heap,1476,50,9169,9030,10789,10789,1.18,0,0,1577,1577,13,13,14,16,0,0,2.8,255,71
BST,1465,50,10636,10776,15604,15604,1.47,0,0,3091,3091,25,27,2196,2194,0,0,5.4,586,162
HashMap,1492,50,8744,9257,20323,20323,2.32,0,1,4577,4577,20,30,1404,1407,0,0,22.0,2040,565
CircularBuffer,1495,50,8964,8972,10922,10922,1.22,0,0,1596,1596,12,12,12,14,0,0,2.9,262,72
AoS,1484,50,9225,9033,10845,10845,1.18,0,0,39,317,12,12,243,250,0,0,12.8,1159,321
Vector,1470,50,8864,8139,10747,10747,1.21,0,0,1571,1571,12,12,12,16,0,0,29.5,2402,666
RBTree,1484,50,11371,11507,15794,15794,1.39,0,0,3129,3129,5,11,2772,2773,0,0,5.3,605,168
SoA,1471,50,9304,9251,10754,10754,1.16,0,0,1572,1572,13,13,13,17,0,0,3.3,301,84
SkipList,1466,50,20109,15428,10718,10718,0.53,0,1,1567,1567,9,9,1483,1482,0,0,54.6,8418,2333
BTree,1494,50,1470,4947,20928,20928,14.24,0,0,3773,3773,59,75,1113,1113,0,0,96.9,4794,1329
SlabList,1494,50,1457,2938,14803,14803,10.16,0,0,2151,2151,15,15,31,34,0,0,132.8,3901,1081
LinkedList,1479,50,19629,15420,10807,10807,0.55,0,1,1580,1580,10,11,1011,1029,0,0,56.7,8737,2422
Deque,1486,50,1494,4065,20192,20192,13.52,0,1,4199,4199,15,16,26,27,0,0,101.5,4125,1143
vEBTree,1479,50,9098,9034,10810,10810,1.19,0,1,1580,1580,12,12,12,17,0,0,2.9,259,72
BTree,1507,50,9378,9887,21058,21058,2.25,0,1,3799,3799,61,77,1121,1122,0,0,13.9,1370,380
AoS,1519,50,1060,1416,11090,11090,10.46,0,1,1620,1620,13,13,258,267,0,0,122.0,1728,479
SlabList,1506,50,12353,8566,14803,14803,1.20,0,3,2151,2151,14,14,26,27,0,0,63.8,5467,1515
CircularBuffer,1515,50,1444,2299,11062,9558,7.66,0,2,1616,1616,11,11,14,34,0,0,118.2,2717,753
Vector,1508,50,9574,9563,11013,11013,1.15,0,0,1609,1609,12,12,19,21,0,0,2.0,192,53
Trie,1509,50,827965,696166,381179,317167,0.46,0,14,110913,93153,21672,18298,20433,18708,0,0,42.7,297204,82381
SoA,1525,50,1491,5217,11132,11132,7.47,0,1,1626,1626,11,11,12,15,0,0,80.6,4207,1166
Deque,1496,50,10161,10170,20242,20242,1.99,0,0,4199,4199,15,16,18,21,0,0,1.7,176,49
LinkedList,1520,50,21022,21075,11094,11094,0.53,0,1,1621,1621,12,12,1043,1043,0,0,2.2,456,126
RBTree,1522,50,1476,3759,16174,16174,10.96,0,0,3205,3205,23,25,2854,2854,0,0,123.8,4654,1290
SkipList,1517,50,21042,21293,11075,11075,0.53,0,1,1618,1618,11,12,1530,1530,0,0,3.6,773,214
Array,1524,50,9791,9707,325,2267,0.03,0,0,1625,1625,13,13,19,21,0,0,2.0,197,54
HashMap,1507,50,9406,9856,21240,21240,2.26,0,0,4622,4622,21,36,1566,1569,0,0,19.7,1942,538
Heap,1520,50,1433,3986,11097,11097,7.74,0,0,1621,1621,12,12,18,21,0,0,97.8,3901,1081
BST,1512,50,11455,11531,16074,16074,1.40,0,0,3185,3185,26,27,2347,2346,0,0,4.4,507,141
vEBTree,1517,50,9624,9606,11076,11076,1.15,0,1,1618,1618,5,7,14,16,0,0,2.7,260,72
CircularBuffer,1537,50,9630,9596,11216,11216,1.16,0,1,1638,1638,12,12,12,14,0,0,2.6,253,70
LinkedList,1555,50,20683,20737,11339,11339,0.55,0,1,1656,1656,13,13,1106,1106,0,0,2.0,408,113
RBTree,1531,50,11788,11494,16264,16264,1.38,0,0,3223,3223,23,25,2875,2874,0,0,19.5,2244,622
Trie,1525,50,835173,566286,385107,321050,0.46,0,11,112037,93281,21877,18604,20639,19046,0,0,67.8,384155,106482
BTree,1539,50,9645,10200,21378,21378,2.22,0,0,3863,3863,56,79,1118,1120,0,0,14.7,1495,414
AoS,1543,50,1505,3604,11258,11258,7.48,0,0,1644,1644,13,13,265,268,0,0,104.4,3762,1043
Array,1533,50,1441,1755,11188,10101,7.76,0,0,1634,1634,12,12,17,21,0,0,98.4,1727,479
BST,1550,50,12216,12336,16454,16454,1.35,0,0,3261,3261,20,22,2478,2480,0,0,6.5,807,224
Deque,1542,50,9922,10001,20472,20472,2.06,0,1,4199,4199,15,16,19,21,0,0,2.3,229,63
Heap,1552,50,9549,9478,11321,11321,1.19,0,0,1653,1653,13,13,15,18,0,0,2.2,206,57
SkipList,1538,50,20830,20922,325,3592,0.02,0,1,1639,1639,12,12,1554,1553,0,0,3.0,624,173
HashMap,1552,50,9345,9662,21912,21912,2.34,0,0,4757,4757,14,26,1572,1573,0,0,19.6,1898,526
SoA,1528,50,9380,9413,11153,11153,1.19,0,1,1629,1629,12,12,9,12,0,0,4.7,446,124
vEBTree,1533,50,9414,9364,325,2714,0.03,0,1,1634,1634,13,13,15,19,0,0,2.1,199,55
Vector,1528,50,1036,1221,11153,11153,10.77,0,1,1629,1629,12,12,10,15,0,0,102.5,1252,347
SlabList,1536,50,12532,12484,14803,14803,1.18,0,1,2151,2151,16,16,24,26,0,0,1.7,214,59
BTree,1584,50,10539,11034,21862,21862,2.07,0,1,3957,3957,85,102,1127,1128,0,0,12.8,1414,392
Array,1582,50,9935,9072,11531,11531,1.16,0,0,1683,1683,12,12,18,20,0,0,28.6,2599,720
Heap,1556,50,10014,7762,11349,11349,1.13,0,0,1657,1657,13,13,10,14,0,0,49.2,3820,1059
CircularBuffer,1566,50,9746,9725,11419,11419,1.17,0,0,1667,1667,11,11,17,19,0,0,2.7,267,74
Deque,1582,50,10375,9872,20672,20672,1.99,0,1,4199,4199,15,16,11,15,0,0,22.1,2178,604
Trie,1570,50,861092,518358,396008,299162,0.46,0,6,115189,97286,22640,20405,21211,19494,0,0,80.9,419571,116299
Vector,1582,50,9762,9804,11531,11531,1.18,0,0,1683,1683,12,12,9,11,0,0,2.9,284,79
HashMap,1562,50,1416,1541,21923,21923,15.48,0,1,4787,4787,24,34,1529,1534,0,0,70.0,1079,299
vEBTree,1563,50,1444,4577,11398,11398,7.89,0,0,1664,1664,12,12,20,21,0,0,91.3,4181,1159
RBTree,1555,50,1405,2209,16504,14563,11.75,0,0,3271,3271,24,26,2914,2915,0,0,143.1,3161,876
LinkedList,1555,50,1063,4460,11339,11339,10.67,0,1,1656,1656,11,11,1095,1099,0,0,165.4,7378,2045
BST,1574,50,11853,11982,16694,16694,1.41,0,0,3309,3309,23,26,2566,2566,0,0,5.9,703,195
AoS,1578,50,9751,9740,11503,11503,1.18,0,0,1679,1679,12,12,283,285,0,0,1.0,100,28
SoA,1558,50,9833,9804,11363,11363,1.16,0,0,39,719,13,13,17,19,0,0,2.2,220,61
SlabList,1562,50,1490,3207,14803,14803,9.93,0,1,2151,2151,15,15,23,26,0,0,126.3,4051,1123
SkipList,1568,50,21514,21565,11432,11432,0.53,0,0,1669,1669,12,12,1585,1584,0,0,2.0,437,121
