data_structure,N,runs,cycles,instructions,ipc,cache_misses,branches,branch_misses,L1_misses,TLB_misses
Array,1000,1000,6768392,7945771,1.17,34724,1233768,9866,7015,564
Array,10000,1000,58360478,74283791,1.27,74182,11083829,37820,653539,332
Array,100000,1000,572017970,741537345,1.30,216414,109469531,369197,6426205,1826
Array,1000000,100,867875161,1128364066,1.30,6212882,210379364,4394631,8608025,33385
Array,10000000,10,4268534127,5623334809,1.32,28493649,1352701395,58251747,35449764,205546
LinkedList,1000,1000,6131949,8168426,1.33,21872,1231835,7347,25016,<notcounted>
LinkedList,10000,1000,66685760,75193101,1.13,59789,10953322,11848,5091637,810
LinkedList,100000,1000,740249935,728251036,0.98,5806186,109570593,23515,50260749,15014
LinkedList,1000000,100,1083499488,1023805931,0.94,63411834,173308859,47136,51321764,810858
LinkedList,10000000,10,2689105647,4011123441,1.49,80400366,805851354,304517,63229609,927313
AoS,1000,1000,7615587,9216227,1.21,23020,1178975,8040,142290,715
AoS,10000,1000,63562405,74609911,1.17,65650,9910439,14973,3686112,572
AoS,100000,1000,645399302,703227486,1.09,3659985,107657268,32524,36805503,38848
AoS,1000000,100,805839787,756692122,0.94,41882428,108354203,57763,39502764,596830
AoS,10000000,10,1065702201,1195271998,1.12,47743057,164785766,117739,41374880,664022
SoA,1000,1000,6732026,7915492,1.18,27984,1179338,8355,3337,<notcounted>
SoA,10000,1000,63884947,73040101,1.14,56979,9890546,15600,654100,607
SoA,100000,1000,550545527,706259526,1.28,277787,100881082,19375,6401900,997
SoA,1000000,100,611635400,741810197,1.21,10047148,108200245,38627,6924290,48418
SoA,10000000,10,984704996,1112462581,1.13,15239862,164588396,140711,13061090,163746
BST,1000,1000,8493795,6646913,0.78,29057,1192770,8401,7675,313
BST,10000,1000,62528996,71329320,1.14,80771,9837428,13545,635239,390
BST,100000,1000,610966262,718066506,1.18,781576,97617507,49519,6349685,3776
BST,1000000,100,626116619,717005620,1.15,9674859,107604323,34714,6330746,39222
BST,10000000,10,630069284,798867496,1.27,10857124,119801242,34914,7103653,111125
Vector,1000,1000,6373525,7619087,1.20,17273,1166102,7375,9118,<notcounted>
Vector,10000,1000,56160834,71119658,1.27,58204,10245739,11780,648715,166
Vector,100000,1000,554925140,706127394,1.27,696822,100760540,25271,6350320,3296
Vector,1000000,100,575547933,719852189,1.25,6544966,103411233,21349,6535839,20505
Vector,10000000,10,691671547,873500049,1.26,11817744,129301306,34989,7764075,118804
Deque,1000,1000,6684319,13887690,2.08,20972,1167777,7526,3666,<notcounted>
Deque,10000,1000,50220383,132562570,2.64,56739,10307254,11975,630945,385
Deque,100000,1000,452078033,1296384023,2.87,183239,101460840,18716,6404532,1165
Deque,1000000,100,494732405,1332877405,2.69,8792428,103615247,22520,6595142,22557
