data_structure,N,runs,cycles,instructions,ipc,cache_misses,branches,branch_misses,L1_misses,TLB_misses
Array,1045,329,3324530,3449534,1.04,25875,570380,9381,16720,<notcounted>
Array,2550,276,5444685,6560373,1.20,24456,1038105,10889,8199,<notcounted>
Array,4757,288,9479751,11637832,1.23,20121,1868369,16253,71014,763
Array,7718,317,16705282,19423954,1.16,35158,3242414,24672,175813,326
Array,9833,282,19278517,22744052,1.18,43653,3758260,33328,205349,202
Array,25215,308,51743997,64735337,1.25,54233,10269109,99076,528773,689
Array,45274,284,82822634,107607084,1.30,105113,17800463,182273,851301,354
Array,77511,299,154216671,189826685,1.23,149345,30184066,283926,1642477,1075
Array,92250,271,159496817,208441464,1.31,160237,33716980,315621,1680114,603
Array,255890,306,506883927,648361239,1.28,669868,104776096,845359,5426050,5275
Array,466701,317,990236891,1227723211,1.24,3902289,196793183,1973214,10496152,28581
Array,684859,277,1263181244,1623892934,1.29,5217822,263423075,2255819,13588384,21227
Array,925677,291,2013306106,2234487930,1.11,21656410,386037483,4242836,19591531,126136
Array,2252930,28,1208101382,1409363113,1.17,9350960,341163738,12154176,9782481,89101
Array,4502226,27,2549921581,3023886285,1.19,20717949,672250218,25867410,19928902,164955
Array,6769653,34,3987566323,4920324601,1.23,35201085,1072091919,35206720,32854776,308600
Array,10000000,4,4200883064,5207601656,1.24,23163836,1279733754,58456652,31719738,185317
LinkedList,1045,284,2682285,3239476,1.21,21345,529025,6409,61177,<notcounted>
LinkedList,2550,302,5709550,6987167,1.22,25242,1118029,7462,491678,<notcounted>
LinkedList,4757,310,10487999,12784162,1.22,32808,1977162,7540,860427,135
LinkedList,7718,327,19762245,20361647,1.03,59292,3711553,9000,1427387,238
LinkedList,9833,327,25270663,26898117,1.06,52353,4561961,10584,1675446,264
LinkedList,25215,285,58597394,59100854,1.01,99442,9299699,15265,3779601,519
LinkedList,45274,313,122957214,122249214,0.99,588885,19333322,19486,6730807,2837
LinkedList,77511,286,207391476,181173146,0.87,2922256,30703696,20399,11399482,5467
LinkedList,92250,293,258115570,213421554,0.83,4435977,37753209,19444,13556086,5703
LinkedList,255890,315,907038232,660672717,0.73,43463693,102057058,53556,41453412,598573
LinkedList,466701,308,1599984658,1160609848,0.73,85264767,175632021,80651,72844340,1143966
LinkedList,684859,284,2171110589,1621751712,0.75,119884279,243800874,117516,97631564,1571883
LinkedList,925677,290,2993792691,2192155188,0.73,170967130,340387244,159910,137093842,2168776
LinkedList,2252930,31,1078383300,1233409311,1.14,49255969,231698049,122225,37261503,562440
LinkedList,4502226,34,2076157450,2590508813,1.25,105088264,461970746,191977,81835143,1284662
LinkedList,6769653,28,2693456061,3538889227,1.31,133036075,667642391,254720,102533576,1615550
LinkedList,10000000,2,1578340070,3375811526,2.14,26924662,724258122,407512,20633056,328351
AoS,1045,315,4342474,3219978,0.74,35331,503759,7303,17996,<notcounted>
AoS,2550,307,5494705,6411124,1.17,30614,958845,6987,369501,<notcounted>
