data_structure,N,runs,cycles,instructions,ipc,cache_misses,branches,branch_misses,L1_misses,TLB_misses
Array,959,274,2510660,2933623,1.17,31230,483873,9465,11731,<notcounted>
Array,2465,319,5604689,7158263,1.28,16397,1114963,10463,2608,<notcounted>
Array,5371,281,10421055,13719677,1.32,26586,2072227,13707,20603,448
Array,8152,312,16600224,21530249,1.30,52127,3518123,26614,61630,255
Array,9522,315,19251329,25004244,1.30,37962,4083761,37389,207197,176
Array,23352,282,42117309,54935742,1.30,67791,9195069,98585,443832,261
Array,50632,319,101287936,129674546,1.28,85836,21194700,232295,1077097,940
Array,73528,275,127480609,167419080,1.31,97390,26966754,201211,1368659,1289
Array,100958,322,212795286,265741638,1.25,161612,42301645,401684,2257385,2937
Array,240157,327,508188611,642205054,1.26,460883,102990057,956082,5450409,5986
Array,473315,312,972137120,1234367359,1.27,2665287,197800774,1790209,10399213,19846
Array,694838,295,1336132106,1726532753,1.29,6591669,280453235,2791435,14501870,24602
Array,900787,280,1650604164,2154792279,1.31,19320983,352065148,2699386,18061629,36015
Array,2261317,33,1178932078,1534784910,1.30,9008753,338045007,11915207,10271827,85861
Array,4528808,28,2861180676,3052014712,1.07,21215324,671716598,26698575,23245759,215743
Array,6765843,29,3454884312,4597926421,1.33,30800695,1028346521,35387758,30460177,265517
Array,10000000,3,3820443500,5125855606,1.34,19318514,1290708536,59523416,30735227,139048
LinkedList,959,274,3011038,3002012,1.00,35147,494056,8101,20197,<notcounted>
LinkedList,2465,325,6056874,7164149,1.18,25593,1132354,6671,498596,<notcounted>
LinkedList,5371,285,12490533,13403836,1.07,44727,2075137,7666,839974,305
LinkedList,8152,278,16874137,19718332,1.17,51759,3251195,8768,1292396,268
LinkedList,9522,324,23258605,26114901,1.12,61895,4008217,10821,1585538,306
LinkedList,23352,311,55961031,60785881,1.09,118017,9425439,13500,3762554,879
LinkedList,50632,311,115228471,130987177,1.14,382908,19084760,14167,8208029,6462
LinkedList,73528,321,180481377,193349811,1.07,1111143,30100754,17793,12024497,11765
LinkedList,100958,280,253748551,229590870,0.90,5040552,38084406,22635,14746785,8553
LinkedList,240157,319,769700116,619075086,0.80,26739557,95214055,28856,39019888,597740
LinkedList,473315,288,1364031284,1118955306,0.82,76801420,171021765,43849,68968641,1083005
LinkedList,694838,291,2047968585,1644131841,0.80,120436427,251528246,52464,101951604,1607491
LinkedList,900787,296,2945895494,2171744568,0.74,171954317,332609088,170576,135273323,2136914
LinkedList,2261317,31,1140648752,1253736627,1.10,47157047,221636155,153179,37695160,649602
LinkedList,4528808,26,1858195310,2300257391,1.24,82827152,429679228,229830,64452105,1007930
LinkedList,6765843,27,3244712919,3538205696,1.09,131348268,672691734,409317,102372728,1595965
LinkedList,10000000,4,1650264571,3510765632,2.13,40027478,737503984,345655,30926131,481528
