data_structure,N,runs,median_cycles,median_instructions,ipc,median_cache_misses,median_branches,median_branch_misses,median_l1_misses,median_tlb_misses,cv_pct,stddev_cycles,ci95_cycles,source_file,is_standardized
BTree,500000,200,10628306,4998266,0.47,816524,839174,70851,333526,37025,8.0,882191.0,122265.0,deep_scaling_results_1776339155.csv,True
BTree,750000,200,14578560,7110640,0.49,824997,1239160,74352,357752,42818,16.5,2324551.0,322166.0,deep_scaling_results_1776339155.csv,True
BTree,1000000,20,16380021,8328250,0.51,1025421,1540696,76165,388905,42964,16.6,2724868.0,1194226.0,deep_scaling_results_1776339155.csv,True
BTree,2500000,20,97878368,38736765,0.4,7734519,4768088,848453,3125096,475521,5.5,5519144.0,2418872.0,deep_scaling_results_1776339155.csv,True
BTree,5000000,20,182305435,71287277,0.39,14118616,9118493,1131535,5498212,819319,1.9,3384540.0,1483340.0,deep_scaling_results_1776339155.csv,True
BTree,7500000,20,254068937,91662262,0.36,16253340,12845283,1188876,6071152,875698,4.9,12528209.0,5490730.0,deep_scaling_results_1776339155.csv,True
BTree,10000000,3,297291741,109971988,0.37,16896584,16365673,1198463,6240996,888442,0.9,2563850.0,2901269.0,deep_scaling_results_1776339155.csv,True
CircularBuffer,1000,1000,6769,7456,1.1,0,1101,12,2,0,55.1,2774.0,172.0,deep_scaling_results_1776339155.csv,True
CircularBuffer,2500,1000,14653,17956,1.23,1,2601,12,48,0,68.1,6829.0,423.0,deep_scaling_results_1776339155.csv,True
CircularBuffer,5000,1000,28076,35456,1.26,4,5101,5,193,0,90.5,13858.0,859.0,deep_scaling_results_1776339155.csv,True
CircularBuffer,7500,1000,41942,52956,1.26,2,7601,13,443,0,67.7,19421.0,1204.0,deep_scaling_results_1776339155.csv,True
CircularBuffer,10000,1000,55414,70456,1.27,11,10101,13,632,0,70.1,26030.0,1613.0,deep_scaling_results_1776339155.csv,True
CircularBuffer,25000,1000,136381,175456,1.29,49,25101,13,1570,0,82.8,67083.0,4158.0,deep_scaling_results_1776339155.csv,True
CircularBuffer,50000,1000,271806,350456,1.29,44,50101,13,3136,0,70.6,127586.0,7908.0,deep_scaling_results_1776339155.csv,True
CircularBuffer,75000,1000,406678,525456,1.29,25,75101,13,4695,0,82.0,197762.0,12257.0,deep_scaling_results_1776339155.csv,True
CircularBuffer,100000,200,541926,700456,1.29,123,100101,14,6259,0,88.8,268620.0,37229.0,deep_scaling_results_1776339155.csv,True
CircularBuffer,250000,200,1353818,1750456,1.29,3824,250101,14,15636,0,73.4,630505.0,87384.0,deep_scaling_results_1776339155.csv,True
CircularBuffer,500000,200,2026230,3500457,1.73,24411,500102,14,31263,0,77.5,1220548.0,169159.0,deep_scaling_results_1776339155.csv,True
CircularBuffer,750000,200,2616758,5123431,1.96,47581,743368,15,46212,7,71.2,1706548.0,236516.0,deep_scaling_results_1776339155.csv,True
CircularBuffer,1000000,20,3285512,6294522,1.92,73155,896026,16,49898,53,66.0,2103637.0,921960.0,deep_scaling_results_1776339155.csv,True
CircularBuffer,2500000,20,7347911,11058645,1.51,161477,1655807,22,105947,1279,22.3,1751896.0,767802.0,deep_scaling_results_1776339155.csv,True
CircularBuffer,5000000,20,15821095,23946877,1.51,342849,3613430,24,217051,2687,15.1,2380917.0,1043483.0,deep_scaling_results_1776339155.csv,True
CircularBuffer,7500000,20,24209803,37328648,1.54,544405,5452553,24,335499,4197,7.2,1739140.0,762212.0,deep_scaling_results_1776339155.csv,True
CircularBuffer,10000000,3,30703402,48870422,1.59,724640,7268946,43,454486,5351,1.5,476942.0,539710.0,deep_scaling_results_1776339155.csv,True
SkipList,1000,1000,16981,7454,0.44,23,1101,11,1010,0,48.4,6901.0,428.0,deep_scaling_results_1776339155.csv,True
SkipList,2500,1000,38811,17954,0.46,54,2601,12,2515,0,82.6,20782.0,1288.0,deep_scaling_results_1776339155.csv,True
SkipList,5000,1000,79554,35454,0.45,37,5101,12,5021,0,81.1,41638.0,2581.0,deep_scaling_results_1776339155.csv,True
SkipList,7500,1000,115696,52954,0.46,108,7601,14,7527,0,93.1,62952.0,3902.0,deep_scaling_results_1776339155.csv,True
SkipList,10000,1000,153997,70454,0.46,80,10101,13,10034,0,86.6,87688.0,5435.0,deep_scaling_results_1776339155.csv,True
SkipList,25000,1000,389893,175454,0.45,1442,25101,13,25063,0,81.4,251259.0,15573.0,deep_scaling_results_1776339155.csv,True
SkipList,50000,1000,920865,350454,0.38,31991,50101,13,50133,0,77.4,575314.0,35658.0,deep_scaling_results_1776339155.csv,True
SkipList,75000,1000,1504391,525454,0.35,66147,71572,14,75282,161,64.7,817550.0,50672.0,deep_scaling_results_1776339155.csv,True
SkipList,100000,200,2025370,700455,0.35,138812,100102,15,100520,1328,81.4,1203030.0,166731.0,deep_scaling_results_1776339155.csv,True
SkipList,250000,200,3708056,1420596,0.38,367807,207673,17,196157,3013,63.9,2395739.0,332032.0,deep_scaling_results_1776339155.csv,True
SkipList,500000,200,7780664,2423263,0.31,651127,353614,20,347134,5400,28.2,2171521.0,300957.0,deep_scaling_results_1776339155.csv,True
SkipList,750000,200,10960182,3753887,0.34,996575,532691,22,537539,8521,13.0,1483707.0,205631.0,deep_scaling_results_1776339155.csv,True
SkipList,1000000,20,14013403,5090866,0.36,1404800,718018,22,736634,11134,17.4,2518965.0,1103985.0,deep_scaling_results_1776339155.csv,True
SkipList,2500000,20,37589780,12488999,0.33,3317281,1794571,24,1815004,27850,9.8,3745455.0,1641518.0,deep_scaling_results_1776339155.csv,True
SkipList,5000000,20,71292916,25156304,0.35,6667816,3592463,27,3623429,55564,6.4,4618727.0,2024246.0,deep_scaling_results_1776339155.csv,True
SkipList,7500000,20,104416100,37510928,0.36,10016744,5350038,33,5390439,83770,3.9,4081919.0,1788980.0,deep_scaling_results_1776339155.csv,True
