Run_Timestamp,Data_Structure,Elements,Time_ns,Clock_Cycles
1774900974,Matrix_Col_Major,1000000,3289933,6234856
1774900974,AoS_Sum,5000000,10524599,19951132
1774900974,SoA_Sum,5000000,3294331,6242343
1774900974,Array_Queue,5000000,21461538,40687567
1774900974,LinkedList_Queue,5000000,249363293,472785902
1774900974,BST_Random_Search,5000000,9671338868,18336674636
1774900974,HashTable_Linear_Search,5000000,235567055,446624017
1774900974,Matrix_Row_Major,5004169,4838327,9169410
1774900974,Matrix_Col_Major,5004169,74956793,142110357
1775070573,AoS_Sum,1000,4267,4823
1775070573,SoA_Sum,1000,2264,1058
1775070573,Array_Queue,1000,2889,2436
1775070573,LinkedList_Queue,1000,145620,272177
1775070573,BST_Random_Search,1000,144213,269596
1775070573,HashTable_Linear_Search,1000,34629,62439
1775070573,Matrix_Row_Major,1024,2449,1623
1775070573,Matrix_Col_Major,1024,3814,4224
1775070573,AoS_Sum,10000,32949,59022
1775070573,SoA_Sum,10000,8142,12316
1775070573,Array_Queue,10000,90987,169328
1775070573,LinkedList_Queue,10000,1233358,2334150
1775070573,BST_Random_Search,10000,2927179,5545423
1775070573,HashTable_Linear_Search,10000,365768,688686
1775070573,Matrix_Row_Major,10000,34032,59638
1775070573,Matrix_Col_Major,10000,32823,58156
1775070573,AoS_Sum,100000,218980,412558
1775070573,SoA_Sum,100000,54527,100638
1775070573,Array_Queue,100000,583903,1104404
1775070573,LinkedList_Queue,100000,8034776,15231278
1775070573,BST_Random_Search,100000,16355064,31007954
1775070573,HashTable_Linear_Search,100000,889972,1686091
1775070573,Matrix_Row_Major,100489,20120,37081
1775070573,Matrix_Col_Major,100489,70921,133385
1775070573,AoS_Sum,1000000,1412427,2675555
1775070573,SoA_Sum,1000000,419995,793166
1775070573,Array_Queue,1000000,2567305,4865186
1775070573,LinkedList_Queue,1000000,29966140,56814732
1775070573,BST_Random_Search,1000000,740215946,1403466698
1775070573,HashTable_Linear_Search,1000000,25609284,48552693
1775070573,Matrix_Row_Major,1000000,619896,1173125
1775070573,Matrix_Col_Major,1000000,2939586,5571424
1775070573,AoS_Sum,5000000,6679097,12660579
1775070573,SoA_Sum,5000000,2396326,4540930
1775070573,Array_Queue,5000000,13047155,24735568
1775070573,LinkedList_Queue,5000000,143836542,272716246
1775070573,BST_Random_Search,5000000,6175603569,11709112438
1775070573,HashTable_Linear_Search,5000000,128804060,244212625
1775070573,Matrix_Row_Major,5004169,3111627,5896584
1775070573,Matrix_Col_Major,5004169,42287804,80175114
