data_structure,N,runs,median_cycles,median_instructions,ipc,median_cache_misses,median_branches,median_branch_misses,median_l1_misses,median_tlb_misses,cv_pct,stddev_cycles,ci95_cycles
Heap,1015,1000,6796,7561,1.11,10,1116,5,44,0,69.4,4054,251
SoA,1000,1000,6891,7456,1.08,2,1101,12,10,0,34.0,2223,138
Vector,1000,1000,6520,7456,1.14,0,1101,12,54,0,62.2,2948,183
HashMap,1000,1000,7104,13454,1.89,5,3101,13,707,0,98.5,7970,494
vEBTree,1000,1000,6641,7456,1.12,1,39,11,16,0,77.0,3928,243
Array,1000,1000,6572,7456,1.13,1,1101,11,15,0,58.7,3105,192
Trie,1000,1000,586804,257963,0.44,515,75273,14801,13821,0,93.8,526322,32622
Deque,1000,1000,6536,11609,1.78,1,2150,9,7,0,51.5,3371,209
BTree,1002,1000,8551,15523,1.82,3,2731,12,0,0,113.6,13079,811
LinkedList,1000,1000,11670,7454,0.64,2,1101,12,467,0,122.3,16262,1008
BST,1015,1000,7438,11098,1.49,7,2187,14,0,0,110.2,9955,617
RBTree,1000,1000,9223,10948,1.19,10,2157,12,1247,0,103.0,13401,831
SlabList,1013,1000,1754,7628,4.35,0,1126,12,14,0,85.1,3533,219
AoS,1000,1000,6780,7456,1.10,0,1101,12,121,0,89.7,5203,322
SkipList,1002,1000,15354,7468,0.49,1,1103,11,1013,0,111.8,16886,1047
CircularBuffer,1011,1000,1487,7533,5.07,0,1112,12,5,0,90.8,3728,231
AoS,1037,1000,7211,7715,1.07,3,1138,12,139,0,70.6,4966,308
SoA,1032,1000,7149,7680,1.07,4,1133,11,16,0,51.8,3517,218
RBTree,1020,1000,9138,11148,1.22,6,2197,15,1304,0,141.3,15876,984
CircularBuffer,1032,1000,6800,7680,1.13,3,1133,11,18,0,69.0,3670,227
Vector,1028,1000,6736,7652,1.14,1,1129,12,25,0,66.7,3318,206
Array,1028,1000,6694,7652,1.14,0,1129,11,13,0,61.7,3264,202
BTree,1020,1000,8159,15720,1.93,3,2769,11,979,0,108.9,10805,670
Trie,1040,1000,608605,267676,0.44,273,78085,15453,14346,0,100.1,532558,33008
Deque,1039,1000,12438,17957,1.44,0,4199,11,16,0,81.1,6981,433
vEBTree,1017,1000,6970,7575,1.09,2,1118,11,18,0,52.4,2984,185
BST,1032,1000,7601,11271,1.48,1,2223,13,568,0,137.0,14250,883
HashMap,1044,1000,10145,14026,1.38,35,3233,15,794,0,97.9,10822,671
SkipList,1044,1000,18401,7762,0.42,58,1145,10,1055,0,119.3,28247,1751
LinkedList,1034,1000,13149,7692,0.58,8,1135,13,489,0,155.4,28850,1788
SlabList,1039,1000,12403,14803,1.19,2,2151,14,57,0,79.5,6628,411
Heap,1018,1000,6607,7582,1.15,2,1119,10,18,0,70.7,3720,231
BST,1073,1000,7851,11684,1.49,1,2307,13,728,0,122.5,9564,593
BTree,1055,1000,2061,16121,7.82,5,2845,11,1004,0,140.7,12251,759
Trie,1055,1000,617995,271253,0.44,469,79128,15787,14546,0,108.4,569684,35309
Vector,1061,1000,2778,7883,2.84,2,1162,11,16,0,78.1,3453,214
SlabList,1046,1000,2276,14803,6.50,1,2151,15,46,0,88.7,6554,406
Array,1063,1000,6856,7897,1.15,3,1164,10,19,0,55.9,3293,204
CircularBuffer,1073,1000,7230,7967,1.10,1,1174,11,14,0,49.6,3332,207
LinkedList,1057,1000,12821,7853,0.61,2,1158,13,517,0,107.9,17388,1078
RBTree,1067,1000,2093,11624,5.55,2,2295,15,1449,0,102.4,6959,431
Heap,1048,1000,6765,7792,1.15,2,1149,11,18,0,73.1,3488,216
HashMap,1064,1000,7534,14286,1.90,16,3293,20,762,0,82.8,5682,352
AoS,1072,1000,7049,7960,1.13,12,1173,12,108,0,96.0,5854,363
SoA,1070,1000,7354,7946,1.08,4,1171,12,16,0,55.2,3672,228
vEBTree,1073,1000,7307,7967,1.09,9,1174,12,17,0,67.3,3914,243
SkipList,1060,1000,18923,7874,0.42,56,121,11,1071,0,127.3,25152,1559
Deque,1072,1000,12568,18122,1.44,5,4199,12,12,0,66.6,6660,413
Array,1081,1000,7031,8023,1.14,4,1182,10,21,0,73.9,3818,237
SoA,1091,1000,7520,8093,1.08,4,1192,12,23,0,56.5,3877,240
SkipList,1090,1000,16697,8084,0.48,25,1191,11,1103,0,149.6,34045,2110
HashMap,1084,1000,7577,14546,1.92,6,3353,26,784,0,86.4,6857,425
AoS,1102,1000,7570,8170,1.08,12,1203,12,146,0,75.6,5397,335
vEBTree,1088,1000,7354,8072,1.10,7,1189,12,16,0,53.0,3452,214
RBTree,1075,1000,9021,11704,1.30,3,2311,15,1476,0,126.6,11601,719
BTree,1105,1000,9461,16675,1.76,3,2953,13,1019,0,111.2,13317,825
SlabList,1098,1000,12724,14803,1.16,15,2151,14,5,0,56.3,6073,376
LinkedList,1080,1000,19321,8014,0.41,31,1181,12,549,0,126.0,28432,1762
CircularBuffer,1090,1000,7630,8086,1.06,10,1191,10,74,0,64.6,4063,252
Deque,1104,1000,14942,18282,1.22,27,4199,13,89,0,73.2,7661,475
BST,1086,1000,12606,11814,0.94,18,2333,14,1169,0,82.2,8271,513
Heap,1076,1000,7240,7988,1.10,12,1177,12,80,0,74.0,3981,247
Trie,1098,1000,806434,281810,0.35,9020,82149,17147,15102,1,80.8,582876,36127
Vector,1081,1000,7131,8023,1.13,4,1182,12,19,0,58.7,3282,203
