data_structure,N,runs,cycles,instructions,ipc,cache_misses,branches,branch_misses,L1_misses,TLB_misses
Array,1090,294,1694675,2245717,1.33,42,321144,328,0,0
Array,2506,294,1394848,2910784,2.09,38,590977,347,14341,8
Array,4920,308,2322155,6205208,2.67,25,1516074,337,1222,0
Array,7484,312,2300043,7507887,3.26,0,2140184,347,10133,2
Array,9306,301,6121670,11880905,1.94,649,2067945,293,149396,2
Array,24730,292,23267917,36732641,1.58,12816,5188342,253,310852,2
Array,48837,303,43074774,72090131,1.67,17117,11000229,256,666497,4
Array,80067,329,79305233,129794402,1.64,26407,18643338,287,1214394,11
Array,99683,306,94772111,154646488,1.63,80950,21922027,303,1354057,153
Array,232774,280,202623212,326238527,1.61,38304,46427469,234,2910174,4
Array,473425,313,459469991,740577036,1.61,517966,105731104,245,6633621,66
Array,691924,272,591282133,942417142,1.59,3022923,134645985,250,8380804,1125
Array,927903,310,906449143,1441111979,1.59,5775310,205869876,758,12826503,1496
Array,2254399,27,195366480,301193682,1.54,3380291,43343727,36,2762517,33229
Array,4520677,30,440766316,677547203,1.54,8953172,97385050,280,6061796,74816
Array,6763510,26,566770141,876973463,1.55,12174209,125699059,242,7902131,97763
Array,10000000,4,126004982,198029985,1.57,2857024,29009725,41,1812543,21501
LinkedList,1090,311,541321,1340777,2.48,53,339710,354,41841,0
LinkedList,2506,306,6344591,3779028,0.60,2059,542380,248,480939,0
LinkedList,4920,324,16860310,7934360,0.47,5518,1094205,253,1152488,1
LinkedList,7484,276,26412270,10685039,0.40,5207,1532377,237,1572847,0
LinkedList,9306,277,38695709,13303676,0.34,5731,1885147,255,2043263,47
LinkedList,24730,320,181864105,39434097,0.22,7655,5616911,258,6363899,1
LinkedList,48837,277,350887879,67926425,0.19,69246,9710378,256,10340849,50
LinkedList,80067,327,774924370,130991714,0.17,1140137,18793396,346,19523286,322
LinkedList,99683,287,992945074,143397917,0.14,3952111,20467142,290,21339040,97673
LinkedList,232774,300,5273840456,349225499,0.07,94680460,49891276,516,65793466,7462441
LinkedList,473425,304,13673620511,719619776,0.05,386025960,102825676,813,206515775,48886863
LinkedList,691924,280,19732174354,968365734,0.05,635690585,138449257,934,315156068,80108974
LinkedList,927903,289,28367075364,1340531182,0.05,959135767,191584089,1926,466495146,121625659
LinkedList,2254399,29,8161243972,326734429,0.04,277079202,46716339,549,128541331,34306979
LinkedList,4520677,29,17024817360,655370614,0.04,582851147,93662746,1627,268608422,71792113
LinkedList,6763510,33,29508901349,1115897776,0.04,1010375916,159451411,1019,463940536,123984273
LinkedList,10000000,3,4366284092,149998062,0.03,142379423,21405386,275,63303979,16856642
AoS,1090,294,278988,1497636,5.37,87,321145,334,1811,0
AoS,2506,285,269894,3229295,11.97,18,714877,347,158252,0
AoS,4920,297,2466541,7378353,2.99,5,1461931,333,252438,0
AoS,7484,272,3223003,8454757,2.62,88,2036291,305,361512,0
AoS,9306,310,8711472,13854476,1.59,1708,1980074,247,548599,0
AoS,24730,306,24231827,38271682,1.58,4204,5316501,309,1337406,148
AoS,48837,297,46086572,72682227,1.58,105428,10090848,340,2687282,315
AoS,80067,275,69754009,108357656,1.55,564478,15631272,327,3992078,886
AoS,99683,312,97146262,156684940,1.61,70263,22619571,333,5457724,7
AoS,232774,270,218874137,312519244,1.43,7886113,44497601,337,11431725,5674
AoS,473425,284,516530232,671691016,1.30,29764926,96087295,673,24109564,288455
AoS,691924,291,742110665,1008472993,1.36,39118669,143175807,303,36031542,452322
