data_structure,N,runs,median_cycles,median_instructions,ipc,median_cache_misses,median_branches,median_branch_misses,median_l1_misses,median_tlb_misses,cv_pct
Array,1000,1000,6517,7456,1.14,0,1101,4,8,0,41.5
Array,2500,1000,14602,17956,1.23,0,2601,11,56,0,66.1
Array,5000,1000,28136,35456,1.26,0,5101,13,173,0,68.6
Array,7500,1000,41562,52956,1.27,0,7601,13,455,0,87.8
Array,10000,1000,55112,70456,1.28,0,10101,13,635,0,90.7
Array,25000,1000,136367,175456,1.29,0,25101,12,1571,0,88.9
Array,50000,1000,271421,350456,1.29,0,50101,13,3134,0,88.2
Array,75000,1000,406802,525456,1.29,0,75101,13,4696,0,83.1
Array,100000,200,510313,700456,1.37,3,100101,13,6259,0,91.7
Array,250000,200,1242088,1750456,1.41,0,250101,13,15635,0,83.4
Array,500000,200,2024386,3500457,1.73,122,500102,14,31263,0,76.4
Array,750000,200,2741406,5250457,1.92,519,750102,14,46888,0,73.2
Array,1000000,20,3122915,6475759,2.07,6360,929688,14,58116,0,71.1
Array,2500000,20,7215201,10929353,1.51,131725,1637962,13,107165,1259,26.5
Array,5000000,20,15945714,25212421,1.58,320322,3621033,10,222921,2775,15.0
Array,7500000,20,24360058,38703048,1.59,530377,5527333,15,344707,4271,6.7
Array,10000000,3,31497551,49422781,1.57,682308,7053257,8,461359,5608,0.2
LinkedList,1000,1000,11062,7454,0.67,0,1101,10,428,0,69.9
LinkedList,2500,1000,1545,17954,11.62,2,2601,13,2243,0,98.8
LinkedList,5000,1000,98213,35454,0.36,0,5101,12,5127,0,97.4
LinkedList,7500,1000,181365,52954,0.29,0,7601,13,8015,0,72.5
LinkedList,10000,1000,293587,70454,0.24,0,10101,13,10732,0,86.0
LinkedList,25000,1000,1063185,175454,0.17,0,25101,13,25942,0,84.7
LinkedList,50000,1000,2367839,350455,0.15,318,50102,12,51089,0,72.7
LinkedList,75000,1000,2850550,525455,0.18,1790,75102,12,75164,0,75.8
LinkedList,100000,200,4377937,554311,0.13,6878,77359,14,81085,0,69.5
LinkedList,250000,200,23585485,1254836,0.05,365814,179111,16,240810,33829,8.9
LinkedList,500000,200,62220929,2512400,0.04,987854,359247,20,683075,214439,13.3
LinkedList,750000,200,102110919,3738181,0.04,2102144,535381,16,1139270,318190,5.2
LinkedList,1000000,20,129920711,5008433,0.04,3361113,713381,28,1629234,463406,3.2
LinkedList,2500000,20,365066212,12484014,0.03,10056277,1785856,29,4759632,1318692,4.6
LinkedList,5000000,20,849758788,25002455,0.03,21649781,3571162,29,10144040,2749312,3.6
LinkedList,7500000,20,1314049144,37490576,0.03,33247609,5358369,29,15528523,4175155,3.1
LinkedList,10000000,3,1774905958,49982637,0.03,44872521,7150754,29,20920660,5598125,0.7
AoS,1000,1000,6543,7456,1.14,4,1101,12,97,0,71.2
AoS,2500,1000,1272,17956,14.12,0,2601,10,634,0,95.1
AoS,5000,1000,28660,35456,1.24,19,5101,12,1263,0,81.2
AoS,7500,1000,42260,52956,1.25,27,7601,13,1883,0,60.2
AoS,10000,1000,56016,70456,1.26,19,10101,13,2511,0,64.5
AoS,25000,1000,137457,175456,1.28,63,25101,13,6266,0,80.9
AoS,50000,1000,273746,350456,1.28,274,50101,13,12516,0,72.2
AoS,75000,1000,409563,525456,1.28,125,75101,11,18761,0,60.6
AoS,100000,200,547810,700456,1.28,2193,100101,14,25011,0,88.1
AoS,250000,200,1127476,1750456,1.55,39766,250101,14,62535,17,82.6
AoS,500000,200,2409014,3500457,1.45,154909,479097,14,125275,1422,76.5
AoS,750000,200,2832302,4746810,1.68,234190,688933,13,126415,2561,68.6
AoS,1000000,20,4121053,5203306,1.26,269925,865984,10,232827,2110,68.1
AoS,2500000,20,8968458,12032959,1.34,624262,1711796,21,431531,5470,10.1
AoS,5000000,20,16840300,24251104,1.44,1270324,3512671,17,892003,10967,7.5
AoS,7500000,20,27128174,36404321,1.34,1935216,5230748,24,1341572,16577,7.4
AoS,10000000,3,34807882,48430633,1.39,2564963,6935448,31,1872722,22666,8.6
SoA,1000,1000,6508,7456,1.15,0,1101,11,8,0,40.8
SoA,2500,1000,1630,17956,11.02,0,2601,12,45,0,87.7
SoA,5000,1000,28220,35456,1.26,0,5101,13,189,0,75.7
SoA,7500,1000,41761,52956,1.27,0,7601,13,462,0,57.9
SoA,10000,1000,55181,70456,1.28,4,10101,13,637,0,80.5
SoA,25000,1000,136349,175456,1.29,24,25101,13,1575,0,85.7
SoA,50000,1000,272059,350456,1.29,121,50101,13,3135,0,73.1
SoA,75000,1000,406132,525456,1.29,24,75101,13,4699,0,80.7
SoA,100000,200,540458,700456,1.30,221,100101,14,6263,1,59.6
SoA,250000,200,1352366,1750456,1.29,4780,250101,14,15638,0,78.1
SoA,500000,200,2066170,3500457,1.69,10557,500102,14,31266,0,75.8
SoA,750000,200,2545566,4964076,1.95,44319,715760,14,44307,29,72.1
SoA,1000000,20,2889677,5993135,2.07,69423,792526,16,40040,28,72.5
SoA,2500000,20,7212348,11646647,1.61,163912,1669833,21,104556,1248,16.0
SoA,5000000,20,15938568,23881542,1.50,342073,3487744,28,216493,2680,10.1
SoA,7500000,20,23378175,37259608,1.59,536813,5392640,24,338957,4147,12.2
SoA,10000000,3,30734447,50704814,1.65,723549,7253691,29,453483,5376,2.8
BST,1000,1000,6997,335,0.05,0,39,5,512,0,53.1
BST,2500,1000,1017,26040,25.60,0,5165,21,6,0,108.0
BST,5000,1000,52258,51093,0.98,1,10179,40,9338,0,72.5
BST,7500,1000,90771,76223,0.84,3,15191,44,14201,0,85.7
BST,10000,1000,159861,101226,0.63,2,20193,96,16948,0,83.7
BST,25000,1000,546035,256639,0.47,0,51167,202,40807,0,80.5
BST,50000,1000,1219115,515041,0.42,114,102715,492,79913,0,68.0
BST,75000,1000,1732942,798894,0.46,5142,157481,526,120558,0,83.2
BST,100000,200,2924291,1061552,0.36,30392,214008,731,159681,0,76.9
BST,250000,200,16088496,2467801,0.15,711986,414638,1524,413324,91399,16.6
BST,500000,200,57133838,4635697,0.08,2044023,805414,3729,1018547,288077,2.4
BST,750000,200,65858420,6651585,0.10,2948542,1205954,6832,1517211,430039,10.0
BST,1000000,20,81014689,8865408,0.11,4038453,1645970,19790,2069140,577195,3.2
BST,2500000,20,227131968,21114194,0.09,10761287,4057654,13897,5232790,1443013,1.5
BST,5000000,20,380556343,44472470,0.12,20929961,8071340,18426,10516575,2881978,1.3
BST,7500000,20,579873832,67591192,0.12,32334205,11977486,35797,15826508,4322004,0.6
