data_structure,N,runs,median_cycles,median_instructions,ipc,median_cache_misses,median_branches,median_branch_misses,median_l1_misses,median_tlb_misses,cv_pct
BST,10000000,3,799044228,89815562,0.11,43063741,15864177,45025,20934939,5752814,0.0
Vector,1000,1000,6695,7456,1.11,0,1101,12,12,0,56.9
Vector,2500,1000,14710,17956,1.22,0,2601,12,2,0,62.9
Vector,5000,1000,28194,35456,1.26,5,5101,12,166,0,73.1
Vector,7500,1000,41871,52956,1.26,3,7601,13,444,0,79.2
Vector,10000,1000,55927,70456,1.26,23,39,12,646,0,68.3
Vector,25000,1000,133598,175456,1.31,72,25101,13,1581,0,94.1
Vector,50000,1000,271583,350456,1.29,133,50101,13,3136,0,67.0
Vector,75000,1000,407049,525456,1.29,106,75101,13,4696,0,62.7
Vector,100000,200,541966,700456,1.29,110,100101,14,6259,0,85.2
Vector,250000,200,1186865,1750456,1.47,975,250101,14,15636,0,83.2
Vector,500000,200,1818033,3500457,1.93,18806,500102,14,31261,0,76.5
Vector,750000,200,2554761,4991271,1.95,46330,691821,14,43374,13,70.0
Vector,1000000,20,3101887,4363981,1.41,68262,764950,16,54301,162,67.0
Vector,2500000,20,7552393,11149928,1.48,169837,1663039,23,103661,1268,19.6
Vector,5000000,20,15957318,23314697,1.46,355648,3511539,16,221360,2741,14.2
Vector,7500000,20,23797958,37129011,1.56,552474,5445692,33,340889,4169,9.5
Vector,10000000,3,30682727,48552458,1.58,722527,7266772,38,454640,5382,0.2
Deque,1000,1000,5957,11613,1.95,0,2150,10,10,0,63.6
Deque,2500,1000,16537,31427,1.90,0,6248,13,33,0,75.9
Deque,5000,1000,25741,56241,2.18,0,10346,18,187,0,65.4
Deque,7500,1000,41657,87212,2.09,0,16493,21,463,0,60.5
Deque,10000,1000,50894,112026,2.20,12,20591,24,634,0,73.6
Deque,25000,1000,125350,279381,2.23,17,51326,39,1584,0,78.0
Deque,50000,1000,243047,552149,2.27,40,100502,63,3161,0,85.7
Deque,75000,1000,366364,831074,2.27,45,151727,88,4733,0,84.1
Deque,100000,200,485517,1103842,2.27,201,200903,113,6308,0,82.2
Deque,250000,200,985814,2758921,2.80,808,502106,260,15756,0,84.8
Deque,500000,200,1671348,5511230,3.30,29367,1002063,503,31296,2,76.9
Deque,750000,200,2516463,7785263,3.09,40755,1428066,716,40917,17,71.1
Deque,1000000,20,2628836,8717233,3.32,77481,1494670,964,51484,253,66.1
Deque,2500000,20,7208422,18249288,2.53,171309,3478166,1674,109512,1319,21.7
Deque,5000000,20,15322161,37730509,2.46,355016,6971075,3455,223717,2810,16.0
Deque,7500000,20,23336020,59071615,2.53,541224,10551038,5333,344504,4230,10.0
Deque,10000000,3,28356214,78165710,2.76,716008,14200939,7062,459973,5578,0.9
Heap,1000,1000,1179,7456,6.32,0,1101,13,13,0,81.2
Heap,2500,1000,14658,17956,1.22,0,2601,11,43,0,57.4
Heap,5000,1000,28612,35456,1.24,1,5101,11,169,0,47.1
Heap,7500,1000,42046,52956,1.26,7,7601,13,445,0,57.6
Heap,10000,1000,55264,70456,1.27,9,10101,12,632,0,77.6
Heap,25000,1000,136557,175456,1.28,53,25101,13,1575,0,81.7
Heap,50000,1000,271649,350456,1.29,15,50101,13,3137,0,80.1
Heap,75000,1000,406535,525456,1.29,63,75101,14,4700,0,70.5
Heap,100000,200,539002,700456,1.30,109,100101,13,6276,0,84.4
Heap,250000,200,1080705,1750456,1.62,514,250101,14,15639,0,84.1
Heap,500000,200,1982342,3500457,1.77,18724,500102,14,31266,0,76.5
Heap,750000,200,2689163,4875894,1.81,37965,533113,14,43160,74,69.3
Heap,1000000,20,2438030,4462201,1.83,65742,673167,13,50602,14,59.7
Heap,2500000,20,7528486,11329665,1.50,162050,1671721,15,101951,1254,20.4
Heap,5000000,20,15426601,24226845,1.57,350684,3426431,18,212243,2822,13.8
Heap,7500000,20,24218645,37873856,1.56,546476,5491504,31,340868,4114,9.5
Heap,10000000,3,31096367,49532782,1.59,721567,7242104,44,449575,5376,1.5
HashMap,1000,1000,6665,13454,2.02,0,3101,14,708,0,73.3
HashMap,2500,1000,18160,32954,1.81,1,7601,55,2975,0,78.0
HashMap,5000,1000,34457,65454,1.90,0,15101,82,7960,0,89.1
HashMap,7500,1000,57667,97954,1.70,4,22601,151,12462,0,77.7
HashMap,10000,1000,106628,130454,1.22,7,30101,260,15112,0,82.3
HashMap,25000,1000,274797,325454,1.18,16,75101,710,35787,0,87.1
HashMap,50000,1000,579685,650454,1.12,114,150101,1512,65678,0,85.0
HashMap,75000,1000,1008114,975454,0.97,2149,225101,1708,104100,1,88.5
HashMap,100000,200,1288585,1300454,1.01,13233,300101,3719,128368,15,88.3
HashMap,250000,200,4660981,2311170,0.50,325488,504487,4039,287917,34063,47.6
HashMap,500000,200,11277514,4798495,0.43,1141151,1109520,10377,826848,214065,11.0
HashMap,750000,200,14866508,6789473,0.46,1578426,1583424,11967,1138882,355616,15.2
HashMap,1000000,20,23479782,9355423,0.40,2491552,2133896,14448,1734887,496888,13.4
HashMap,2500000,20,75222233,23087235,0.31,8116835,5330373,109323,4972912,1355722,2.2
HashMap,5000000,20,166897653,46350041,0.28,16956601,10719632,196518,10231675,2789189,4.7
HashMap,7500000,20,401743754,69665302,0.17,25591216,16072237,299073,16035422,5279195,1.4
HashMap,10000000,3,311085661,92540470,0.30,34434036,21417065,238215,20832480,5641231,1.4
RBTree,1000,1000,8564,10948,1.28,0,2157,14,1244,0,58.5
RBTree,2500,1000,21961,26040,1.19,0,5165,24,4355,0,93.5
RBTree,5000,1000,60331,51093,0.85,0,10179,43,9031,0,85.2
RBTree,7500,1000,126283,76223,0.60,2,15191,46,11625,0,97.0
RBTree,10000,1000,210424,101226,0.48,8,20193,90,14526,0,89.5
RBTree,25000,1000,546421,256639,0.47,11,51167,206,35563,0,67.5
RBTree,50000,1000,1189426,515041,0.43,177,102715,502,69409,0,89.5
RBTree,75000,1000,1766776,798894,0.45,2514,149111,524,103049,0,96.6
RBTree,100000,200,3235589,955434,0.30,60590,172397,724,130452,8,73.9
RBTree,250000,200,17467735,2390945,0.14,976115,407889,1542,487361,140978,14.2
RBTree,500000,200,56536673,4631984,0.08,2241700,804809,4296,995218,296570,4.1
RBTree,750000,200,79944049,6691966,0.08,2897258,1213365,6528,1205065,533386,11.4
RBTree,1000000,20,81339817,8835407,0.11,3915713,1632655,20637,2023811,573647,3.1
RBTree,2500000,20,223672768,21093907,0.09,10633712,4062327,14676,5144957,1434538,1.6
RBTree,5000000,20,382883182,44551867,0.12,21008549,8057978,26955,10331952,2874998,3.1
RBTree,7500000,20,537526364,67613617,0.13,31607439,11980443,35683,15528741,4306485,0.6
RBTree,10000000,3,768066430,89817705,0.12,41191246,15831505,46299,20313632,5744953,0.3
BTree,1000,1000,7876,15503,1.97,3,2727,12,972,0,77.2
BTree,2500,1000,20784,31048,1.49,0,5797,207,1219,0,86.8
BTree,5000,1000,36489,64550,1.77,10,11685,143,2952,0,77.2
BTree,7500,1000,109420,119107,1.09,0,19733,1659,8978,0,78.5
BTree,10000,1000,179935,166422,0.92,0,27037,2917,13574,0,76.1
BTree,25000,1000,367409,349796,0.95,0,60479,4951,22657,0,78.7
BTree,50000,1000,494445,603414,1.22,0,110833,5193,26464,0,64.7
BTree,75000,1000,786800,934373,1.19,0,167947,9061,42772,0,64.2
BTree,100000,200,1762657,1465368,0.83,23307,242673,26246,91469,0,82.1
BTree,250000,200,6350787,2895570,0.46,555724,433171,60200,256957,29251,35.8
BTree,500000,200,10191376,4907840,0.48,756067,824734,69468,328413,37030,4.5
BTree,750000,200,14255010,7205641,0.51,848244,1271468,75472,344151,38162,16.0
BTree,1000000,20,15586324,8863530,0.57,979851,1567800,75099,393605,42849,17.4
BTree,2500000,20,90202837,38524721,0.43,7750996,4717557,849087,3106349,476612,2.3
BTree,5000000,20,160363405,71355570,0.44,13989301,9140023,1113409,5528484,818533,1.7
BTree,7500000,20,211719444,91651166,0.43,15598496,12834411,1165777,6055577,874901,1.4
BTree,10000000,3,257651896,110043974,0.43,16051681,16490274,1169874,6155989,880891,0.6
CircularBuffer,1000,1000,6467,7456,1.15,0,1101,12,0,0,68.4
CircularBuffer,2500,1000,14795,17956,1.21,0,2601,11,42,0,50.4
CircularBuffer,5000,1000,28457,35456,1.25,0,5101,12,174,0,69.0
CircularBuffer,7500,1000,41645,52956,1.27,0,7601,12,460,0,85.0
CircularBuffer,10000,1000,55152,70456,1.28,2,10101,14,634,0,82.1
CircularBuffer,25000,1000,136296,175456,1.29,0,25101,12,1573,0,75.9
CircularBuffer,50000,1000,271075,350456,1.29,10,50101,13,3136,0,90.7
CircularBuffer,75000,1000,406669,525456,1.29,0,75101,13,4696,0,86.3
CircularBuffer,100000,200,538265,700456,1.30,9,100101,14,6260,0,91.4
CircularBuffer,250000,200,1351996,1750456,1.29,53,250101,14,15636,0,80.1
CircularBuffer,500000,200,2011219,3500457,1.74,384,500102,14,31262,0,78.8
CircularBuffer,750000,200,2700200,5250457,1.94,1429,750102,14,46885,0,74.7
CircularBuffer,1000000,20,3046130,5975893,1.96,66214,897420,16,54351,97,68.4
CircularBuffer,2500000,20,7506303,11432879,1.52,160369,1640116,26,100260,1297,23.7
CircularBuffer,5000000,20,15786479,24767689,1.57,345316,3656089,19,226082,2732,19.4
CircularBuffer,7500000,20,23944754,38557770,1.61,528741,5530492,14,346298,4273,6.3
CircularBuffer,10000000,3,31512808,49415430,1.57,707102,7189360,30,452500,5478,0.2
SkipList,1000,1000,14663,7454,0.51,0,1101,11,1012,0,70.9
SkipList,2500,1000,36680,17954,0.49,0,2601,12,2516,0,91.8
SkipList,5000,1000,76418,35454,0.46,0,5101,13,5024,0,74.9
SkipList,7500,1000,115169,52954,0.46,3,7601,13,7529,0,79.7
SkipList,10000,1000,153772,70454,0.46,0,10101,13,10032,0,73.6
SkipList,25000,1000,382856,175454,0.46,8,25101,13,25065,0,82.3
SkipList,50000,1000,792983,350454,0.44,3613,50101,12,50129,0,76.1
SkipList,75000,1000,1403425,525454,0.37,27643,75101,13,75266,132,70.9
SkipList,100000,200,1807975,700454,0.39,79748,100101,13,100512,1437,80.6
SkipList,250000,200,3513155,1454499,0.41,359855,212443,12,178448,4143,63.6
SkipList,500000,200,6322797,2323711,0.37,586542,331845,13,335829,5666,38.0
SkipList,750000,200,9846390,3603137,0.37,948935,515075,14,518344,8025,9.0
SkipList,1000000,20,13302606,5306432,0.40,1386582,764133,15,752600,11031,13.6
SkipList,2500000,20,33194288,12561853,0.38,3387338,1796819,19,1805365,27583,3.4
SkipList,5000000,20,67864169,24982993,0.37,6749727,3589630,19,3605541,55882,3.2
SkipList,7500000,20,100994296,37684361,0.37,10191732,5388704,19,5415258,83787,1.6
SkipList,10000000,3,134806688,50206623,0.37,13442462,7171384,26,7220096,111979,1.1
SlabList,1000,1000,6611,7628,1.15,0,1126,10,13,0,53.6
SlabList,2500,1000,18005,21980,1.22,0,3176,16,53,0,65.4
SlabList,5000,1000,28845,36332,1.26,0,5226,16,200,0,85.0
SlabList,7500,1000,45499,57860,1.27,0,8301,22,517,0,54.2
SlabList,10000,1000,56434,72212,1.28,0,10351,23,652,0,83.0
SlabList,25000,1000,139315,179852,1.29,0,25726,39,1618,0,79.6
SlabList,50000,1000,271854,352076,1.30,0,50326,61,3158,0,88.6
SlabList,75000,1000,410283,531476,1.30,0,75951,87,4765,0,70.5
SlabList,100000,200,541904,703700,1.30,2,100551,112,6304,0,87.1
SlabList,250000,200,1348400,1758572,1.30,30,251226,259,15752,0,79.5
SlabList,500000,200,1981168,3509517,1.77,330,501327,502,31434,0,78.2
SlabList,750000,200,2643632,5126134,1.94,3123,750503,634,46540,0,70.8
SlabList,1000000,20,2862841,5210370,1.82,57905,744489,943,45553,19,61.9
SlabList,2500000,20,7316867,11145814,1.52,157635,1654625,1679,102980,1257,20.7
SlabList,5000000,20,15974256,24444884,1.53,349916,3610796,3462,220861,2709,16.7
SlabList,7500000,20,24307270,37180993,1.53,542442,5475179,5331,351587,4235,9.4
SlabList,10000000,3,32005001,50093141,1.57,715923,7162248,7052,448633,5598,0.3
Trie,1000,1000,502638,328028,0.65,0,70837,9977,7771,0,78.9
Trie,2500,1000,1219515,759248,0.62,0,161029,23932,19099,0,83.3
Trie,5000,1000,2103921,1424316,0.68,4,301989,35021,36284,0,74.7
Trie,7500,1000,2748756,1996817,0.73,8,426990,59717,52440,0,70.4
Trie,10000,1000,3175413,2558109,0.81,371,372469,76246,68170,0,67.4
Trie,25000,1000,8415594,3762480,0.45,145132,825451,92151,102796,5519,26.0
Trie,50000,1000,16177785,7518347,0.46,553585,1647103,141431,245620,35210,16.4
Trie,75000,1000,28161389,10727355,0.38,869176,2360324,197667,341500,44071,9.8
Trie,100000,200,28628161,13123013,0.46,1167161,2880391,252007,452148,56574,6.6
Trie,250000,200,59073559,30521078,0.52,2815915,6611602,251698,1085110,148728,3.7
Trie,500000,200,109620233,53235400,0.49,5445794,9182076,329220,2093841,363322,2.7
Trie,750000,200,160445702,76348184,0.48,7983671,15950921,396728,3067705,442902,3.0
Trie,1000000,20,207880033,99013664,0.48,10580481,20595532,403419,4036903,590143,3.0
Trie,2500000,20,494420367,204996567,0.41,22322149,40154082,806706,8985203,1462097,10.3
Trie,5000000,20,943353297,346638534,0.37,40297737,66520456,877930,16472075,2907410,1.5
Trie,7500000,20,1344354775,418074066,0.31,52630380,80842347,772892,22316089,4354111,1.3
Trie,10000000,3,1577669919,489664268,0.31,65823543,95106531,912033,28142166,5781421,0.7
vEBTree,1000,1000,6667,7456,1.12,0,1101,12,12,0,55.2
vEBTree,2500,1000,14790,17956,1.21,2,2601,11,37,0,67.1
vEBTree,5000,1000,28217,35456,1.26,5,5101,13,186,0,77.1
vEBTree,7500,1000,41968,52956,1.26,0,7601,13,460,0,69.2
vEBTree,10000,1000,55284,70456,1.27,0,10101,13,633,0,81.8
vEBTree,25000,1000,136081,175456,1.29,0,25101,12,1572,0,90.2
vEBTree,50000,1000,271305,350456,1.29,0,50101,13,3135,0,88.9
vEBTree,75000,1000,406923,525456,1.29,0,75101,13,4696,0,69.6
vEBTree,100000,200,541571,700456,1.29,0,100101,13,6259,0,79.9
vEBTree,250000,200,1239450,1750456,1.41,10,250101,14,15635,0,82.7
vEBTree,500000,200,1870419,3500457,1.87,5270,500102,14,31263,0,77.3
vEBTree,750000,200,2605838,4829780,1.85,6963,690913,13,43020,0,69.3
vEBTree,1000000,20,2760005,4633364,1.68,19843,754591,15,53417,4,66.2
vEBTree,2500000,20,7482834,11594459,1.55,161891,1682988,15,101716,1201,17.7
vEBTree,5000000,20,15587723,25069425,1.61,333006,3556701,16,226536,2688,15.8
vEBTree,7500000,20,23691499,37502426,1.58,471336,5501889,17,343354,4721,8.4
vEBTree,10000000,3,30790684,50425559,1.64,726219,7263849,35,454207,5362,2.7
