data_structure,N,runs,median_cycles,median_instructions,ipc,median_cache_misses,median_branches,median_branch_misses,median_l1_misses,median_tlb_misses,cv_pct,stddev_cycles,ci95_cycles
Array,2064,1000,13179,14904,1.13,4,2165,12,82,0,62.6,6793,421
Array,2066,1000,12335,14918,1.21,3,2167,12,46,0,54.2,5595,347
Array,2076,1000,12332,14988,1.22,3,2177,11,44,0,75.2,6840,424
Array,2080,1000,12719,15016,1.18,8,2181,12,29,0,50.9,6063,376
Array,2085,1000,12877,15051,1.17,11,2186,12,133,0,71.6,6894,427
Array,2094,1000,12919,15114,1.17,7,2195,11,134,0,73.7,6815,422
Array,2097,1000,12869,15135,1.18,14,2198,11,130,0,71.2,6472,401
Array,2104,1000,13289,15184,1.14,12,2205,11,131,0,71.4,7007,434
Array,2111,1000,13003,15233,1.17,2,2212,12,134,0,79.8,7385,458
Array,2114,1000,2682,15254,5.69,6,2215,12,113,0,90.2,7487,464
Array,2121,1000,13392,15303,1.14,19,2222,12,122,0,54.3,6017,373
Array,2128,1000,13560,15352,1.13,4,2229,11,122,0,55.6,6475,401
Array,2136,1000,12699,15408,1.21,3,2237,12,42,0,69.1,6903,428
Array,2141,1000,13109,15443,1.18,10,2242,12,49,0,69.1,6908,428
Array,2146,1000,1924,15478,8.04,6,2247,12,57,0,96.3,7090,439
Array,2150,1000,13085,15506,1.19,12,2251,11,65,0,62.7,6737,418
Array,2160,1000,12772,15576,1.22,4,2261,12,39,0,86.7,7875,488
Array,2165,1000,13358,15611,1.17,6,2266,12,53,0,64.6,7392,458
Array,2170,1000,13340,15646,1.17,14,2271,12,70,0,72.6,7383,458
Array,2178,1000,13304,15702,1.18,14,2279,12,54,0,64.6,6861,425
Array,2180,1000,13316,15716,1.18,5,2281,11,46,0,56.1,6450,400
Array,2187,1000,13078,15765,1.21,2,2288,11,39,0,62.8,6576,408
Array,2192,1000,13277,15800,1.19,2,2293,11,41,0,73.5,6679,414
Array,2202,1000,13514,15870,1.17,3,2303,12,36,0,44.5,5768,358
Array,2204,1000,1729,15884,9.19,6,2305,12,52,0,97.7,7707,478
Array,2214,1000,13362,15954,1.19,2,2315,11,44,0,59.6,6526,405
Array,2218,1000,13068,15982,1.22,4,2319,12,40,0,89.7,7909,490
Array,2222,1000,13427,16010,1.19,2,2323,12,49,0,62.9,6766,419
Array,2231,1000,13658,16073,1.18,6,2332,12,51,0,61.5,7175,445
Array,2235,1000,13348,16101,1.21,3,2336,11,44,0,63.0,6712,416
Array,2243,1000,13575,16157,1.19,9,2344,12,37,0,73.5,7369,457
Array,2248,1000,13679,16192,1.18,13,2349,12,149,0,71.8,6921,429
Array,2253,1000,13835,16227,1.17,8,2354,12,150,0,70.2,7159,444
Array,2261,1000,13863,16283,1.17,16,2362,12,149,0,64.2,7191,446
Array,2266,1000,13398,16318,1.22,5,2367,12,48,0,73.9,7495,465
Array,2270,1000,2191,16346,7.46,2,2371,12,45,0,93.8,7477,463
Array,2280,1000,13418,16416,1.22,4,2381,12,51,0,79.3,7024,435
Array,2285,1000,13502,16451,1.22,4,2386,10,47,0,77.1,6995,434
Array,2291,1000,13853,16493,1.19,2,2392,12,42,0,72.4,7711,478
Array,2295,1000,13882,16521,1.19,2,2396,11,42,0,68.0,7216,447
Array,2303,1000,13598,16577,1.22,17,2404,11,51,0,80.6,7731,479
Array,2310,1000,13796,16626,1.21,5,2411,12,46,0,69.8,7786,483
Array,2313,1000,13572,16647,1.23,4,2414,10,49,0,84.0,7394,458
Array,2321,1000,13700,16703,1.22,1,2422,11,51,0,62.3,6874,426
Array,2324,1000,13795,16724,1.21,1,2425,12,34,0,81.5,8688,539
Array,2333,1000,14060,16787,1.19,4,2434,11,47,0,70.5,7256,450
Array,2339,1000,3809,16829,4.42,0,2440,11,45,0,89.1,7289,452
Array,2346,1000,14015,16878,1.20,1,2447,11,42,0,66.9,6788,421
Array,2348,1000,13854,16892,1.22,2,2449,11,49,0,68.2,7374,457
Array,2356,1000,13352,16948,1.27,2,2457,12,31,0,91.7,8159,506
Array,2361,1000,13884,16983,1.22,6,2462,11,36,0,73.5,6942,430
Array,2366,1000,14318,17018,1.19,4,2467,12,44,0,68.8,7824,485
Array,2373,1000,13968,17067,1.22,6,2474,12,45,0,73.0,7455,462
Array,2379,1000,14222,17109,1.20,4,2480,12,26,0,65.3,7388,458
Array,2384,1000,14101,17144,1.22,3,2485,12,147,0,85.3,8751,542
Array,2393,1000,14869,17207,1.16,17,2494,11,149,0,77.1,9297,576
Array,2398,1000,14756,17242,1.17,10,2499,12,46,0,59.3,7316,453
Array,2405,1000,14408,17291,1.20,4,2506,11,56,0,76.7,7796,483
Array,2412,1000,14525,17340,1.19,2,2513,12,54,0,65.2,7471,463
Array,2416,1000,14188,17368,1.22,0,2517,13,49,0,81.3,8014,497
Array,2421,1000,14322,17403,1.22,7,2522,11,63,0,75.1,7449,462
Array,2426,1000,14203,17438,1.23,7,2527,13,57,0,87.7,7684,476
Array,2435,1000,14649,17501,1.19,10,2536,12,55,0,60.5,7225,448
Array,2439,1000,14650,17529,1.20,11,2540,11,42,0,69.6,7439,461
Array,2444,1000,14944,17564,1.18,11,2545,12,58,0,67.9,7420,460
Array,2453,1000,14790,17627,1.19,6,2554,11,60,0,73.5,7649,474
Array,2458,1000,14835,17662,1.19,17,2559,12,45,0,72.6,7356,456
Array,2463,1000,14768,17697,1.20,14,2564,11,62,0,75.0,7608,472
Array,2468,1000,14849,17732,1.19,4,2569,12,64,0,71.3,7979,495
Array,2476,1000,14988,17788,1.19,11,2577,11,64,0,70.5,7495,465
Array,2480,1000,15028,17816,1.19,15,2581,11,59,0,68.3,7531,467
Array,2490,1000,14904,17886,1.20,3,2591,12,62,0,80.2,8165,506
Array,2493,1000,14324,17907,1.25,12,2594,12,55,0,89.4,7878,488
Array,2501,1000,14670,17963,1.22,4,2602,12,54,0,85.4,8335,517
Array,2506,1000,15010,17998,1.20,2,2607,12,50,0,70.9,7298,452
Array,2510,1000,15403,18026,1.17,14,2611,12,3,0,62.9,8532,529
Array,2517,1000,15656,18075,1.15,20,2618,12,89,0,57.9,7998,496
Array,2523,1000,15307,18117,1.18,14,2624,12,60,0,64.9,7972,494
Array,2530,1000,15304,18166,1.19,32,2631,12,86,0,93.7,10117,627
Array,2536,1000,14953,18208,1.22,8,2637,12,55,0,90.3,8927,553
Array,2540,1000,14966,18236,1.22,13,2641,11,69,0,87.2,9248,573
Array,2548,1000,14865,18292,1.23,3,2649,11,71,0,84.4,7960,493
Array,2555,1000,15448,18341,1.19,13,2656,12,81,0,76.6,8688,538
Array,2561,1000,15276,18383,1.20,9,2662,12,70,0,87.1,8892,551
Array,2567,1000,15249,18425,1.21,13,2668,11,58,0,74.0,8242,511
Array,2573,1000,15483,18467,1.19,18,2674,12,59,0,58.4,7411,459
Array,2577,1000,15238,18495,1.21,15,2678,12,53,0,75.5,8498,527
Array,2584,1000,15518,18544,1.19,2,2685,11,58,0,58.0,7860,487
Array,2588,1000,15229,18572,1.22,4,2689,12,61,0,76.2,8289,514
Array,2595,1000,15598,18621,1.19,9,2696,11,72,0,60.0,7471,463
Array,2603,1000,15925,18677,1.17,10,2704,12,57,0,65.5,9029,560
Array,2606,1000,15421,18698,1.21,11,2707,12,67,0,89.1,9148,567
Array,2613,1000,5660,18747,3.31,28,2714,12,109,0,94.3,9428,584
Array,2622,1000,16069,18810,1.17,22,2723,11,60,0,67.1,8565,531
Array,2626,1000,15896,18838,1.19,12,2727,12,63,0,61.8,8141,505
Array,2634,1000,15407,18894,1.23,9,2735,12,50,0,80.1,8144,505
Array,2639,1000,15394,18929,1.23,7,2740,12,67,0,85.0,8875,550
Array,2644,1000,2012,18964,9.43,8,2745,11,83,0,97.4,8364,518
Array,2648,1000,15431,18992,1.23,2,2749,11,60,0,83.8,8011,497
Array,2654,1000,15879,19034,1.20,4,2755,10,67,0,60.3,8051,499
Array,2660,1000,16062,19076,1.19,2,2761,11,56,0,52.6,7689,477
Array,2666,1000,15773,19118,1.21,11,2767,12,55,0,82.6,8194,508
Array,2674,1000,16000,19174,1.20,8,2775,12,60,0,70.5,8592,533
Array,2678,1000,15871,19202,1.21,9,2779,13,65,0,82.9,9341,579
Array,2684,1000,16705,19244,1.15,22,2785,12,3,0,65.5,9823,609
Array,2692,1000,16315,19300,1.18,11,2793,12,109,0,66.2,8323,516
Array,2697,1000,16064,19335,1.20,13,2798,12,178,0,72.0,8484,526
Array,2705,1000,16368,19391,1.18,25,2806,12,180,0,71.2,8969,556
Array,2712,1000,16204,19440,1.20,7,2813,11,179,0,69.3,8342,517
Array,2716,1000,17009,19468,1.14,31,2817,11,169,0,60.5,8785,544
Array,2724,1000,16556,19524,1.18,21,2825,12,67,0,62.3,8577,532
Array,2728,1000,16452,19552,1.19,16,2829,12,82,0,66.3,8909,552
Array,2733,1000,16642,19587,1.18,32,2834,12,181,0,72.0,9250,573
Array,2740,1000,16827,19636,1.17,17,2841,12,179,0,67.3,8851,549
Array,2746,1000,16875,19678,1.17,37,2847,13,123,0,71.7,9929,615
Array,2752,1000,16510,19720,1.19,17,2853,12,180,0,70.5,9224,572
Array,2757,1000,16478,19755,1.20,6,2858,11,73,0,64.1,8561,531
Array,2762,1000,16089,19790,1.23,8,2863,12,72,0,76.0,8201,508
Array,2770,1000,16644,19846,1.19,14,2871,11,71,0,57.7,8563,531
Array,2776,1000,16445,19888,1.21,9,2877,12,86,0,79.9,10057,623
Array,2784,1000,16665,19944,1.20,14,2885,12,173,0,74.0,9220,571
Array,2786,1000,17053,19958,1.17,36,2887,12,160,0,74.3,9853,611
Array,2793,1000,16890,20007,1.18,12,2894,12,74,0,74.6,9874,612
Array,2798,1000,16450,20042,1.22,11,2899,12,74,0,65.9,8404,521
Array,2807,1000,17043,20105,1.18,8,2908,11,71,0,62.4,9383,582
Array,2812,1000,16901,20140,1.19,11,2913,11,59,0,57.8,8501,527
Array,2820,1000,17215,20196,1.17,9,2921,12,68,0,60.1,8945,554
Array,2822,1000,17023,20210,1.19,16,2923,12,84,0,76.3,10165,630
Array,2831,1000,16879,20273,1.20,13,2932,11,105,0,68.1,9556,592
Array,2835,1000,16587,20301,1.22,32,2936,11,167,0,90.4,10175,631
Array,2842,1000,17115,20350,1.19,28,2943,11,186,0,67.7,9545,592
Array,2850,1000,17249,20406,1.18,27,2951,11,185,0,56.8,8409,521
Array,2853,1000,17074,20427,1.20,17,2954,12,149,0,68.0,9242,573
Array,2859,1000,17166,20469,1.19,22,2960,12,82,0,65.0,9545,592
Array,2866,1000,16800,20518,1.22,6,2967,11,115,0,77.2,9002,558
Array,2871,1000,16813,20553,1.22,4,2972,12,75,0,71.2,7884,489
Array,2876,1000,16612,20588,1.24,19,2977,12,82,0,87.8,9547,592
