data_structure,N,runs,cycles,instructions,ipc,cache_misses,branches,branch_misses,L1_misses,TLB_misses
Array,1099,295,1610314,2271939,1.41,180,324891,332,88,0
Array,2372,284,1113781,3295823,2.96,2,674313,323,305,0
Array,5042,309,3748909,6874573,1.83,440,1174696,289,9589,2
Array,7934,273,5411933,10725487,1.98,630,1677182,252,14885,0
Array,9267,324,9243206,15519646,1.68,389,2224591,275,129273,1
Array,27393,314,24578217,41350658,1.68,5081,6488866,283,386844,3
Array,52774,301,48184899,80818102,1.68,5569,11633713,278,703374,4
Array,81654,278,67975297,110839137,1.63,7585,16289790,236,1036225,2
Array,109687,290,96923978,157344118,1.62,1329,22330025,229,1463411,1
Array,225199,294,206373678,332865355,1.61,107647,47287990,260,2950882,327
Array,469640,310,452027727,722701252,1.60,3110032,104258131,611,6559103,16934
Array,675935,285,598444053,960159761,1.60,1295054,137345362,589,8653335,1022
Array,915892,311,909293301,1417345443,1.56,16225412,203957792,437,12780363,18742
Array,2272365,32,237066005,363715355,1.53,4849483,51360222,94,3289237,40065
Array,4505981,32,463562260,715319999,1.54,10037857,103010376,515,6513740,80691
Array,6750560,25,546276938,840558938,1.54,11694352,121115678,99,7568033,93535
Array,10000000,3,96295980,148193995,1.54,2147087,21782676,188,1358936,16091
LinkedList,1099,286,1948818,2202635,1.13,34,314981,318,0,0
LinkedList,2372,325,6458314,3859532,0.60,187,554157,274,452890,2
LinkedList,5042,315,19015099,7888413,0.41,10492,1059667,253,1199989,3
LinkedList,7934,324,34450721,12623007,0.37,14286,1791829,265,2155637,5
LinkedList,9267,299,38063099,13430150,0.35,10927,2057466,313,2250457,5
LinkedList,27393,307,196203589,41671273,0.21,6422,5992699,253,6799104,13
LinkedList,52774,271,381844330,71346673,0.19,136469,10106516,364,11029526,361
LinkedList,81654,301,909707964,122695243,0.13,5369876,17507448,355,18363175,17736
LinkedList,109687,299,1694093973,163851276,0.10,19072446,23338341,600,24207970,80143
