data_structure,N,runs,median_cycles,median_instructions,ipc,median_cache_misses,median_branches,median_branch_misses,median_l1_misses,median_tlb_misses,cv_pct,stddev_cycles,ci95_cycles
Array,1001,1000,7017,7463,1.06,8,1102,10,43,0,65.7,3527,219
Array,1007,1000,7021,7505,1.07,3,1108,12,26,0,57.9,3623,225
Array,1013,1000,6952,7547,1.09,5,1114,11,14,0,59.6,3292,204
Array,1016,1000,6807,7568,1.11,5,1117,12,18,0,64.6,3422,212
Array,1025,1000,6615,7631,1.15,1,1126,11,17,0,77.5,3642,226
Array,1032,1000,2410,7680,3.19,5,1133,12,20,0,79.4,3609,224
Array,1036,1000,6735,7708,1.14,2,1137,12,21,0,68.4,3524,218
Array,1040,1000,7013,7736,1.10,4,1141,11,21,0,72.6,3846,238
Array,1048,1000,7208,7792,1.08,2,1149,11,20,0,51.5,3431,213
Array,1052,1000,7014,7820,1.11,4,1153,11,17,0,60.2,3771,234
Array,1061,1000,6998,7883,1.13,2,1162,12,18,0,58.8,3695,229
Array,1066,1000,7120,7918,1.11,6,1167,11,20,0,47.4,3002,186
Array,1070,1000,7157,7946,1.11,4,1171,11,20,0,65.1,3812,236
Array,1080,1000,7063,8016,1.13,4,1181,11,20,0,58.6,3690,229
Array,1082,1000,7353,8030,1.09,3,1183,11,20,0,56.6,3630,225
Array,1090,1000,7062,8086,1.15,2,1191,11,22,0,61.5,3724,231
Array,1096,1000,1339,8128,6.07,1,1197,11,21,0,90.2,3983,247
Array,1104,1000,7105,8184,1.15,1,1205,11,19,0,76.6,4085,253
Array,1108,1000,7167,8212,1.15,2,1209,11,21,0,64.7,3711,230
Array,1112,1000,7366,8240,1.12,3,1213,11,20,0,71.3,3831,237
Array,1119,1000,7371,8289,1.12,4,1220,12,18,0,77.8,4293,266
Array,1126,1000,7242,8338,1.15,4,1227,11,27,0,65.2,4180,259
Array,1131,1000,7605,8373,1.10,3,1232,11,30,0,57.1,3470,215
Array,1140,1000,7317,8436,1.15,5,1241,11,17,0,64.7,4071,252
Array,1143,1000,7469,8457,1.13,4,1244,11,19,0,61.7,3588,222
Array,1151,1000,7698,8513,1.11,2,1252,12,20,0,71.7,4301,267
Array,1158,1000,7450,8562,1.15,1,1259,10,6,0,52.6,3351,208
Array,1160,1000,8188,8576,1.05,6,1261,12,18,0,50.1,3576,222
Array,1169,1000,7432,8639,1.16,2,1270,12,18,0,71.0,3954,245
Array,1174,1000,7889,8674,1.10,5,1275,11,31,0,67.6,4116,255
Array,1180,1000,8117,8716,1.07,12,1281,12,79,0,58.6,4553,282
Array,1185,1000,7554,8751,1.16,5,1286,12,74,0,71.2,4040,250
Array,1192,1000,7607,8800,1.16,4,1293,12,84,0,77.9,4333,269
Array,1198,1000,7952,8842,1.11,12,1299,12,54,0,74.1,4468,277
Array,1202,1000,7640,8870,1.16,6,1303,11,18,0,77.6,4857,301
Array,1211,1000,7780,8933,1.15,8,1312,12,24,0,73.1,4367,271
Array,1214,1000,7784,8954,1.15,6,1315,12,22,0,72.5,4631,287
Array,1222,1000,8128,9010,1.11,7,1323,11,22,0,55.8,4055,251
Array,1228,1000,7878,9052,1.15,4,1329,11,23,0,61.8,4065,252
Array,1234,1000,8152,9094,1.12,4,1335,12,23,0,55.8,3954,245
Array,1240,1000,8003,9136,1.14,4,1341,12,17,0,74.7,4212,261
Array,1246,1000,8244,9178,1.11,4,1347,12,15,0,54.2,3985,247
Array,1252,1000,8203,9220,1.12,4,1353,12,20,0,64.4,4589,284
Array,1260,1000,7955,9276,1.17,1,1361,11,20,0,63.0,4146,257
Array,1265,1000,7929,9311,1.17,1,1366,12,24,0,74.3,4021,249
