data_structure,N,runs,cycles,instructions,ipc,cache_misses,branches,branch_misses,L1_misses,TLB_misses
Array,956,288,2800833,3454261,1.23,9604,422088,14943,16150,313
Array,2392,315,5532480,6589426,1.19,20976,1049744,15833,14680,262
Array,5067,290,9962068,12368433,1.24,23594,1878725,22456,24567,271
Array,7338,294,14109203,18002230,1.28,19774,2631203,26625,85552,460
Array,10508,308,20829122,26343350,1.26,22921,3937232,30194,221967,268
Array,25811,272,45281735,58222248,1.29,56175,9166345,84947,488361,389
Array,48156,295,88702635,118222881,1.33,36260,18610517,110863,988385,765
Array,78861,296,147717488,197201245,1.33,66805,30739703,243633,1656292,1370
Array,105530,304,201666650,265734633,1.32,157398,42016529,334719,2241086,1320
Array,236589,271,412956215,544654591,1.32,1187796,87338765,827699,4565764,3121
Array,463442,291,886336942,1139646847,1.29,12107034,184033556,2016013,9698645,78915
Array,704122,319,1544752790,1883693660,1.22,20221063,302391118,2940967,16498215,138026
Array,905948,274,1769953415,2139894262,1.21,25681358,348880734,4405361,18871006,136999
Array,2268162,29,1162111800,1471223126,1.27,11231249,327782633,12189603,10333007,90690
Array,4528923,34,2518899407,3235499296,1.28,25327264,704204637,26914720,23226162,213081
Array,6767752,29,3665536541,4618438836,1.26,35134761,1029304920,33295870,33599927,305446
Array,10000000,2,3878146636,5041350832,1.30,25352393,1276061022,58306939,31444921,162245
LinkedList,956,273,3181101,2579564,0.81,29430,440612,8248,121388,196
LinkedList,2392,271,5505897,5701707,1.04,19953,1019663,10041,350411,338
LinkedList,5067,293,10706110,12612285,1.18,30566,2052267,10825,764935,375
LinkedList,7338,298,15293621,18091570,1.18,14611,2533310,11196,1067857,527
LinkedList,10508,281,26039343,25729001,0.99,25082,3793357,13870,1495862,1024
LinkedList,25811,307,59618149,64897828,1.09,67567,9768652,13816,3982687,896
LinkedList,48156,317,117822251,124461647,1.06,400173,19216160,17008,7765767,4208
LinkedList,78861,292,177407512,187081906,1.05,2113976,28652821,20113,11587660,5198
LinkedList,105530,280,235617070,243368669,1.03,4933641,37746495,22371,15006812,10449
LinkedList,236589,316,651647258,606356208,0.93,37842946,92154129,40464,38005808,552032
LinkedList,463442,324,1324742033,1216547701,0.92,90692163,184823678,67244,76180376,1190366
LinkedList,704122,296,1859750795,1706819231,0.92,130339400,260052615,88298,105829701,1653828
LinkedList,905948,279,2281014821,2084635913,0.91,157971721,320747151,111555,128493258,2009457
LinkedList,2268162,31,924901006,1240026903,1.34,47935595,230113832,106793,38357925,600629
LinkedList,4528923,27,1746412827,2341286750,1.34,84030667,441864582,200677,67120304,1065697
LinkedList,6767752,27,2991920413,3506803821,1.17,127716562,660983118,380038,102887552,1598706
LinkedList,10000000,3,1868855791,3483511782,1.86,34590788,737377552,406507,29198571,429013
AoS,956,315,2732397,2935499,1.07,17757,415798,9769,25744,336
AoS,2392,328,5912084,7327934,1.24,9043,952903,10469,275112,363
AoS,5067,325,11195132,13283316,1.19,27142,1833911,13304,619225,471
AoS,7338,295,13573970,16460294,1.21,43194,2402077,11176,812233,599
AoS,10508,315,20042260,24989292,1.25,25574,3559651,12808,1240880,712
AoS,25811,304,45961319,57172949,1.24,103241,8280341,12566,2993995,549
AoS,48156,274,76790484,95926405,1.25,280719,13751699,16197,4949981,1269
AoS,78861,278,129093618,159155803,1.23,1471558,22765840,18397,8248049,9423
AoS,105530,313,192130722,238974046,1.24,3019853,34030726,18016,12431413,3651
AoS,236589,326,469900947,556981012,1.19,23481461,79849279,31039,29227265,123345
AoS,463442,290,893223006,971372265,1.09,58801216,139537422,56248,51161280,791248
AoS,704122,275,1248217272,1397301331,1.12,82566775,200543479,77034,73637750,1150462
AoS,905948,321,1837236277,2092679855,1.14,124138060,300313664,97947,110404369,1728100
AoS,2268162,33,534599801,615844446,1.15,33497261,89140503,56060,29356265,458308
AoS,4528923,27,909084833,1038589967,1.14,54611632,150605365,98639,48484454,758775
AoS,6767752,25,1245935658,1450945018,1.16,75663047,211811986,121228,67173429,1055545
AoS,10000000,3,553695630,590831785,1.07,18320448,90637567,127700,17393540,262372
SoA,956,326,2836823,3437429,1.21,14407,439764,12006,16695,355
SoA,2392,317,5272375,6784489,1.29,3215,923030,9924,22670,385
SoA,5067,288,8995500,11336712,1.26,22644,1647493,10769,23833,267
SoA,7338,284,12627167,15822312,1.25,30272,2288864,10819,42196,322
SoA,10508,312,19507564,24531566,1.26,26533,3511001,13145,235489,586
SoA,25811,306,45216104,57335057,1.27,58657,8198779,15596,549883,714
SoA,48156,278,76516533,97142535,1.27,75395,13947013,17560,914819,1237
SoA,78861,279,124713387,158984934,1.27,224097,22829459,17107,1502650,1534
SoA,105530,326,193662528,246947673,1.28,304265,35439797,23502,2303015,4907
SoA,236589,283,377313745,481506070,1.28,1749780,69284236,31557,4474141,10787
SoA,463442,274,723545618,914190400,1.26,9842060,131177059,50893,8504983,17644
SoA,704122,327,1301882783,1651014700,1.27,19880259,236839071,70813,15288726,56770
SoA,905948,324,1664574993,2105786335,1.27,27458952,302076967,88314,19535670,93678
SoA,2268162,26,397161691,493132599,1.24,7150303,72928704,47919,5276393,75062
SoA,4528923,32,962606777,1177816111,1.22,17334686,173473131,102593,12387086,186112
SoA,6767752,33,1451540464,1808817007,1.25,26530775,266168022,129315,18608160,282396
SoA,10000000,3,529181262,555820716,1.05,9338478,90353451,130012,9501022,118808
BST,956,316,3057568,2900414,0.95,27244,353295,9519,13400,309
BST,2392,299,4967697,6336425,1.28,6730,866467,10694,22160,438
BST,5067,283,8753273,11102183,1.27,22170,1581508,11080,22574,301
BST,7338,313,14282557,17347813,1.21,42341,2466147,11452,65934,592
BST,10508,292,18559326,23340908,1.26,24040,3212780,11536,206515,352
BST,25811,307,44829504,57221825,1.28,38893,8186196,13321,526226,487
BST,48156,298,80621371,102434154,1.27,126329,14688984,14893,943245,574
BST,78861,280,123139996,157482334,1.28,92063,22596299,16237,1442467,1283
BST,105530,300,175763094,225129512,1.28,240132,32221330,20175,2061272,1019
BST,236589,298,390730713,499662942,1.28,1502538,71504754,27162,4585750,3052
BST,463442,285,739525312,936362402,1.27,9595879,134050438,46187,8603323,23878
BST,704122,280,1103271265,1399321560,1.27,16686091,200240338,54938,12780074,30392
BST,905948,301,1527343608,1931954557,1.26,26059586,276799709,73906,17721012,77583
BST,2268162,26,346389031,432215976,1.25,6272915,62356294,30959,4013256,59227
BST,4528923,29,761358234,953601567,1.25,13732054,137501568,52721,8915470,141062
BST,6767752,29,1134933475,1428683228,1.26,20560610,205998788,72548,13268745,207075
