data_structure,N,runs,median_cycles,median_instructions,ipc,median_cache_misses,median_branches,median_branch_misses,median_l1_misses,median_tlb_misses,cv_pct,stddev_cycles,ci95_cycles
Heap,10000000,3,548374215,674433824,1.23,6486219,113499938,2637839,4858958,66491,0.0,0.0,0.0
HashMap,937,327,4362764,3788436,0.87,32969,1510047,13651,42810,<notcounted>,0.0,0.0,0.0
HashMap,2415,323,18012191,20002564,1.11,70760,5854145,64983,508744,386,0.0,0.0,0.0
HashMap,4644,273,33597887,30054484,0.89,73569,9891577,142178,929054,615,0.0,0.0,0.0
HashMap,8154,310,22482177,44647729,1.99,59206,10611824,77069,981888,458,0.0,0.0,0.0
HashMap,10712,299,33825208,72446265,2.14,67513,19743274,64766,1882946,299,0.0,0.0,0.0
HashMap,23295,281,96817240,139916048,1.45,232092,37479193,329388,3524606,1360,0.0,0.0,0.0
HashMap,47692,295,186751202,290900417,1.56,1822458,76876915,269648,7590425,3187,0.0,0.0,0.0
HashMap,69708,284,458889497,549142612,1.2,17286230,146462720,1438419,14589436,57575,0.0,0.0,0.0
HashMap,90208,301,404957497,599592941,1.48,11666692,161153114,1693925,14957657,46238,0.0,0.0,0.0
HashMap,256547,309,766886046,1347596819,1.76,34506359,324615885,2869939,30507923,295409,0.0,0.0,0.0
HashMap,459618,296,1449903785,2476979274,1.71,79759906,634445195,4916342,59044676,1262210,0.0,0.0,0.0
HashMap,684579,325,3473339665,4981507666,1.43,180900749,1429594758,8830833,130874037,2514075,0.0,0.0,0.0
HashMap,913723,328,2863169032,5404167238,1.89,179784829,1389512487,10664813,131939095,2615493,0.0,0.0,0.0
HashMap,2263049,33,1380476341,2193252197,1.59,80558621,595615067,3444343,59552637,2599566,0.0,0.0,0.0
HashMap,4500140,27,2566660569,3671552091,1.43,136131144,994331168,2872357,99570991,4943787,0.0,0.0,0.0
HashMap,6773526,25,2862857307,3696599348,1.29,143744764,930837358,11570605,99242450,6335661,0.0,0.0,0.0
HashMap,10000000,2,1603941808,1403396424,0.87,61034033,305758092,1570054,45747703,8146806,0.0,0.0,0.0
RBTree,937,309,3527889,3294475,0.93,27993,852075,10771,162956,<notcounted>,0.0,0.0,0.0
RBTree,2415,323,8836472,9465543,1.07,51127,2063049,21185,1594523,149,0.0,0.0,0.0
RBTree,4644,321,17447452,19007458,1.09,41907,3806243,40615,2977037,147,0.0,0.0,0.0
RBTree,8154,309,52820260,30835636,0.58,78276,6617621,78117,4350976,844,0.0,0.0,0.0
RBTree,10712,302,78448155,39454876,0.5,146841,8750090,103948,5372340,1649,0.0,0.0,0.0
RBTree,23295,303,160163153,93316031,0.58,203880,19155715,214145,11623149,3747,0.0,0.0,0.0
RBTree,47692,293,434646949,190884948,0.44,1133403,38939164,554594,23051604,16463,0.0,0.0,0.0
RBTree,69708,314,733976808,308577498,0.42,6023888,61181478,820620,35876650,32263,0.0,0.0,0.0
RBTree,90208,275,1267137469,381849368,0.3,36685226,74173690,1177598,42814798,177184,0.0,0.0,0.0
RBTree,256547,304,6764734570,1397762193,0.21,365806223,242233504,3671078,194782848,55384097,0.0,0.0,0.0
RBTree,459618,290,16114707226,2229797568,0.14,757159713,415186459,7676067,391770527,133938585,0.0,0.0,0.0
RBTree,684579,323,18701127611,3425646655,0.18,1188200695,644350187,10558564,651132219,223798264,0.0,0.0,0.0
RBTree,913723,308,28333876734,4377173971,0.15,1592501199,838801920,16220437,836947893,285300938,0.0,0.0,0.0
RBTree,2263049,33,8929568452,2523603507,0.28,458763803,580851799,31564816,251099573,77927468,0.0,0.0,0.0
RBTree,4500140,25,14125139411,4669060743,0.33,720558078,1085678855,65987471,399737592,118509186,0.0,0.0,0.0
RBTree,6773526,32,24901264690,7793220524,0.31,1369992056,1776139588,103281056,753377850,225328703,0.0,0.0,0.0
RBTree,10000000,4,14839723466,7969200600,0.54,425672934,1998358723,159364256,274460507,51197274,0.0,0.0,0.0
BTree,937,306,2742313,3296208,1.2,37645,537106,7210,4009,<notcounted>,0.0,0.0,0.0
BTree,2415,322,5564697,5669764,1.02,36731,1161736,7610,371976,262,0.0,0.0,0.0
BTree,4644,314,10769609,11989381,1.11,57517,2251049,9276,697029,278,0.0,0.0,0.0
BTree,8154,270,15175943,18257827,1.2,54050,3209639,10744,907098,165,0.0,0.0,0.0
BTree,10712,293,22434829,27844049,1.24,96678,4368265,12850,1261872,588,0.0,0.0,0.0
BTree,23295,280,42828093,56930945,1.33,96933,8364319,14981,2740735,404,0.0,0.0,0.0
BTree,47692,279,87404361,125554987,1.44,769350,17017362,20166,5379848,3865,0.0,0.0,0.0
BTree,69708,305,139941678,180445070,1.29,1802608,29428800,20236,8720340,3374,0.0,0.0,0.0
BTree,90208,295,173462651,245558699,1.42,1697683,34210329,28305,10618062,7100,0.0,0.0,0.0
BTree,256547,301,554101815,647700643,1.17,31583289,106381659,40925,31059092,399969,0.0,0.0,0.0
BTree,459618,314,1061778135,1224798583,1.15,67665753,187358413,91490,60273804,963599,0.0,0.0,0.0
BTree,684579,320,1641002859,1848882996,1.13,109375522,292921982,125260,89748772,1405369,0.0,0.0,0.0
BTree,913723,329,2267081619,2598557552,1.15,155677239,399519042,188867,120429952,1963080,0.0,0.0,0.0
BTree,2263049,32,644824641,725756384,1.13,39207902,121036133,80292,30737275,484135,0.0,0.0,0.0
BTree,4500140,32,1240379550,1414202534,1.14,74846051,237402724,120678,62596919,970585,0.0,0.0,0.0
BTree,6773526,34,1980999725,2241707760,1.13,118240242,362532830,217638,101897389,1624177,0.0,0.0,0.0
BTree,10000000,3,599368214,827821950,1.38,21086987,143897362,124444,17735984,285266,0.0,0.0,0.0
CircularBuffer,937,277,5728602,6235218,1.09,26504,688053,7612,5160,103,0.0,0.0,0.0
CircularBuffer,2415,296,14933603,16549021,1.11,56133,1635871,10081,16449,202,0.0,0.0,0.0
CircularBuffer,4644,329,31859075,34468485,1.08,59366,3358972,13212,86230,560,0.0,0.0,0.0
CircularBuffer,8154,301,47730880,56085969,1.18,63722,5145421,11426,90750,552,0.0,0.0,0.0
CircularBuffer,10712,282,65873611,71216953,1.08,120354,6683861,16498,406611,2296,0.0,0.0,0.0
CircularBuffer,23295,277,155074411,139811742,0.9,100861,14225617,17681,876305,1406,0.0,0.0,0.0
CircularBuffer,47692,315,310784209,330286615,1.06,264306,33060297,28491,1952799,5304,0.0,0.0,0.0
CircularBuffer,69708,318,468735764,484776209,1.03,504385,48675674,35342,2908456,7368,0.0,0.0,0.0
CircularBuffer,90208,275,542959234,581478000,1.07,260149,51714104,49510,3214827,4139,0.0,0.0,0.0
CircularBuffer,256547,328,1808946522,1848876066,1.02,5700480,169903828,146506,11466759,10145,0.0,0.0,0.0
CircularBuffer,459618,298,2986103656,3049348885,1.02,16110929,285970783,201849,18373866,60250,0.0,0.0,0.0
CircularBuffer,684579,291,4100428033,4318539418,1.05,27659093,416959133,234339,27073456,88142,0.0,0.0,0.0
CircularBuffer,913723,324,6213313174,6584987565,1.06,51088158,619835257,392528,39150434,182663,0.0,0.0,0.0
CircularBuffer,2263049,27,1339839802,1410575681,1.05,13506105,139074642,90853,8579009,127672,0.0,0.0,0.0
CircularBuffer,4500140,27,2626478046,2963513579,1.13,27226608,264098307,214758,16615273,274982,0.0,0.0,0.0
CircularBuffer,6773526,29,4386486532,4564242460,1.04,42595319,433410099,306815,27507400,441068,0.0,0.0,0.0
CircularBuffer,10000000,4,1223291911,1223068649,1.0,11386453,123755581,121344,7674474,121374,0.0,0.0,0.0
SkipList,937,292,7033495,4275309,0.61,64788,645195,15140,324596,88,0.0,0.0,0.0
SkipList,2415,289,28128714,8452671,0.3,87573,1522689,33662,870623,294,0.0,0.0,0.0
SkipList,4644,296,73245903,13444937,0.18,142040,2857290,56741,1713519,417,0.0,0.0,0.0
SkipList,8154,280,129500337,21248239,0.16,403114,4636166,98052,2730665,806,0.0,0.0,0.0
SkipList,10712,318,195859716,32743997,0.17,723205,5739972,94271,3876906,1138,0.0,0.0,0.0
SkipList,23295,295,1120236321,73820140,0.07,19823894,12988948,272914,9016623,348871,0.0,0.0,0.0
SkipList,47692,287,2707090267,179269729,0.07,55719516,31409102,647987,26779333,5282387,0.0,0.0,0.0
SkipList,69708,303,4454579719,250858696,0.06,114589911,46748528,1010583,57934314,18351207,0.0,0.0,0.0
SkipList,90208,299,5857142470,324895350,0.06,173659981,59718185,1354330,84699343,26780730,0.0,0.0,0.0
SkipList,256547,324,17858894743,927762026,0.05,520621977,164357439,3612831,270430030,84726071,0.0,0.0,0.0
SkipList,459618,312,32886809981,1657046462,0.05,917575896,296500323,6604779,474001338,147636246,0.0,0.0,0.0
SkipList,684579,277,49209396129,2459892067,0.05,1319796413,445379973,10984512,640880478,195387519,0.0,0.0,0.0
SkipList,913723,324,75548354534,3736577978,0.05,2049617458,684790828,15158311,992757034,307602731,0.0,0.0,0.0
SkipList,2263049,30,28218581153,2522999834,0.09,821670556,637291397,29210397,483218472,99888887,0.0,0.0,0.0
SkipList,4500140,33,74999113532,6074582852,0.08,2156024115,1548924880,60533255,1261944773,241947165,0.0,0.0,0.0
SkipList,6773526,29,133566806923,9955164353,0.07,3590535084,2628820988,94386336,2193082434,371518391,0.0,0.0,0.0
SkipList,10000000,3,139728873810,13865701020,0.1,3341925079,4052948236,138122013,3035655665,332850231,0.0,0.0,0.0
SlabList,937,276,2299800,2664258,1.16,14598,423152,6500,5014,<notcounted>,0.0,0.0,0.0
SlabList,2415,325,5268989,6133603,1.16,17064,958339,8001,2228,611,0.0,0.0,0.0
SlabList,4644,297,8686445,10008117,1.15,55265,1576998,8328,24010,172,0.0,0.0,0.0
SlabList,8154,299,14331803,17934454,1.25,34612,2630722,11515,37012,11,0.0,0.0,0.0
SlabList,10712,319,20083499,24932525,1.24,44230,3646236,12493,232033,358,0.0,0.0,0.0
SlabList,23295,274,36310977,45964037,1.27,58348,6704549,16598,427672,309,0.0,0.0,0.0
SlabList,47692,328,88414580,111344634,1.26,105261,16035850,27854,1030460,478,0.0,0.0,0.0
SlabList,69708,282,110513998,140851086,1.27,210114,20225650,35467,1292705,1480,0.0,0.0,0.0
SlabList,90208,272,137781789,175082394,1.27,183920,25198849,42361,1618761,2941,0.0,0.0,0.0
SlabList,256547,322,460771827,586095692,1.27,2226517,84280928,109521,5400656,10807,0.0,0.0,0.0
SlabList,459618,320,879677650,1099995498,1.25,5943950,149531709,210232,9440112,28545,0.0,0.0,0.0
SlabList,684579,327,1299367395,1571971034,1.21,14694711,226382598,304313,14862456,45879,0.0,0.0,0.0
SlabList,913723,321,1637537878,2077259377,1.27,15490019,298447213,344421,18940302,55380,0.0,0.0,0.0
SlabList,2263049,28,370783763,478905992,1.29,6579653,70698132,88542,4301595,68254,0.0,0.0,0.0
SlabList,4500140,34,889168623,1143425869,1.29,15676379,166994330,194124,10229276,159078,0.0,0.0,0.0
SlabList,6773526,28,1107982169,1432851006,1.29,19709791,210132089,241843,12816544,198908,0.0,0.0,0.0
SlabList,10000000,4,285715780,427660028,1.5,4881870,68789324,84977,3427810,50085,0.0,0.0,0.0
Trie,937,322,207910107,269037616,1.29,177427,72735313,3784912,5007456,359,0.0,0.0,0.0
Trie,2415,273,561513118,571186767,1.02,5758456,156137232,7949195,11003988,28431,0.0,0.0,0.0
Trie,4644,271,1008816025,1073350993,1.06,10431176,300669965,14891562,20205449,34178,0.0,0.0,0.0
Trie,8154,312,2204696827,2016179217,0.91,43935502,546185648,28538774,41181969,399534,0.0,0.0,0.0
Trie,10712,297,2908196696,2504432331,0.86,65835757,657566184,34236217,51620834,993164,0.0,0.0,0.0
Trie,23295,282,5923709700,5160647518,0.87,208595778,1358745797,64253678,98880302,4543468,0.0,0.0,0.0
Trie,47692,290,12004089474,10689796393,0.89,504494724,2794599152,128039577,208169314,16368537,0.0,0.0,0.0
Trie,69708,293,19760358353,15691162707,0.79,870956297,4053685054,182919849,308582817,24907433,0.0,0.0,0.0
Trie,90208,313,24522938786,20739114527,0.85,1204268650,5403947776,253022014,410945096,33394312,0.0,0.0,0.0
Trie,256547,306,71641619960,53879077824,0.75,3599263318,13788556423,621315152,1088081239,91614784,0.0,0.0,0.0
Trie,459618,287,112915495662,88568807510,0.78,6017974895,22619865081,1003839799,1797955144,152949798,0.0,0.0,0.0
Trie,684579,296,185551616896,135454331677,0.73,9431407306,34454853747,1527631232,2770547330,235592069,0.0,0.0,0.0
Trie,913723,304,261797093356,185442824005,0.71,13078692457,47043933973,2051520164,3813320822,324876203,0.0,0.0,0.0
Trie,2263049,33,61690098875,39113203895,0.63,3215433922,10446356218,486066851,951496474,86727228,0.0,0.0,0.0
Trie,4500140,33,97717142584,65218339013,0.67,6059770513,18261627531,810332512,1779540701,169455397,0.0,0.0,0.0
Trie,6773526,33,141390959963,92373669964,0.65,8966852519,26318828401,1135436620,2626738460,254137053,0.0,0.0,0.0
Trie,10000000,3,29113296715,23070569736,0.79,1421859668,5614973617,150621561,479927137,39325603,0.0,0.0,0.0
vEBTree,937,294,11746332,19085312,1.62,80104,3343097,36041,557525,447,0.0,0.0,0.0
vEBTree,2415,271,49482444,73898391,1.49,480937,14557559,139981,2690255,2382,0.0,0.0,0.0
vEBTree,4644,315,154303998,191604381,1.24,6317339,37200032,345646,7323987,26264,0.0,0.0,0.0
vEBTree,8154,289,160557393,208542555,1.3,4087760,37441869,394291,7329040,15433,0.0,0.0,0.0
vEBTree,10712,323,451590314,455247442,1.01,31629991,75483509,1056955,17910626,181609,0.0,0.0,0.0
vEBTree,23295,297,893237931,905713543,1.01,68226378,148508411,1525833,34260346,803605,0.0,0.0,0.0
