data_structure,N,runs,cycles,instructions,ipc,cache_misses,branches,branch_misses,L1_misses,TLB_misses
Array,1023,299,1661960,2143670,1.29,93,306570,344,0,0
Array,2279,286,1882662,4564999,2.42,14,652462,323,1877,0
Array,4834,319,545616,5349707,9.80,0,1542782,357,867,0
Array,7500,324,3351577,9214281,2.75,26,2430746,402,111079,5
Array,10958,271,6363998,12363771,1.94,1385,2194169,279,160968,0
Array,26556,319,25897071,42095105,1.63,9569,6010649,317,385215,20
Array,54854,312,51998197,84708921,1.63,13166,12041430,292,789983,48
Array,81614,320,77203780,127070434,1.65,188182,19207341,344,1181151,107
Array,96951,318,90719414,149711749,1.65,118796,22665904,320,1399495,125
Array,239910,316,238439468,379931209,1.59,2279764,54462793,1194,3386188,3016
Array,481091,308,475807626,740242230,1.56,5311407,105732843,732,6628975,4529
Array,694462,311,684327706,1075350003,1.57,8850625,154280791,909,9698835,10570
Array,925850,289,856753709,1339737169,1.56,12237651,191154567,1061,11954734,55524
Array,2254893,31,220676615,345426769,1.57,4898561,50417431,159,3154435,37066
Array,4507658,31,452674555,699530645,1.55,9811788,99992692,223,6258792,77703
Array,6773260,26,569818166,879473623,1.54,12428941,126295575,168,7890550,97280
Array,10000000,4,125721731,196988487,1.57,2777444,28543643,32,1830895,22228
LinkedList,1023,310,2642396,2222515,0.84,104,317845,367,0,0
LinkedList,2279,290,3403829,2353747,0.69,2,560187,356,640699,3
LinkedList,4834,273,14559188,6578511,0.45,3979,1028158,272,979057,3
LinkedList,7500,270,25418586,9967279,0.39,6584,1492315,265,1639235,0
LinkedList,10958,317,56161892,16850061,0.30,4135,2444294,282,2970047,9
LinkedList,26556,288,178569251,38222394,0.21,34272,5495404,276,6086749,5
LinkedList,54854,284,469544880,77675904,0.17,1129343,11219392,274,11838018,607
LinkedList,81614,313,785844228,129124952,0.16,1424955,18300729,314,18880053,9082
LinkedList,96951,285,1059913506,137948573,0.13,6084669,19766522,455,20473415,23850
LinkedList,239910,303,5936651816,363439539,0.06,118693414,51908876,666,71574675,9263878
LinkedList,481091,322,15950096174,774416610,0.05,468142041,110680721,2102,228798693,55063137
LinkedList,694462,293,23068820685,1016750396,0.04,730796554,145414632,3164,335965726,85793725
LinkedList,925850,320,33772633050,1480879766,0.04,1135066811,211705766,4208,519822878,135640414
LinkedList,2254893,34,10120977828,383213507,0.04,333012220,54778803,1143,151163037,40393683
LinkedList,4507658,26,16042391950,585911687,0.04,532546519,83730119,1699,239971759,64300489
LinkedList,6773260,31,29277848667,1049394303,0.04,974435952,150039685,3375,438414799,116848122
LinkedList,10000000,2,2991076339,99850747,0.03,97214689,14302688,337,42403479,11220755
AoS,1023,322,1841984,2308535,1.25,273,330145,359,0,0
AoS,2279,321,2026546,5123600,2.53,1352,732297,365,85055,0
AoS,4834,283,3929564,7291811,1.86,1219,1051861,256,240017,1
AoS,7500,304,4437107,9132807,2.06,644,1704750,335,509823,10
AoS,10958,287,7667512,13897596,1.81,75,1983386,248,725230,0
AoS,26556,286,20824081,35502532,1.70,1575,5286546,245,1525610,13
AoS,54854,283,51775839,80126185,1.55,235511,10912452,324,2734714,1160
AoS,81614,284,73656396,115243835,1.56,452223,16814414,587,4196317,2062
AoS,96951,290,91103195,140727457,1.54,1251755,20222318,368,4997616,14727
AoS,239910,310,252950291,372703850,1.47,8359545,53285706,327,13223990,12736
AoS,481091,305,552408400,732564987,1.33,28995591,105182871,336,26251915,316510
AoS,694462,320,808136011,1107568534,1.37,51410051,158933135,435,39916346,492202
AoS,925850,286,1026952735,1322753316,1.29,65227091,189942379,1496,47339967,587840
AoS,2254893,25,205556219,279299862,1.36,13912983,40546129,239,10146817,124341
AoS,4507658,33,559551988,741789571,1.33,37097045,106554718,734,26643682,329952
AoS,6773260,31,771990966,1047879306,1.36,52334054,150458690,478,37599219,466861
AoS,10000000,2,69382332,97538622,1.41,5059639,14791088,71,3607751,41714
SoA,1023,312,1092725,2236855,2.05,45,319896,347,58,0
SoA,2279,278,654226,4250442,6.50,432,634216,313,1515,0
SoA,4834,289,2637957,7142260,2.71,354,1397701,352,47967,0
SoA,7500,289,3138126,8200883,2.61,565,2168176,361,95658,4
SoA,10958,311,9466116,16142177,1.71,1127,2257515,355,172389,3
SoA,26556,320,25129383,40498770,1.61,13173,5941164,407,397657,55
SoA,54854,324,50605919,85409340,1.69,3122,13251282,278,808171,1
SoA,81614,292,74457701,119392867,1.60,9486,17018038,250,1055790,0
SoA,96951,276,81281530,133785504,1.65,44837,19453829,237,1192985,7
SoA,239910,274,203071691,327216517,1.61,150676,46742872,231,2959653,70
SoA,481091,327,495828657,781334221,1.58,4986413,112785814,444,7044542,8126
SoA,694462,309,678928522,1070183975,1.58,7415846,153490170,963,9605692,18472
SoA,925850,309,900920494,1426856442,1.58,6951094,204647918,845,12793491,9642
SoA,2254893,26,184170790,288258579,1.57,3982998,42484851,96,2645840,31036
SoA,4507658,31,452748764,698443706,1.54,9615224,100069915,125,6261554,77328
SoA,6773260,34,749091228,1148843600,1.53,16163113,164736514,219,10305217,128258
SoA,10000000,2,60442064,96661746,1.60,1380322,14506339,49,924870,10818
BST,1023,327,1593888,3505883,2.20,217,688103,1655,0,0
BST,2279,287,139812,5751750,41.14,73,1326611,3255,950930,0
BST,4834,313,3244493,8783623,2.71,2297,3051223,10113,2093690,0
BST,7500,307,17686601,15617335,0.88,914,3091754,7474,3316271,4
BST,10958,299,26437084,21612472,0.82,17559,4974073,16807,4205395,179
BST,26556,319,84772884,61783794,0.73,241,12197304,51497,10062019,5
BST,54854,294,333326740,119078764,0.36,3362704,23680297,137061,18559035,6263
BST,81614,290,453297916,180168401,0.40,8847450,35557473,187236,27759968,23473
BST,96951,311,578155360,233820615,0.40,18200132,46503196,232116,35369853,12298
BST,239910,283,3491827084,656608904,0.19,243081432,112145969,664942,112646264,23485991
BST,481091,281,8359886602,1253423207,0.15,540384105,216835274,1480770,275154699,77708349
BST,694462,275,10709640985,1730368422,0.16,745197761,311098359,2449994,392191346,109903758
BST,925850,281,16849200830,2297562182,0.14,1061099053,422590432,4555450,538251331,149892880
BST,2254893,34,5002117153,645885955,0.13,315876573,123993314,828149,159948133,44210424
BST,4507658,27,7128959544,1067407407,0.15,513031688,196124972,1715365,257326254,70097717
BST,6773260,28,12641847000,1706847974,0.14,836257831,303653564,1670543,401621389,109263749
BST,10000000,3,1828407422,269254705,0.15,129333981,47564574,167830,63636682,17274626
Vector,1023,321,615518,2301367,3.74,0,329121,355,41,0
Vector,2279,294,902995,3628613,4.02,509,670711,349,5163,0
Vector,4834,325,1570477,4944810,3.15,931,1299751,379,18553,11
Vector,7500,320,6148095,11040551,1.80,5731,1598858,326,118090,19
Vector,10958,322,11442663,18116548,1.58,3634,2573666,314,147734,15
Vector,26556,328,26638092,43334572,1.63,21687,6148937,350,395592,196
Vector,54854,322,52278579,86265424,1.65,70466,12798967,351,805723,512
Vector,81614,300,75519159,123858613,1.64,179430,17731670,273,1085121,927
Vector,96951,284,83478713,136737149,1.64,176873,19948822,278,1234893,1154
Vector,239910,310,230051048,369797901,1.61,1773945,53239779,379,3341398,8677
Vector,481091,317,477945115,762365219,1.60,6655688,108814777,526,6832658,34399
Vector,694462,278,609659598,964079573,1.58,12151732,137741677,633,8652674,69724
Vector,925850,274,803649962,1266464042,1.58,16714739,181070533,561,11384295,118167
Vector,2254893,29,207338619,325490040,1.57,4613815,46451472,188,2961194,36774
Vector,4507658,30,426109585,673259230,1.58,9642425,97112859,289,6060051,74987
Vector,6773260,31,669970855,1052056572,1.57,14996571,150188586,373,9387394,116917
Vector,10000000,4,126385645,196980226,1.56,2824223,28985897,177,1807412,21991
Deque,1023,327,64930,3687365,56.79,38,670773,370,88,0
Deque,2279,309,257007,4980827,19.38,115,1900138,1546,344,0
Deque,4834,295,1508366,7570716,5.02,453,3022963,2376,12502,7
