data_structure,N,runs,cycles,instructions,ipc,cache_misses,branches,branch_misses,L1_misses,TLB_misses
Trie,1005,297,237716840,257054500,1.08,176864,77580852,3753185,4895186,2805
Trie,2481,272,557683195,624417896,1.12,3116583,154067596,7752061,10831163,7730
Trie,5458,277,1325155914,1329306727,1.00,10773805,347612331,16884827,23020515,59106
Trie,7097,282,1841452156,1640988433,0.89,24032685,447072127,22480513,30863155,185225
Trie,9864,327,3011506920,2621702221,0.87,54267642,685043839,34014009,48779525,663763
Trie,25480,295,7309115610,5866789303,0.80,196271966,1544302984,72659397,112220287,5387379
Trie,45693,322,14674333416,11342559430,0.77,505031690,3001003770,138217585,221573039,17075042
Trie,69637,271,19147896195,14456667331,0.76,764498817,3775386476,170366612,282740767,22440707
Trie,94564,325,32511365795,22619956814,0.70,1375552264,5885465802,277345872,448494586,36302346
Trie,249166,307,83648821775,52680992042,0.63,3563125199,13521976374,616567226,1067915889,89237529
Trie,454467,310,140821663520,95194325512,0.68,6537812200,24226438344,1077738163,1928617963,164252256
Trie,678432,289,196731800579,131304173303,0.67,9229690957,33378302609,1481176745,2685140612,227956484
Trie,923047,321,293418711736,197270834407,0.67,13854057845,50084137031,2179059384,4041440300,344295402
Trie,2258339,28,56976529068,33760130637,0.59,2721311111,8991997272,410991706,807247686,73103279
Trie,4528709,28,101362522394,57077629074,0.56,5177068735,15883198219,694004801,1543056503,146628183
Trie,6774450,26,130817455672,74967843164,0.57,7107411666,21144911324,891470431,2098268788,201554565
Trie,10000000,4,38794398986,26590277103,0.69,1799724471,6664505557,199036248,591853600,50461011
vEBTree,1005,325,11027542,17443522,1.58,67908,3772041,38240,804272,195
vEBTree,2481,320,49650032,88912378,1.79,127605,16810978,170056,3310522,893
vEBTree,5458,317,204504605,207387464,1.01,6006158,39903788,750733,7679303,202243
vEBTree,7097,313,144059535,219719978,1.53,2670771,39524942,511107,7975834,17583
vEBTree,9864,299,504236898,410203751,0.81,27133121,66527136,726498,15450332,202950
vEBTree,25480,321,982932606,1032683363,1.05,67630636,168825545,1463907,38123936,868638
vEBTree,45693,303,1993147515,1816693815,0.91,137115505,296982181,3554205,68967816,1691235
vEBTree,69637,326,3809703465,3069760675,0.81,268045938,513506408,4968052,118071064,3545099
vEBTree,94564,308,3956500473,3777985893,0.95,279842040,614063318,4334151,144152423,3520395
vEBTree,249166,321,9111966412,9126533965,1.00,573662422,1480702475,12668010,315858857,7243459
vEBTree,454467,324,14986422351,16544378917,1.10,1181922513,2728398953,27006403,581113377,14555375
vEBTree,678432,318,28108328368,28895820205,1.03,2302041493,4858534906,44704598,1082129868,28163521
vEBTree,923047,280,28964062936,30135026959,1.04,2045554437,4952612201,53030523,1039705307,25945495
vEBTree,2258339,27,14908045750,15721206219,1.05,858383316,2904184324,21111184,356037480,17012544
vEBTree,4528709,32,34560106805,35341827318,1.02,2000554810,6371679398,67617184,843419044,39240911
vEBTree,6774450,25,32217746636,35449300245,1.10,1699922296,6317711405,50311813,808099546,41024402
vEBTree,10000000,4,38275040734,42238560952,1.10,1051482498,7586625811,28585758,464259782,43883952
Array,1053,321,2972312,3482161,1.17,29189,565264,8600,10243,<notcounted>
Array,2516,299,5425221,6797327,1.25,20335,1080678,10528,2675,<notcounted>
Array,4906,300,9105123,12071049,1.33,25463,2000018,16898,12836,142
Array,7968,325,16662656,21451203,1.29,43471,3548526,23084,34686,240
Array,9021,275,16415481,21363737,1.30,43885,3467602,26109,156551,162
Array,25949,279,47043423,60449610,1.28,74945,9976474,107107,479458,61
Array,46319,298,86720554,113296797,1.31,84573,18846631,183188,932489,405
Array,69772,277,122734342,160274486,1.31,117445,25657575,230398,1319682,1143
Array,98137,329,200187647,263430224,1.32,146183,41235395,277282,2161392,628
Array,225312,314,443263822,581666012,1.31,422771,92758738,532590,4902773,3524
