data_structure,N,runs,median_cycles,median_instructions,ipc,median_cache_misses,median_branches,median_branch_misses,median_l1_misses,median_tlb_misses,cv_pct
Array,1000,1000,6531,7456,1.14,0,1101,12,10,0,51.6
Array,2500,1000,14854,17956,1.21,1,2601,11,27,0,54.5
Array,5000,1000,28511,35456,1.24,2,39,12,154,0,49.5
Array,7500,1000,41957,52956,1.26,2,7601,13,439,0,77.4
Array,10000,1000,1654,70456,42.60,2,10101,13,634,0,97.5
Array,25000,1000,136560,175456,1.28,4,25101,13,1572,0,76.5
Array,50000,1000,271489,350456,1.29,6,50101,13,3135,0,88.2
Array,75000,1000,406668,525456,1.29,32,75101,13,4698,0,86.5
Array,100000,200,541685,700456,1.29,14,100101,13,6260,0,84.7
Array,250000,200,1346418,1750456,1.30,365,250101,13,15635,0,80.7
Array,500000,200,1935622,3500457,1.81,13509,500102,14,31265,0,78.0
Array,750000,200,2676797,5055964,1.89,41032,730312,15,45113,4,71.9
Array,1000000,20,3273391,5748225,1.76,66284,895479,18,51302,173,67.3
Array,2500000,20,7462585,11259911,1.51,159339,1628739,18,105187,1362,20.2
Array,5000000,20,15653020,25256251,1.61,309211,3619671,13,227017,2777,18.1
Array,7500000,20,24409778,38657991,1.58,527773,5523079,15,346236,4270,6.6
Array,10000000,3,31594188,49403148,1.56,702472,7058118,8,459813,5641,0.2
LinkedList,1000,1000,1033,325,0.31,0,1101,12,427,0,92.1
LinkedList,2500,1000,42342,17954,0.42,0,2601,13,2247,0,77.4
LinkedList,5000,1000,103957,35454,0.34,0,5101,13,5129,0,67.2
LinkedList,7500,1000,192649,52954,0.27,0,7601,15,8072,0,91.4
LinkedList,10000,1000,302888,70454,0.23,0,10101,14,10769,0,65.0
LinkedList,25000,1000,1060919,175454,0.17,0,25101,12,25876,0,81.3
LinkedList,50000,1000,1980997,350454,0.18,0,43820,14,50955,0,80.3
LinkedList,75000,1000,2638979,525455,0.20,35,75102,14,75755,0,77.2
LinkedList,100000,200,3340384,583589,0.17,1514,92820,15,89523,0,68.7
LinkedList,250000,200,21340192,1225482,0.06,243240,174511,14,232065,31943,10.9
LinkedList,500000,200,61380048,2519669,0.04,1189388,359058,20,686189,177290,4.9
LinkedList,5000000,20,840257445,24974766,0.03,21718559,3572866,27,10154753,2748320,4.2
